t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
38,0.0832796,1.47071,0.637492,11.258,0.0330331,0.583361,0.195639,3.45497,0.000608826,0.0107518,0.049947,0.882058
39,0.0705698,1.27893,0.661447,11.9873,0.0323232,0.585789,0.187421,3.39662,0.000594637,0.0107765,0.0476435,0.863437
40,0.060037,1.11584,0.683864,12.7102,0.0306071,0.56886,0.179502,3.3362,0.000551874,0.010257,0.0454374,0.844493
41,0.0518061,0.986844,0.704222,13.4146,0.0279886,0.533149,0.172102,3.27833,0.00048988,0.00933163,0.0433917,0.82656
42,0.045987,0.897284,0.722012,14.0877,0.0246488,0.48094,0.165387,3.22699,0.000422109,0.00823606,0.0415422,0.810558
43,0.0426707,0.852327,0.736765,14.7165,0.0208285,0.416039,0.159467,3.18527,0.000359109,0.00717303,0.0399099,0.797183
44,0.0419256,0.856848,0.748065,15.2885,0.0168032,0.343413,0.15439,3.15531,0.000304931,0.00623199,0.0385114,0.787072
45,0.043795,0.91532,0.755573,15.7916,0.0128531,0.26863,0.150162,3.13839,0.00025781,0.00538826,0.0373597,0.780822
46,0.0482945,1.03171,0.75904,16.2153,0.00923062,0.197192,0.146763,3.13528,0.000213285,0.00455638,0.0364582,0.778851
47,0.0554113,1.20938,0.758322,16.5508,0.00613334,0.133863,0.14417,3.14659,0.000167966,0.00366593,0.0357946,0.781236
48,0.0651037,1.45104,0.753383,16.7915,0.003685,0.0821318,0.142364,3.17304,0.000122328,0.00272646,0.0353414,0.787693
49,0.0773014,1.75866,0.744297,16.9333,0.00192879,0.0438813,0.141326,3.21527,8.07474e-05,0.00183706,0.0350659,0.797775
50,0.0919078,2.13348,0.731242,16.9745,0.00083148,0.0193013,0.141025,3.27365,4.84366e-05,0.00112437,0.0349456,0.8112
51,0.108802,2.57596,0.714491,16.9161,0.000296257,0.00701411,0.141406,3.34789,2.78991e-05,0.000660532,0.0349773,0.828114
52,0.12784,3.08582,0.694398,16.7615,0.000181344,0.0043773,0.142388,3.43698,1.79999e-05,0.000434485,0.0351747,0.849052
53,0.148863,3.66211,0.671377,16.5162,0.000322222,0.00792682,0.14387,3.53927,1.5651e-05,0.000385022,0.035552,0.874598
54,0.171697,4.30321,0.645885,16.1877,0.000555732,0.0139282,0.145739,3.65264,1.75529e-05,0.000439925,0.0361054,0.904905
55,0.196157,5.00694,0.618397,15.7847,0.000744108,0.0189935,0.147879,3.77464,2.06601e-05,0.000527353,0.036801,0.939351
56,0.222056,5.77065,0.58939,15.3167,0.000796254,0.0206925,0.15016,3.90227,2.24617e-05,0.000583719,0.0375747,0.976467
57,0.249202,6.59126,0.559322,14.7938,0.000683079,0.0180671,0.152428,4.03164,2.19189e-05,0.000579743,0.0383435,1.01417
58,0.277406,7.46545,0.52862,14.226,0.000444128,0.0119522,0.154487,4.15749,2.00751e-05,0.000540254,0.0390228,1.05017
59,0.306485,8.38962,0.497669,13.623,0.000184299,0.00504494,0.156101,4.27305,1.94616e-05,0.000532736,0.0395416,1.0824
60,0.336263,9.36009,0.466804,12.9938,6.12334e-05,0.00170447,0.156999,4.37018,2.31139e-05,0.000643389,0.0398492,1.10923
61,0.366571,10.3731,0.436311,12.3465,0.000265447,0.00751149,0.156908,4.44012,3.40857e-05,0.000964542,0.0399102,1.12936
62,0.397252,11.4248,0.40642,11.6884,0.000995785,0.0286382,0.155583,4.47448,5.48482e-05,0.0015774,0.0396935,1.14156
63,0.42816,12.5114,0.377314,11.0256,0.00243282,0.07109,0.152843,4.46627,8.60389e-05,0.00251416,0.0391635,1.14441
64,0.459158,13.6292,0.34913,10.3632,0.00471276,0.139889,0.148597,4.4108,0.000125883,0.00373657,0.0382769,1.13617
65,0.490118,14.7744,0.321969,9.70563,0.00790465,0.238283,0.142847,4.30606,0.000171682,0.00517529,0.0369909,1.11508
