t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
26,0.358597,4.33939,0.35971,4.35287,0.0289033,0.349761,0.19007,2.30004,0.000712729,0.00862476,0.0495713,0.599865,1.06027e-05,0.000128304,0.0124258,0.150365
27,0.330363,4.15083,0.374066,4.69993,0.0254452,0.319704,0.203029,2.55095,0.000681589,0.00856379,0.0530944,0.667102,1.05561e-05,0.000132632,0.0133108,0.167242
28,0.302891,3.94601,0.389519,5.07459,0.0229669,0.299209,0.213768,2.78493,0.000664878,0.00866191,0.0561101,0.730993,1.06709e-05,0.000139018,0.0140696,0.183296
29,0.276243,3.72685,0.406188,5.47996,0.0216236,0.291728,0.222099,2.99638,0.000671654,0.0090614,0.058493,0.789139,1.1037e-05,0.000148902,0.0146699,0.197915
30,0.250492,3.49549,0.424151,5.91881,0.0214596,0.299458,0.227953,3.18097,0.000707068,0.00986678,0.0601405,0.83923,1.17067e-05,0.000163362,0.0150849,0.210503
31,0.225716,3.25433,0.443438,6.39339,0.0224097,0.323098,0.23135,3.33556,0.000767317,0.011063,0.061004,0.879542,1.25968e-05,0.000181618,0.0153016,0.220615
32,0.202007,3.00607,0.464029,6.90522,0.0243083,0.361732,0.232374,3.45796,0.000838615,0.0124795,0.0611051,0.909308,1.35378e-05,0.000201457,0.0153253,0.228056
33,0.179465,2.75376,0.485845,7.45493,0.0269042,0.412826,0.231162,3.547,0.000902687,0.0138511,0.0605291,0.928775,1.42965e-05,0.00021937,0.0151779,0.232894
34,0.158202,2.50078,0.508747,8.042,0.0298814,0.472349,0.227918,3.6028,0.000945857,0.0149516,0.0593991,0.938949,1.47332e-05,0.000232894,0.0148913,0.235393
35,0.13834,2.25088,0.532531,8.6646,0.0328853,0.535064,0.22292,3.62704,0.000965556,0.0157102,0.057845,0.941174,1.48333e-05,0.000241347,0.0144987,0.235902
36,0.120009,2.0082,0.556922,9.31938,0.0355569,0.595,0.216516,3.62312,0.000969659,0.016226,0.0559824,0.936794,1.47241e-05,0.000246389,0.0140294,0.234764
37,0.103345,1.77721,0.581583,10.0014,0.0375698,0.646081,0.209105,3.59595,0.000969902,0.0166792,0.0539057,0.927007,1.45697e-05,0.000250552,0.0135071,0.23228
38,0.0884867,1.56266,0.606115,10.7039,0.0386654,0.682825,0.201097,3.55135,0.00097408,0.0172021,0.0516958,0.912941,1.44792e-05,0.0002557,0.0129517,0.228726
39,0.0755732,1.3696,0.630068,11.4187,0.0386803,0.700999,0.192871,3.49539,0.000981204,0.0177823,0.0494288,0.895793,1.44507e-05,0.000261888,0.0123822,0.224401
40,0.0647395,1.20324,0.652956,12.1358,0.0375599,0.698082,0.184749,3.43371,0.000981209,0.0182366,0.0471825,0.876927,1.43538e-05,0.000266778,0.0118176,0.219641
41,0.0561125,1.06888,0.67427,12.844,0.0353562,0.673494,0.17698,3.37126,0.000959149,0.0182706,0.045031,0.857787,1.40055e-05,0.000266788,0.0112769,0.214812
42,0.0498074,0.971826,0.693498,13.5313,0.0322144,0.628558,0.169754,3.31218,0.000902666,0.0176125,0.0430353,0.839691,1.32378e-05,0.000258291,0.0107752,0.210242
43,0.0459231,0.917292,0.710149,14.1849,0.0283499,0.566277,0.163203,3.2599,0.000809241,0.0161642,0.0412318,0.823586,1.20163e-05,0.00024002,0.0103217,0.206171
