t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
31,0.299594,4.31948,0.106604,1.53699,0.445126,6.41773,0.00340915,0.0491524,0.116092,1.67379,5.5208e-05,0.000795977,0.0291191,0.419832
32,0.28622,4.25925,0.0920406,1.36966,0.463638,6.89941,0.00327912,0.0487967,0.123701,1.8408,5.535e-05,0.000823665,0.0310662,0.462297
33,0.274401,4.21048,0.0792372,1.21584,0.479269,7.35403,0.00313367,0.0480839,0.13097,2.00964,5.58207e-05,0.000856527,0.032933,0.505332
34,0.264117,4.17501,0.0685678,1.08388,0.492028,7.77771,0.0030137,0.0476389,0.137581,2.17481,5.66214e-05,0.00089504,0.0346358,0.547504
35,0.255348,4.15466,0.0603469,0.981882,0.501976,8.16746,0.00297489,0.0484032,0.143205,2.33004,5.83803e-05,0.000949884,0.0360908,0.587219
36,0.248076,4.15124,0.0548278,0.917474,0.509194,8.52072,0.00307305,0.0514236,0.147548,2.46902,6.21118e-05,0.00103936,0.0372193,0.622819
37,0.242288,4.16659,0.0522015,0.8977,0.513754,8.83494,0.00334571,0.0575356,0.150383,2.58611,6.8065e-05,0.0011705,0.0379593,0.652779
38,0.237977,4.20265,0.0525957,0.928833,0.515696,9.10712,0.00379561,0.0670299,0.151585,2.67697,7.54088e-05,0.00133171,0.0382753,0.675938
39,0.235142,4.26146,0.0560724,1.01619,0.515018,9.33361,0.00438208,0.079416,0.151139,2.73907,8.33244e-05,0.00151008,0.0381632,0.691628
40,0.23379,4.34518,0.0626247,1.16393,0.511682,9.51005,0.00502573,0.0934076,0.149138,2.77186,9.14801e-05,0.00170024,0.0376481,0.699723
41,0.233933,4.45615,0.0721727,1.3748,0.505622,9.63148,0.00562647,0.107177,0.145766,2.77668,9.89726e-05,0.00188531,0.0367805,0.700624
42,0.235594,4.59683,0.0845591,1.64989,0.496765,9.69273,0.00608846,0.118796,0.141264,2.7563,0.000103996,0.00202913,0.0356252,0.695108
43,0.238798,4.76988,0.0995465,1.9884,0.485062,9.68889,0.00634321,0.126703,0.135896,2.71445,0.000105361,0.00210453,0.0342492,0.684112
44,0.243577,4.97807,0.116816,2.38741,0.470512,9.61602,0.00636515,0.130087,0.12991,2.65503,0.000103448,0.00211419,0.0327155,0.668617
45,0.249965,5.2243,0.135971,2.84181,0.453193,9.47178,0.00617613,0.129082,0.123514,2.58145,9.91285e-05,0.0020718,0.031082,0.649618
46,0.257997,5.51155,0.156543,3.3442,0.433277,9.25602,0.00583699,0.124695,0.11686,2.49645,9.28462e-05,0.00198346,0.0293938,0.627936
47,0.267705,5.84279,0.178005,3.88504,0.411043,8.97121,0.00542917,0.118494,0.110059,2.40209,8.5255e-05,0.00186073,0.027675,0.604021
48,0.279116,6.22098,0.199785,4.45283,0.386869,8.62259,0.00503429,0.112205,0.103182,2.29973,7.77168e-05,0.00173216,0.0259362,0.57807
49,0.29225,6.6489,0.22129,5.0345,0.361218,8.21796,0.00471894,0.107359,0.0962634,2.19006,7.15087e-05,0.00162687,0.0241886,0.550308
50,0.307116,7.12915,0.241925,5.61586,0.334603,7.76722,0.00452749,0.105098,0.0893181,2.07336,6.7156e-05,0.00155891,0.0224438,0.520992
51,0.323707,7.66399,0.261118,6.18216,0.307556,7.28161,0.00448234,0.106123,0.0823674,1.95011,6.47728e-05,0.00153354,0.0207046,0.490196
52,0.342001,8.25528,0.27834,6.71861,0.28059,6.77291,0.00458919,0.110775,0.075446,1.82113,6.44797e-05,0.00155642,0.0189695,0.457888
53,0.361958,8.90437,0.293123,7.21099,0.254166,6.25262,0.00484289,0.119138,0.0685955,1.68748,6.63001e-05,0.00163102,0.0172474,0.424296
54,0.383516,9.612,0.305078,7.64612,0.228678,5.73132,0.00522971,0.131071,0.0618683,1.5506,7.00284e-05,0.00175511,0.0155602,0.389982
55,0.40659,10.3783,0.313899,8.01231,0.204437,5.21827,0.00572503,0.146132,0.0553443,1.41267,7.52971e-05,0.00192197,0.0139296,0.355554
56,0.431075,11.2025,0.319372,8.29962,0.181676,4.72128,0.00628894,0.163433,0.0491327,1.27683,8.1547e-05,0.00211919,0.0123741,0.321569
57,0.456841,12.0832,0.321373,8.50014,0.160563,4.24682,0.00686343,0.181534,0.0433524,1.14665,8.7949e-05,0.00232621,0.0109195,0.288814
58,0.483736,13.0181,0.319865,8.60809,0.141214,3.8003,0.0073749,0.19847,0.0381143,1.02572,9.35396e-05,0.0025173,0.00960178,0.258399
59,0.511588,14.004,0.314896,8.61986,0.123707,3.38632,0.00774435,0.211991,0.0335148,0.917422,9.74899e-05,0.00266865,0.0084523,0.23137
60,0.540202,15.0369,0.306587,8.53405,0.108097,3.00895,0.00790364,0.220003,0.0296263,0.824666,9.91413e-05,0.00275966,0.0074844,0.208333
61,0.569368,16.1117,0.29513,8.35147,0.0944197,2.67185,0.0078128,0.221083,0.0264731,0.749125,9.79135e-05,0.00277071,0.00669773,0.18953
62,0.598859,17.2228,0.28078,8.07507,0.0826964,2.3783,0.00747164,0.21488,0.0240144,0.690639,9.3562e-05,0.00269079,0.00608543,0.175013
63,0.628433,18.3636,0.263848,7.70997,0.0729294,2.13109,0.00692094,0.202238,0.0221532,0.647343,8.6673e-05,0.00253269,0.00562888,0.164483
64,0.65784,19.5266,0.244699,7.26341,0.0650964,1.93225,0.00623264,0.185003,0.0207615,0.616264,7.84673e-05,0.00232914,0.00529203,0.157083
65,0.686822,20.704,0.223743,6.74466,0.0591434,1.78286,0.00549153,0.16554,0.0196986,0.593807,6.98966e-05,0.00210701,0.00503119,0.151663
66,0.71512,21.8872,0.201429,6.16499,0.0549784,1.68269,0.00477346,0.146098,0.0188269,0.576222,6.13535e-05,0.0018778,0.00481063,0.147236
67,0.742474,23.067,0.178239,5.53749,0.0524646,1.62996,0.00412714,0.128221,0.0180356,0.560326,5.33252e-05,0.0016567,0.00460677,0.143122
68,0.768629,24.2343,0.154676,4.87684,0.0514164,1.62112,0.00356674,0.112457,0.0172606,0.544214,4.64937e-05,0.00146591,0.00440419,0.138861
69,0.793341,25.3795,0.131259,4.19906,0.0515993,1.6507,0.00307735,0.0984467,0.0164865,0.527416,4.08553e-05,0.00130699,0.00419651,0.134249
70,0.816376,26.4931,0.108502,3.52111,0.0527353,1.71137,0.00262916,0.0853218,0.0157327,0.510558,3.55642e-05,0.00115413,0.0039895,0.129467
71,0.837519,27.5655,0.0869081,2.86043,0.0545138,1.79423,0.00219389,0.0722081,0.0150382,0.494957,3.00318e-05,0.000988446,0.00379698,0.124971
72,0.856575,28.5878,0.0669511,2.23446,0.0566086,1.88929,0.00175819,0.0586789,0.0144496,0.48225,2.45049e-05,0.000817841,0.00363305,0.121251
73,0.873372,29.5511,0.0490619,1.66004,0.0587009,1.98618,0.00132976,0.0449935,0.014008,0.47397,1.93379e-05,0.000654311,0.0035085,0.118712
74,0.887763,30.4474,0.0336157,1.15291,0.0605038,2.07508,0.000933228,0.0320067,0.0137391,0.471206,1.45031e-05,0.000497409,0.00343061,0.117659
75,0.899632,31.2691,0.0209199,0.727128,0.0617869,2.14757,0.000598198,0.020792,0.0136514,0.474491,1.0073e-05,0.000350114,0.0034019,0.118242
76,0.90889,32.0098,0.0112054,0.394638,0.0623951,2.19747,0.000346,0.0121856,0.0137375,0.483814,6.49511e-06,0.000228749,0.00342003,0.120449
77,0.91548,32.6638,0.00462011,0.164843,0.0622604,2.22142,0.000181379,0.00647151,0.0139745,0.498602,4.05564e-06,0.000144703,0.00347967,0.124153
78,0.919378,33.2265,0.00122595,0.0443061,0.0614034,2.21913,9.18197e-05,0.00331838,0.0143258,0.517736,2.52425e-06,9.12271e-05,0.00357268,0.129117
79,0.92059,33.6944,0.000998416,0.0365429,0.0599263,2.19336,5.40399e-05,0.00197791,0.0147432,0.539614,1.50265e-06,5.49985e-05,0.00368603,0.134912
80,0.919157,34.0653,0.00382887,0.141904,0.0579988,2.14952,4.48404e-05,0.00166185,0.0151677,0.562138,7.94269e-07,2.94368e-05,0.00380225,0.140917
81,0.915147,34.3382,0.00952891,0.357544,0.0558395,2.09521,5.13283e-05,0.00192594,0.0155303,0.582728,3.34307e-07,1.25439e-05,0.00390281,0.146441
82,0.908662,34.5132,0.0178365,0.677476,0.0536966,2.03953,7.5402e-05,0.00286396,0.0157599,0.598599,7.77007e-08,2.95127e-06,0.00396997,0.150789
83,0.89983,34.592,0.0284238,1.09269,0.0518301,1.99249,0.000130493,0.00501651,0.0157981,0.607325,1.13235e-07,4.35308e-06,0.00398716,0.153278
84,0.888809,34.5774,0.0409059,1.59137,0.0504959,1.96445,0.000232656,0.00905105,0.0156131,0.6074,6.52768e-07,2.53947e-05,0.00394269,0.153383
85,0.875778,34.4735,0.0548515,2.15914,0.0499337,1.96556,0.000390405,0.0153676,0.0152084,0.598652,1.76645e-06,6.95335e-05,0.00383609,0.151001
86,0.860939,34.2855,0.0697948,2.77947,0.0503554,2.00533,0.00059787,0.0238092,0.0146295,0.582597,3.28574e-06,0.000130849,0.0036805,0.14657
87,0.844508,34.0197,0.0852489,3.43412,0.0519362,2.09217,0.000834855,0.0336308,0.013967,0.562639,5.05025e-06,0.000203442,0.00349979,0.140983
