t,Norm_0,AvgX_0,Norm_1,AvgX_1
123,0.111547,6.33355,0.888453,50.4455
124,0.136731,7.82582,0.863269,49.4094
125,0.164391,9.48392,0.835609,48.2074
126,0.194342,11.3005,0.805658,46.8468
127,0.226386,13.2669,0.773614,45.3361
128,0.260307,15.3734,0.739693,43.6853
129,0.29588,17.609,0.70412,41.9052
130,0.332866,19.9619,0.667134,40.0078
131,0.37102,22.4188,0.62898,38.0061
132,0.410086,24.9661,0.589914,35.9141
133,0.449803,27.5887,0.550197,33.7464
134,0.489907,30.2714,0.510093,31.5187
135,0.53013,32.9978,0.46987,29.247
136,0.570202,35.7514,0.429798,26.9481
137,0.609858,38.5149,0.390142,24.639
138,0.648832,41.2711,0.351168,22.3372
139,0.686863,44.0022,0.313137,20.0603
140,0.723698,46.6905,0.276302,17.826
141,0.759092,49.3186,0.240908,15.6519
142,0.792807,51.8689,0.207193,13.5555
143,0.824619,54.3243,0.175381,11.5537
144,0.854315,56.6681,0.145685,9.66348
145,0.881698,58.8841,0.118302,7.90079
146,0.906584,60.957,0.0934161,6.28112
147,0.928807,62.8721,0.0711929,4.81914
148,0.948219,64.6156,0.0517809,3.52857
149,0.96469,66.1749,0.0353096,2.42213
150,0.978111,67.5382,0.0218889,1.51142
151,0.988392,68.6953,0.0116084,0.806811
152,0.995463,69.6371,0.00453683,0.317372
153,0.999279,70.3559,0.000721309,0.050785
154,0.999813,70.8455,0.00018732,0.0132733
155,0.997062,71.1011,0.00293843,0.209542
156,0.991044,71.1197,0.00895628,0.642725
157,0.981799,70.8997,0.0182007,1.31435
158,0.96939,70.4412,0.03061,2.22429
159,0.953899,69.746,0.0461013,3.37077
160,0.935429,68.8175,0.0645711,4.75036
161,0.914104,67.6609,0.0858964,6.35795
162,0.890065,66.2829,0.109935,8.18679
163,0.863475,64.6918,0.136525,10.2285
164,0.834509,62.8976,0.165491,12.4732
165,0.803362,60.9118,0.196638,14.9093
166,0.770241,58.7473,0.229759,17.524
167,0.735367,56.4183,0.264633,20.303
168,0.698974,53.9406,0.301026,23.2305
169,0.661303,51.3309,0.338697,26.2899
170,0.622608,48.6072,0.377392,29.4631
171,0.583145,45.7883,0.416855,32.7313
172,0.543178,42.8942,0.456822,36.0747
173,0.502975,39.9452,0.497025,39.4727
174,0.462803,36.9625,0.537197,42.9041
175,0.422931,33.9678,0.577069,46.3475
176,0.383624,30.983,0.616376,49.7809
177,0.345146,28.0301,0.654854,53.1821
178,0.307753,25.1312,0.692247,56.5291
179,0.271694,22.3083,0.728306,59.7999
180,0.237211,19.5832,0.762789,62.9728
181,0.204534,16.977,0.795466,66.0266
182,0.17388,14.5105,0.82612,68.9406
183,0.145454,12.2034,0.854546,71.6949
184,0.119447,10.0748,0.880553,74.2706
185,0.0960312,8.1427,0.903969,76.6496
186,0.0753635,6.4239,0.924637,78.8151
187,0.0575817,4.93392,0.942418,80.7516
188,0.0428046,3.68684,0.957195,82.445
189,0.0311308,2.69524,0.968869,83.8828
190,0.0226383,1.97007,0.977362,85.0539
191,0.0173836,1.52054,0.982616,85.9492
192,0.015402,1.35408,0.984598,86.5613
193,0.0167067,1.47621,0.983293,86.8845
194,0.0212888,1.89057,0.978711,86.9154
195,0.0291179,2.5988,0.970882,86.6522
196,0.0401417,3.60054,0.959858,86.0953
197,0.0542865,4.89341,0.945713,85.2471
198,0.071458,6.47302,0.928542,84.1119
199,0.0915416,8.33296,0.908458,82.6962
200,0.114403,10.4648,0.885597,81.0084
201,0.13989,12.8583,0.86011,79.0588
202,0.167832,15.5011,0.832168,76.8597
203,0.198043,18.3792,0.801957,74.425
204,0.230321,21.4768,0.769679,71.7707
205,0.26445,24.7765,0.73555,68.9141
206,0.300203,28.2592,0.699797,65.8742
207,0.337342,31.9045,0.662658,62.6716
208,0.375617,35.6906,0.624383,59.328
209,0.414774,39.5947,0.585226,55.8661
210,0.454551,43.5928,0.545449,52.3101
211,0.494683,47.6601,0.505317,48.6846
212,0.534902,51.7712,0.465098,45.0151
213,0.57494,55.9001,0.42506,41.3277
214,0.614528,60.0203,0.385472,37.6487
215,0.653403,64.1054,0.346597,34.0046
216,0.691306,68.1287,0.308694,30.4221
217,0.727982,72.064,0.272018,26.9274
218,0.763189,75.8852,0.236811,23.5466
219,0.79669,79.5669,0.20331,20.305
220,0.828261,83.0844,0.171739,17.2275
221,0.857693,86.4139,0.142307,14.3377
222,0.884788,89.5327,0.115212,11.6584
223,0.909366,92.4193,0.0906341,9.21118
224,0.931263,95.0535,0.0687374,7.01599
225,0.950332,97.417,0.0496683,5.09141
226,0.966446,99.4928,0.0335539,3.45428
227,0.979498,101.266,0.0205019,2.1196
228,0.989401,102.723,0.0105994,1.10047
229,0.996087,103.854,0.00391254,0.407927
230,0.999514,104.649,0.000485875,0.0508708
231,0.999658,105.101,0.000342322,0.0359907
232,0.996517,105.207,0.00348284,0.367698
233,0.990114,104.963,0.00988645,1.04808
234,0.98049,104.371,0.0195104,2.07685
235,0.967709,103.433,0.0322905,3.45136
236,0.951859,102.155,0.0481414,5.16659
237,0.933043,100.542,0.0669573,7.21513
238,0.911387,98.606,0.0886125,9.58728
239,0.887037,96.3579,0.112963,12.271
240,0.860155,93.8123,0.139845,15.2521
241,0.83092,90.9854,0.16908,18.5142
242,0.799527,87.8957,0.200473,22.0389
243,0.766186,84.5635,0.233814,25.8059
244,0.731119,81.0109,0.268881,29.793
245,0.694561,77.2617,0.305439,33.9764
246,0.656756,73.3414,0.343244,38.3308
247,0.617956,69.2765,0.382044,42.8295
248,0.578419,65.095,0.421581,47.4446
249,0.53841,60.8258,0.46159,52.1471
250,0.498197,56.4985,0.501803,56.9075
251,0.458046,52.1434,0.541954,61.6954
252,0.418227,47.7914,0.581773,66.48
253,0.379006,43.4734,0.620994,71.2304
254,0.340643,39.2202,0.659357,75.9156
255,0.303395,35.0627,0.696605,80.505
256,0.267512,31.0312,0.732488,84.9681
257,0.233231,27.1553,0.766769,89.2754
258,0.200783,23.4638,0.799217,93.3979
259,0.170383,19.9847,0.829617,97.3079
260,0.142235,16.7444,0.857765,100.979
261,0.116527,13.7681,0.883473,104.386
262,0.0934297,11.0792,0.90657,107.504
263,0.0730979,8.69963,0.926902,110.314
264,0.0556672,6.64906,0.944333,112.794
265,0.0412539,4.9452,0.958746,114.927
266,0.0299543,3.60355,0.970046,116.698
267,0.0218438,2.63721,0.978156,118.093
268,0.0169765,2.05686,0.983023,119.102
269,0.015385,1.87062,0.984615,119.717
270,0.0170798,2.08399,0.98292,119.931
271,0.0220496,2.69982,0.97795,119.743
272,0.0302613,3.71822,0.969739,119.152
273,0.0416601,5.13659,0.95834,118.161
274,0.0561698,6.94959,0.94383,116.775
275,0.0736936,9.14916,0.926306,115.002
276,0.0941145,11.7246,0.905886,112.853
277,0.117296,14.6625,0.882704,110.342
278,0.143084,17.947,0.856916,107.483
279,0.171306,21.5598,0.828694,104.296
280,0.201773,25.4801,0.798227,100.801
281,0.234282,29.685,0.765718,97.0211
282,0.268617,34.1495,0.731383,92.9814
283,0.304547,38.8466,0.695453,88.7088
284,0.341833,43.7477,0.658167,84.232
285,0.380227,48.8225,0.619773,79.5812
286,0.419471,54.0394,0.580529,74.788
287,0.459305,59.3656,0.540695,69.8853
288,0.499461,64.7672,0.500539,64.9069
289,0.539673,70.2098,0.460327,59.8872
290,0.579671,75.6584,0.420329,54.8612
291,0.619188,81.0777,0.380812,49.8643
292,0.657961,86.4324,0.342039,44.9316
293,0.695731,91.6874,0.304269,40.0983
294,0.732246,96.8082,0.267754,35.399
295,0.767262,101.761,0.232738,30.8677
296,0.800545,106.512,0.199455,26.5374
297,0.831873,111.03,0.168127,22.4399
298,0.861037,115.285,0.138963,18.6058
299,0.887842,119.246,0.112158,15.0639
300,0.91211,122.889,0.0878899,11.8414
301,0.933678,126.186,0.0663218,8.96337
302,0.952403,129.116,0.0475973,6.45272
303,0.968159,131.658,0.0318415,4.33005
304,0.980841,133.793,0.0191594,2.61347
305,0.990364,135.506,0.00963583,1.31842
306,0.996666,136.785,0.00333426,0.457603
307,0.999703,137.62,0.000296784,0.0408554
308,0.999456,138.003,0.00054368,0.0750703
309,0.995927,137.931,0.0040733,0.564132
310,0.989138,137.403,0.0108621,1.50887
311,0.979135,136.421,0.0208647,2.90705
312,0.965986,134.991,0.0340144,4.75333
313,0.949777,133.121,0.0502234,7.03934
314,0.930617,130.823,0.0693835,9.75367
