E,T,R0,R,E/V0,N_R0
0.0172657,0.60237,0.079825,0.079825,0.000172657,0.117011998
0.0176451,0.588941,0.0713077,0.0713077,0.000176451,0.1080012729
0.0180287,0.575771,0.0637641,0.0637641,0.000180287,0.0997038317
0.0184164,0.562858,0.0571935,0.0571935,0.000184164,0.0922399188
0.0188082,0.550199,0.051594,0.051594,0.000188082,0.0857337988
0.0192042,0.53779,0.0469625,0.0469625,0.000192042,0.0803117558
0.0196043,0.525627,0.0432948,0.0432948,0.000196043,0.0760997381
0.0200085,0.513707,0.0405855,0.0405855,0.000200085,0.0732203665
0.0204168,0.502026,0.0388278,0.0388278,0.000204168,0.0717898256
0.0208292,0.490582,0.0380137,0.0380137,0.000208292,0.0719145086
0.0212458,0.47937,0.0381342,0.0381342,0.000212458,0.0736886773
0.0216665,0.468387,0.039179,0.039179,0.000216665,0.0771899615
0.0220913,0.45763,0.0411364,0.0411364,0.000220913,0.0824762855
0.0225203,0.447095,0.0439936,0.0439936,0.000225203,0.0895838348
0.0229533,0.436779,0.0477366,0.0477366,0.000229533,0.0985243819
0.0233905,0.426678,0.0523504,0.0523504,0.000233905,0.1092845435
0.0238319,0.416788,0.0578184,0.0578184,0.000238319,0.1218238945
0.0242773,0.407107,0.0641232,0.0641232,0.000242773,0.1360761683
0.0247269,0.39763,0.0712459,0.0712459,0.000247269,0.1519504415
0.0251806,0.388355,0.0791669,0.0791669,0.000251806,0.1693330302
0.0256384,0.379278,0.087865,0.087865,0.000256384,0.1880901565
0.0261003,0.370396,0.0973183,0.0973183,0.000261003,0.2080721073
0.0265664,0.361704,0.107504,0.107504,0.000265664,0.2291180031
0.0270366,0.353201,0.118397,0.118397,0.000270366,0.2510549239
0.0275109,0.344882,0.129973,0.129973,0.000275109,0.2737109223
0.0279894,0.336744,0.142205,0.142205,0.000279894,0.296910527
0.0284719,0.328784,0.155067,0.155067,0.000284719,0.3204850253
0.0289586,0.320999,0.16853,0.16853,0.000289586,0.344269696
0.0294494,0.313386,0.182565,0.182565,0.000294494,0.3681109626
0.0299444,0.305941,0.197143,0.197143,0.000299444,0.3918689523
0.0304434,0.298662,0.212233,0.212233,0.000304434,0.4154141262
0.0309466,0.291544,0.227805,0.227805,0.000309466,0.4386356766
0.0314539,0.284586,0.243825,0.243825,0.000314539,0.461430591
0.0319654,0.277783,0.260261,0.260261,0.000319654,0.4837169451
0.0324809,0.271134,0.277081,0.277081,0.000324809,0.5054239669
0.0330006,0.264635,0.29425,0.29425,0.000330006,0.5264947172
0.0335244,0.258283,0.311734,0.311734,0.000335244,0.5468854438
0.0340524,0.252075,0.329498,0.329498,0.000340524,0.5665634409
0.0345844,0.246008,0.347508,0.347508,0.000345844,0.5855073831
0.0351206,0.24008,0.365728,0.365728,0.000351206,0.6037028233
0.0356609,0.234288,0.384123,0.384123,0.000356609,0.6211451607
0.0362054,0.228629,0.402656,0.402656,0.000362054,0.637835526
0.0367539,0.223101,0.421292,0.421292,0.000367539,0.6537811553
0.0373066,0.2177,0.439994,0.439994,0.000373066,0.6689950038
0.0378634,0.212424,0.458728,0.458728,0.000378634,0.683493456
0.0384243,0.207271,0.477456,0.477456,0.000384243,0.697293958
0.0389894,0.202237,0.496143,0.496143,0.000389894,0.7104198287
0.0395586,0.197321,0.514753,0.514753,0.000395586,0.7228925645
0.0401319,0.19252,0.533252,0.533252,0.000401319,0.7347376311
0.0407093,0.187832,0.551604,0.551604,0.000407093,0.7459793681
0.0412909,0.183253,0.569774,0.569774,0.000412909,0.7566448481
0.0418765,0.178783,0.587729,0.587729,0.000418765,0.7667577285
0.0424663,0.174418,0.605435,0.605435,0.000424663,0.7763450291
0.0430603,0.170156,0.62286,0.62286,0.000430603,0.7854318198
0.0436583,0.165995,0.63997,0.63997,0.000436583,0.7940419249
0.0442605,0.161933,0.656735,0.656735,0.000442605,0.8021994264
0.0448668,0.157968,0.673123,0.673123,0.000448668,0.8099269514
0.0454772,0.154097,0.689106,0.689106,0.000454772,0.8172480411
0.0460918,0.150319,0.704654,0.704654,0.000460918,0.824182752
0.0467105,0.146631,0.71974,0.71974,0.000467105,0.8307526452
0.0473333,0.143031,0.734336,0.734336,0.000473333,0.8369770005
0.0479602,0.139518,0.748418,0.748418,0.000479602,0.8428738107
0.0485912,0.136089,0.76196,0.76196,0.000485912,0.8484614982
