t,T+R,N_0,N_1,N_2,N_3
81,1.08182,2.13804e-26,7.86284e-26,2.77248e-26,7.27386e-26
82,1.07428,2.43812e-26,7.55714e-26,2.68795e-26,7.73923e-26
83,1.06651,2.62499e-26,7.19091e-26,3.00274e-26,7.07886e-26
84,1.05851,2.24677e-26,7.95951e-26,2.88434e-26,7.66654e-26
85,1.05031,2.15389e-26,7.9225e-26,3.2026e-26,7.20687e-26
86,1.0419,2.18263e-26,7.69044e-26,2.67393e-26,7.34998e-26
87,1.03332,2.10781e-26,8.68352e-26,3.03794e-26,7.4361e-26
88,1.02457,1.79801e-26,8.89869e-26,2.82865e-26,6.35565e-26
89,1.01566,2.10141e-26,8.48925e-26,2.75922e-26,7.26998e-26
90,1.00661,2.18275e-26,8.96038e-26,2.5751e-26,7.66927e-26
91,0.997411,2.17738e-26,8.87504e-26,2.56485e-26,7.07699e-26
92,0.98809,2.36997e-26,9.1922e-26,2.35215e-26,6.4169e-26
93,0.978649,2.20703e-26,1.02021e-25,2.1469e-26,6.15554e-26
94,0.969097,2.62682e-26,9.27122e-26,1.84863e-26,6.83916e-26
95,0.959441,2.36977e-26,9.32101e-26,1.87793e-26,6.59239e-26
96,0.949689,2.87052e-26,9.04489e-26,1.61296e-26,6.40091e-26
97,0.939847,2.481e-26,8.93144e-26,1.70156e-26,6.13904e-26
98,0.92992,2.70575e-26,8.65436e-26,1.44264e-26,6.16523e-26
99,0.919916,2.6891e-26,9.07945e-26,1.39717e-26,6.25648e-26
100,0.90984,2.75218e-26,8.96001e-26,1.13734e-26,5.89291e-26
101,0.899697,3.0993e-26,9.56267e-26,1.17309e-26,5.73194e-26
102,0.889493,3.00576e-26,8.94801e-26,9.82941e-27,5.63068e-26
103,0.879235,3.0016e-26,8.4973e-26,8.92677e-27,5.2439e-26
104,0.868927,3.1784e-26,9.41526e-26,9.36152e-27,5.15882e-26
105,0.858576,3.28893e-26,9.20541e-26,7.72041e-27,5.3027e-26
106,0.848188,3.28161e-26,8.89671e-26,5.84251e-27,4.61113e-26
107,0.837769,3.21211e-26,9.07e-26,5.22039e-27,5.27102e-26
108,0.827325,3.5638e-26,8.88818e-26,5.13197e-27,5.30248e-26
109,0.816863,3.87342e-26,8.33219e-26,6.09887e-27,4.92886e-26
110,0.80639,3.54369e-26,8.74453e-26,5.45895e-27,4.83555e-26
111,0.795914,4.18027e-26,8.91892e-26,2.47629e-27,4.8556e-26
112,0.78544,4.65225e-26,8.82518e-26,4.56371e-27,4.6425e-26
113,0.774977,4.81024e-26,7.99789e-26,4.77319e-27,4.01777e-26
114,0.764531,4.90941e-26,8.40986e-26,4.55573e-27,4.46334e-26
115,0.754111,5.57191e-26,7.95445e-26,3.14251e-27,3.94127e-26
