t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,6.8022e-28,3.21325e-33,7.15408e-34,2.72812e-35,3.98946e-37,3.548e-34,6.5724e-36,1.20023e-34
1,1,6.66406e-28,4.10153e-31,9.29124e-32,3.55162e-33,1.0272e-35,4.31808e-32,7.27948e-34,1.40463e-32
2,0.999999,6.61275e-28,1.55806e-30,3.58854e-31,1.48944e-32,4.5835e-34,1.56755e-31,2.34122e-33,4.74925e-32
3,0.999997,6.51519e-28,3.6496e-30,8.22329e-31,3.93029e-32,2.92026e-33,3.36706e-31,4.41109e-33,9.23342e-32
4,0.999995,6.40117e-28,6.32265e-30,1.49855e-30,8.57251e-32,9.70116e-33,5.73871e-31,6.80828e-33,1.39196e-31
5,0.999991,6.35728e-28,1.01341e-29,2.38708e-30,1.67561e-31,2.31012e-32,8.54111e-31,1.01753e-32,1.80442e-31
6,0.999987,5.90132e-28,1.45341e-29,3.52948e-30,3.00857e-31,4.46957e-32,1.15896e-30,1.63561e-32,2.11917e-31
7,0.999982,6.11811e-28,2.02135e-29,4.80762e-30,5.07663e-31,7.49391e-32,1.46722e-30,2.85766e-32,2.32972e-31
8,0.999975,6.16835e-28,2.66335e-29,6.33545e-30,8.05683e-31,1.12626e-31,1.75738e-30,5.1171e-32,2.45234e-31
9,0.999967,6.08173e-28,3.25912e-29,7.92172e-30,1.21311e-30,1.55561e-31,2.01046e-30,8.87963e-32,2.51101e-31
10,0.999958,6.08777e-28,3.84465e-29,9.89816e-30,1.74103e-30,1.98511e-31,2.21218e-30,1.45178e-31,2.52867e-31
11,0.999946,6.12574e-28,4.59814e-29,1.20191e-29,2.3923e-30,2.40592e-31,2.35272e-30,2.21827e-31,2.52849e-31
12,0.999933,5.64633e-28,5.40518e-29,1.39303e-29,3.19815e-30,2.7545e-31,2.42649e-30,3.16659e-31,2.54323e-31
13,0.999916,5.94015e-28,5.93511e-29,1.57526e-29,4.07656e-30,2.96307e-31,2.4323e-30,4.23683e-31,2.62901e-31
14,0.999897,5.78832e-28,6.79866e-29,1.79877e-29,4.98917e-30,3.06822e-31,2.36813e-30,5.32341e-31,2.87643e-31
15,0.999875,5.77982e-28,6.99223e-29,2.16328e-29,5.91438e-30,2.93841e-31,2.23695e-30,6.29036e-31,3.40861e-31
16,0.999849,5.86446e-28,7.97041e-29,2.48699e-29,6.84821e-30,2.72161e-31,2.04795e-30,6.97905e-31,4.38257e-31
17,0.999819,5.71711e-28,8.16437e-29,2.74247e-29,7.48001e-30,2.4808e-31,1.8131e-30,7.22781e-31,5.95146e-31
18,0.999783,5.66631e-28,9.05906e-29,3.07725e-29,7.81277e-30,2.28127e-31,1.5556e-30,6.91952e-31,8.24968e-31
19,0.999743,5.27319e-28,9.51566e-29,3.43566e-29,8.03008e-30,2.21817e-31,1.3176e-30,6.03898e-31,1.13291e-30
20,0.999697,5.62894e-28,9.9773e-29,3.8823e-29,7.81598e-30,2.5197e-31,1.13672e-30,4.64823e-31,1.51103e-30
21,0.999643,5.43607e-28,1.05781e-28,4.45449e-29,7.32932e-30,3.35714e-31,1.03523e-30,3.00263e-31,1.94364e-30
22,0.999583,5.98068e-28,1.13779e-28,4.9481e-29,6.71943e-30,5.25119e-31,1.02952e-30,1.5035e-31,2.39056e-30
23,0.999514,5.58074e-28,1.13386e-28,5.36688e-29,5.99026e-30,8.20272e-31,1.10277e-30,6.40529e-32,2.81403e-30
24,0.999436,5.81986e-28,1.11047e-28,5.99412e-29,5.39419e-30,1.32979e-30,1.27301e-30,9.89371e-32,3.16081e-30
25,0.999347,5.60581e-28,1.22318e-28,6.91049e-29,4.76671e-30,1.91284e-30,1.47624e-30,2.83468e-31,3.36697e-30
26,0.999247,5.57913e-28,1.18447e-28,7.50599e-29,4.55862e-30,2.71747e-30,1.63195e-30,6.57489e-31,3.40469e-30
27,0.999135,5.59927e-28,1.24501e-28,7.53672e-29,4.68207e-30,3.7065e-30,1.75061e-30,1.24468e-30,3.28391e-30
28,0.999009,5.34063e-28,1.33944e-28,8.21407e-29,5.23771e-30,4.86606e-30,1.86556e-30,1.97592e-30,3.00293e-30
29,0.998867,4.94434e-28,1.26782e-28,8.83626e-29,6.0869e-30,6.14177e-30,1.84522e-30,2.80553e-30,2.5512e-30
30,0.99871,5.56252e-28,1.31188e-28,9.01055e-29,7.32536e-30,7.93664e-30,1.77014e-30,3.63482e-30,2.07828e-30
31,0.998534,5.67931e-28,1.21962e-28,9.50742e-29,9.38672e-30,9.31265e-30,1.6309e-30,4.39253e-30,1.61899e-30
32,0.998338,5.29587e-28,1.25561e-28,9.49505e-29,1.42919e-29,1.07862e-29,1.45938e-30,5.09544e-30,1.26524e-30
33,0.998122,4.94024e-28,1.22771e-28,9.81699e-29,1.85911e-29,1.27303e-29,1.38912e-30,5.4074e-30,1.14891e-30
34,0.997882,4.5853e-28,1.25587e-28,1.03068e-28,2.47573e-29,1.46214e-29,1.21253e-30,5.51836e-30,1.35509e-30
35,0.997617,5.27471e-28,1.16382e-28,1.12138e-28,3.24435e-29,1.64455e-29,1.12495e-30,5.22943e-30,1.86794e-30
36,0.997326,5.45111e-28,1.29471e-28,1.13123e-28,4.28876e-29,1.96544e-29,1.17438e-30,4.56587e-30,2.82132e-30
37,0.997006,4.89095e-28,1.39529e-28,1.18527e-28,5.20048e-29,2.31612e-29,1.42905e-30,3.68771e-30,3.87567e-30
38,0.996657,4.97083e-28,1.39823e-28,1.29124e-28,6.7305e-29,2.67921e-29,1.69463e-30,2.82182e-30,5.26361e-30
39,0.996275,5.47039e-28,1.61631e-28,1.30403e-28,8.02474e-29,3.22384e-29,2.37677e-30,1.67302e-30,6.68707e-30
40,0.99586,5.40202e-28,1.63037e-28,1.38167e-28,9.63363e-29,3.95998e-29,3.38943e-30,8.43482e-31,8.2749e-30
41,0.99541,4.12806e-28,1.83912e-28,1.39795e-28,1.10877e-28,4.72797e-29,4.2547e-30,2.19988e-31,9.57534e-30
42,0.994923,5.82121e-28,1.79934e-28,1.45028e-28,1.20464e-28,5.62196e-29,6.17284e-30,-5.2968e-32,1.02626e-29
43,0.994399,5.32832e-28,1.78671e-28,1.48611e-28,1.27716e-28,6.51407e-29,8.76493e-30,1.40233e-31,1.11514e-29
44,0.993836,4.50045e-28,1.6753e-28,1.55612e-28,1.44347e-28,7.62244e-29,1.18971e-29,7.034e-31,1.1456e-29
45,0.993233,4.82833e-28,2.04991e-28,1.51728e-28,1.47008e-28,8.39418e-29,1.67702e-29,1.7395e-30,1.18079e-29
46,0.992591,4.30762e-28,1.83483e-28,1.48146e-28,1.52926e-28,8.79406e-29,2.30745e-29,2.644e-30,1.18312e-29
47,0.991909,4.10253e-28,2.05598e-28,1.54689e-28,1.49738e-28,9.57357e-29,3.0611e-29,3.9727e-30,1.2228e-29
48,0.991187,4.16486e-28,1.84595e-28,1.45922e-28,1.47741e-28,1.00362e-28,4.12805e-29,5.06603e-30,1.25156e-29
49,0.990426,4.10529e-28,1.87029e-28,1.57358e-28,1.35838e-28,1.04683e-28,5.00721e-29,7.00409e-30,1.38103e-29
50,0.989627,4.00169e-28,2.07428e-28,1.63315e-28,1.39062e-28,1.01319e-28,6.04246e-29,7.86491e-30,1.54272e-29
51,0.988791,4.41412e-28,2.06256e-28,1.5732e-28,1.28671e-28,9.62052e-29,7.42853e-29,8.45859e-30,1.55173e-29
52,0.98792,3.2889e-28,2.16962e-28,1.57257e-28,1.32059e-28,9.21613e-29,8.74348e-29,9.38005e-30,1.57982e-29
53,0.987016,3.84697e-28,2.21132e-28,1.52715e-28,1.22661e-28,7.81868e-29,9.85138e-29,1.07166e-29,1.99939e-29
54,0.986082,3.96224e-28,2.24178e-28,1.46764e-28,1.08674e-28,7.21686e-29,1.04569e-28,8.68638e-30,2.1729e-29
55,0.985122,3.43205e-28,2.41179e-28,1.51378e-28,1.00249e-28,5.7173e-29,1.10373e-28,1.12329e-29,2.40281e-29
56,0.984138,3.34718e-28,2.23867e-28,1.6768e-28,9.14517e-29,4.77049e-29,1.08539e-28,1.03913e-29,2.70395e-29
57,0.983134,3.60984e-28,2.2804e-28,1.49522e-28,9.47178e-29,3.42352e-29,1.07939e-28,1.01729e-29,2.89362e-29
58,0.982114,3.30267e-28,2.32615e-28,1.35716e-28,8.40201e-29,2.57717e-29,9.97875e-29,9.50414e-30,3.17401e-29
59,0.981083,2.67134e-28,2.84042e-28,1.35281e-28,7.95095e-29,1.65977e-29,8.81494e-29,8.17733e-30,3.11734e-29
60,0.980045,2.94822e-28,2.72969e-28,1.16579e-28,7.93428e-29,1.32003e-29,7.64173e-29,6.71696e-30,3.46561e-29
61,0.979006,3.0178e-28,2.99343e-28,1.11166e-28,7.47098e-29,1.20124e-29,6.21072e-29,4.74735e-30,3.62539e-29
62,0.97797,2.73587e-28,2.56367e-28,9.6056e-29,7.36001e-29,1.35345e-29,4.76838e-29,4.27873e-30,3.28493e-29
63,0.976942,2.44552e-28,3.12685e-28,8.52042e-29,7.47327e-29,1.78884e-29,3.55039e-29,2.59375e-30,3.33229e-29
64,0.975927,2.29631e-28,2.91418e-28,8.11701e-29,7.57396e-29,2.1434e-29,2.59003e-29,1.87399e-30,3.08241e-29
65,0.974932,1.76871e-28,3.38016e-28,7.06683e-29,7.68444e-29,3.23937e-29,1.71033e-29,2.73809e-30,2.94452e-29
66,0.97396,2.04303e-28,3.46528e-28,5.65341e-29,8.53864e-29,3.49956e-29,1.35023e-29,7.20266e-30,2.65822e-29
67,0.973016,1.90377e-28,3.51644e-28,6.18255e-29,7.32536e-29,5.12564e-29,9.95723e-30,1.29193e-29,2.5542e-29
68,0.972107,1.51804e-28,3.73244e-28,5.49727e-29,9.24165e-29,4.89071e-29,7.02027e-30,2.33066e-29,2.89581e-29
69,0.971236,1.45667e-28,3.31704e-28,6.51021e-29,8.31123e-29,5.63319e-29,5.9943e-30,2.91183e-29,3.04943e-29
70,0.970407,1.5281e-28,4.15447e-28,4.64791e-29,8.75162e-29,6.42367e-29,7.22681e-30,4.32724e-29,2.8279e-29
71,0.969626,1.80693e-28,3.67239e-28,6.8196e-29,9.52879e-29,5.96943e-29,7.0715e-30,6.67164e-29,2.8095e-29
72,0.968895,1.76618e-28,4.10036e-28,6.9566e-29,9.8423e-29,6.16523e-29,8.153e-30,7.4318e-29,3.76262e-29
73,0.968219,1.00795e-28,3.95273e-28,7.21053e-29,9.6653e-29,6.69253e-29,6.48106e-30,8.9354e-29,4.60502e-29
74,0.967601,1.35834e-28,3.85844e-28,8.18657e-29,9.58892e-29,6.80241e-29,7.91761e-30,1.04281e-28,6.41517e-29
75,0.967043,9.78534e-29,3.91009e-28,9.31156e-29,9.44574e-29,6.67016e-29,8.34145e-30,1.12817e-28,6.71693e-29
76,0.966548,1.36917e-28,3.52036e-28,9.44988e-29,8.10347e-29,6.54849e-29,7.70133e-30,1.21883e-28,8.83607e-29
77,0.966119,1.19036e-28,3.65188e-28,1.16068e-28,7.94917e-29,7.81561e-29,6.17536e-30,1.17708e-28,1.14261e-28
78,0.965756,7.64073e-29,3.19226e-28,1.1897e-28,7.79988e-29,7.79408e-29,3.09828e-30,1.18638e-28,1.35032e-28
79,0.965462,9.1721e-29,3.56085e-28,1.01377e-28,7.7393e-29,7.94842e-29,5.53421e-30,1.09472e-28,1.55327e-28
80,0.965238,8.19311e-29,3.18989e-28,1.37279e-28,6.1794e-29,7.68475e-29,2.81716e-30,1.11704e-28,1.65467e-28
81,0.965085,1.05532e-28,2.7061e-28,1.55817e-28,6.23671e-29,8.98606e-29,2.53597e-30,1.16688e-28,1.82487e-28
82,0.965003,7.38305e-29,2.76822e-28,1.81098e-28,5.94409e-29,1.04255e-28,1.89477e-30,9.70349e-29,2.09406e-28
83,0.964991,5.29563e-29,2.87811e-28,2.03764e-28,5.08435e-29,1.04155e-28,2.22182e-30,9.01657e-29,2.17421e-28
84,0.965052,7.37918e-29,2.74342e-28,1.9227e-28,4.54075e-29,1.16886e-28,1.64441e-30,7.91136e-29,2.19418e-28
85,0.965183,7.60666e-29,2.13544e-28,2.87522e-28,4.49284e-29,1.09206e-28,4.98912e-30,7.66445e-29,2.00805e-28
86,0.965384,7.62762e-29,2.42503e-28,2.89466e-28,5.04581e-29,9.92517e-29,4.73691e-30,7.81975e-29,2.00021e-28
87,0.965654,5.61793e-29,2.03596e-28,2.91977e-28,4.97192e-29,1.44821e-28,6.7072e-30,8.30155e-29,2.23105e-28
88,0.965992,6.19744e-29,2.4877e-28,3.11836e-28,4.62563e-29,1.1862e-28,1.31805e-29,8.74058e-29,2.07979e-28
89,0.966397,5.87374e-29,2.36342e-28,3.49557e-28,5.13615e-29,1.23595e-28,2.35497e-29,9.74999e-29,1.95343e-28
90,0.966867,6.79811e-29,2.2036e-28,3.55667e-28,4.56425e-29,1.14177e-28,3.79779e-29,1.02156e-28,1.81367e-28
91,0.967399,4.97292e-29,2.12114e-28,4.20025e-28,5.33412e-29,1.28247e-28,5.65355e-29,1.0776e-28,1.86201e-28
92,0.967992,6.90185e-29,2.1312e-28,4.56144e-28,5.47843e-29,1.23434e-28,6.90145e-29,1.23663e-28,1.82898e-28
93,0.968643,6.46411e-29,2.11075e-28,4.47225e-28,5.66e-29,9.31847e-29,9.33661e-29,1.35315e-28,2.01163e-28
94,0.969349,6.31093e-29,1.92674e-28,4.93774e-28,5.47877e-29,8.69784e-29,1.39494e-28,1.42041e-28,1.70416e-28
