t,T+R,N_0,N_1,N_2,N_3
0,1,6.78315e-28,2.62055e-33,1.42108e-35,3.0396e-35
1,1,6.79457e-28,3.16691e-31,2.75848e-33,3.72978e-33
2,0.999999,6.92588e-28,1.14882e-30,1.49122e-32,1.43535e-32
3,0.999997,6.65421e-28,2.38392e-30,4.45201e-32,3.35477e-32
4,0.999995,6.8588e-28,4.09917e-30,1.05046e-31,6.20246e-32
5,0.999991,6.81392e-28,6.19335e-30,2.11791e-31,9.71237e-32
6,0.999987,6.80608e-28,8.12856e-30,3.68072e-31,1.32133e-31
7,0.999982,6.63304e-28,1.0753e-29,5.94559e-31,1.57916e-31
8,0.999975,6.37201e-28,1.31868e-29,8.93908e-31,1.61549e-31
9,0.999967,6.3681e-28,1.45676e-29,1.24871e-30,1.42844e-31
10,0.999958,6.12987e-28,1.65131e-29,1.77892e-30,1.05916e-31
11,0.999946,5.95332e-28,1.79228e-29,2.32518e-30,5.8649e-32
12,0.999933,5.94635e-28,1.87373e-29,2.8063e-30,2.0372e-32
13,0.999917,5.48391e-28,2.24556e-29,3.58966e-30,1.11958e-32
14,0.999898,5.33182e-28,2.02992e-29,4.21794e-30,5.29499e-32
15,0.999876,5.54264e-28,2.30946e-29,5.23185e-30,1.6624e-31
16,0.999851,5.04211e-28,2.49027e-29,6.60273e-30,3.41407e-31
17,0.999821,5.01991e-28,2.88269e-29,7.42687e-30,5.958e-31
18,0.999788,5.3228e-28,3.12792e-29,8.17748e-30,1.03041e-30
19,0.999749,5.1513e-28,3.68554e-29,9.61045e-30,1.50385e-30
20,0.999706,5.0244e-28,3.94132e-29,1.17581e-29,1.91042e-30
21,0.999657,5.32476e-28,4.55657e-29,1.33923e-29,2.34435e-30
22,0.999602,5.29631e-28,5.39051e-29,1.47249e-29,3.33296e-30
23,0.999541,4.70313e-28,5.82454e-29,1.57487e-29,4.17554e-30
24,0.999474,4.87474e-28,5.85775e-29,1.84468e-29,5.0936e-30
25,0.999399,4.71429e-28,5.51244e-29,2.01021e-29,5.84647e-30
26,0.999317,5.44469e-28,6.91049e-29,2.25527e-29,6.38577e-30
27,0.999227,5.6719e-28,7.44142e-29,2.14131e-29,7.60314e-30
28,0.99913,4.86792e-28,8.4427e-29,2.19732e-29,9.01434e-30
29,0.999024,4.67755e-28,7.32481e-29,2.28408e-29,9.54212e-30
30,0.998911,4.64566e-28,8.72473e-29,2.48274e-29,9.5902e-30
31,0.99879,5.10059e-28,7.44734e-29,2.9421e-29,1.14055e-29
32,0.998661,4.9233e-28,7.88088e-29,2.52962e-29,1.3016e-29
33,0.998524,4.15187e-28,9.28128e-29,2.93084e-29,1.55803e-29
34,0.998379,4.20393e-28,9.08388e-29,2.88864e-29,1.71461e-29
35,0.998228,4.14218e-28,9.3511e-29,3.13878e-29,1.80261e-29
36,0.99807,4.4077e-28,1.01531e-28,3.22367e-29,1.8542e-29
37,0.997907,4.14252e-28,1.17923e-28,3.51952e-29,2.31391e-29
38,0.997738,4.07127e-28,1.19438e-28,3.96119e-29,2.97094e-29
39,0.997564,3.67577e-28,1.22653e-28,4.58907e-29,3.01689e-29
40,0.997387,3.67841e-28,1.20428e-28,4.62186e-29,3.13549e-29
41,0.997208,4.12625e-28,1.43656e-28,4.8278e-29,3.92185e-29
42,0.997027,3.99474e-28,1.4902e-28,5.93498e-29,4.77822e-29
43,0.996846,3.78912e-28,1.56322e-28,5.99213e-29,5.09054e-29
44,0.996665,3.37331e-28,1.64686e-28,6.64112e-29,4.44154e-29
45,0.996487,3.41336e-28,1.69612e-28,7.10419e-29,5.71721e-29
46,0.996313,4.29705e-28,1.77446e-28,7.34248e-29,6.5209e-29
