t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,1.08339e-27,4.47746e-33,5.91025e-34,1.63935e-34,2.54354e-36,5.80574e-34,5.77968e-36,2.6945e-34
1,1.00002,1.06217e-27,5.95934e-31,7.87202e-32,2.17754e-32,9.4078e-35,7.00987e-32,6.85067e-34,3.16094e-32
2,1.00007,1.06178e-27,2.38199e-30,3.121e-31,8.85673e-32,8.00254e-35,2.5251e-31,2.48137e-33,1.0783e-31
3,1.00015,1.01728e-27,5.68172e-30,7.32757e-31,2.18163e-31,5.74058e-34,5.37864e-31,5.50792e-33,2.128e-31
4,1.00026,9.79359e-28,1.03993e-29,1.35789e-30,4.35161e-31,3.08671e-33,9.07582e-31,1.02373e-32,3.27365e-31
5,1.0004,9.92454e-28,1.75446e-29,2.20389e-30,7.71878e-31,9.68327e-33,1.33376e-30,1.78707e-32,4.35006e-31
6,1.00057,9.39992e-28,2.5478e-29,3.28162e-30,1.26923e-30,2.28519e-32,1.78059e-30,3.07636e-32,5.25942e-31
7,1.00077,9.32868e-28,3.46572e-29,4.55425e-30,1.97096e-30,4.57532e-32,2.20793e-30,5.26801e-32,5.98544e-31
8,1.00101,8.962e-28,4.79911e-29,5.94044e-30,2.92845e-30,8.25409e-32,2.57716e-30,8.86187e-32,6.58194e-31
9,1.00128,8.30628e-28,6.15106e-29,7.66908e-30,4.19305e-30,1.40226e-31,2.85645e-30,1.44099e-31,7.14702e-31
10,1.00158,8.09861e-28,7.48972e-29,9.54004e-30,5.77432e-30,2.27075e-31,3.02787e-30,2.24009e-31,7.79488e-31
11,1.00191,7.69136e-28,8.76529e-29,1.17342e-29,7.70383e-30,3.58562e-31,3.09122e-30,3.3142e-31,8.63499e-31
12,1.00228,7.66114e-28,1.01233e-28,1.3619e-29,9.97544e-30,5.53301e-31,3.06676e-30,4.67197e-31,9.75682e-31
13,1.00268,7.34504e-28,1.17197e-28,1.60475e-29,1.25823e-29,8.33494e-31,2.99452e-30,6.30034e-31,1.12278e-30
14,1.00312,6.89617e-28,1.2799e-28,1.9028e-29,1.54865e-29,1.22162e-30,2.93146e-30,8.18598e-31,1.30881e-30
15,1.0036,6.02324e-28,1.36013e-28,2.18838e-29,1.87243e-29,1.74902e-30,2.95204e-30,1.03315e-30,1.53565e-30
16,1.00411,6.65951e-28,1.50737e-28,2.57676e-29,2.20493e-29,2.45211e-30,3.10012e-30,1.27852e-30,1.80331e-30
17,1.00466,6.22669e-28,1.5729e-28,2.82366e-29,2.5737e-29,3.33157e-30,3.45465e-30,1.56343e-30,2.11393e-30
18,1.00524,6.77382e-28,1.49968e-28,3.176e-29,2.97371e-29,4.45606e-30,4.03719e-30,1.90378e-30,2.47011e-30
19,1.00587,5.78921e-28,1.66636e-28,3.51464e-29,3.39878e-29,5.73244e-30,4.9021e-30,2.31716e-30,2.88021e-30
20,1.00654,5.70443e-28,1.71423e-28,4.05261e-29,3.78706e-29,7.15193e-30,6.03791e-30,2.81816e-30,3.36589e-30
