t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
44,1.14673,1.04439e-25,4.90179e-26,2.92499e-26,1.50433e-26,4.99426e-27,3.77264e-27,7.44999e-28,3.33912e-27
45,1.15689,1.01317e-25,5.40356e-26,2.8326e-26,1.70171e-26,5.8229e-27,4.19083e-27,8.03114e-28,3.81138e-27
46,1.16752,9.78948e-26,5.20882e-26,2.92125e-26,1.78925e-26,6.43948e-27,4.86814e-27,8.06134e-28,4.27289e-27
47,1.17863,9.87278e-26,4.93957e-26,2.93426e-26,1.91143e-26,6.93458e-27,5.50948e-27,8.57574e-28,4.6154e-27
48,1.1902,8.95299e-26,5.31897e-26,2.94128e-26,1.98861e-26,8.05422e-27,5.76765e-27,1.02304e-27,4.71325e-27
49,1.20222,7.17479e-26,5.29005e-26,2.8983e-26,2.16696e-26,8.51062e-27,5.75949e-27,1.12956e-27,5.09606e-27
50,1.21466,7.67909e-26,5.54355e-26,2.75079e-26,2.46099e-26,9.74413e-27,6.76217e-27,1.14724e-27,5.79467e-27
51,1.2275,8.15073e-26,4.99643e-26,2.63944e-26,2.59767e-26,9.86345e-27,7.57944e-27,1.39365e-27,6.37974e-27
52,1.24072,7.74561e-26,4.98425e-26,2.98717e-26,2.66476e-26,1.17312e-26,8.56318e-27,1.65058e-27,7.71677e-27
53,1.25428,7.91643e-26,4.75337e-26,2.77046e-26,2.50719e-26,1.18284e-26,1.04898e-26,1.67269e-27,8.68218e-27
54,1.26814,6.91919e-26,4.96294e-26,2.88812e-26,2.59376e-26,1.21993e-26,1.27268e-26,1.96277e-27,9.80065e-27
55,1.28225,7.43882e-26,4.78067e-26,2.98947e-26,2.58312e-26,1.3451e-26,1.41895e-26,2.12019e-27,1.05614e-26
56,1.29657,7.22341e-26,4.57877e-26,3.20251e-26,2.45447e-26,1.37448e-26,1.57445e-26,2.19842e-27,1.11934e-26
57,1.31105,6.84297e-26,4.73422e-26,3.10174e-26,2.53902e-26,1.46991e-26,1.6861e-26,2.31903e-27,1.16767e-26
58,1.32562,6.33714e-26,4.39167e-26,3.0551e-26,2.41755e-26,1.53926e-26,1.69122e-26,2.80826e-27,1.23355e-26
59,1.34023,5.48195e-26,4.26617e-26,3.19445e-26,2.51787e-26,1.55793e-26,1.7408e-26,3.17041e-27,1.28495e-26
60,1.35482,5.50527e-26,4.29512e-26,2.97707e-26,2.45225e-26,1.61092e-26,1.84255e-26,3.42479e-27,1.39363e-26
61,1.36933,5.62694e-26,4.16863e-26,3.04962e-26,2.48089e-26,1.77092e-26,1.84694e-26,3.65863e-27,1.45998e-26
62,1.38368,5.22355e-26,4.25599e-26,2.80908e-26,2.31329e-26,1.87949e-26,1.96083e-26,4.45139e-27,1.69093e-26
63,1.39782,6.08837e-26,4.03422e-26,2.90198e-26,2.31744e-26,1.98887e-26,2.043e-26,4.71132e-27,1.87277e-26
64,1.41167,6.17791e-26,3.9937e-26,2.91533e-26,2.21075e-26,2.15416e-26,2.0664e-26,5.62303e-27,2.07111e-26
65,1.42518,5.22194e-26,4.48553e-26,3.15394e-26,2.13368e-26,2.14328e-26,2.19528e-26,6.04639e-27,2.17558e-26
66,1.43827,5.38633e-26,4.56071e-26,2.96926e-26,1.90774e-26,2.11656e-26,2.34579e-26,6.80706e-27,2.35048e-26
67,1.45088,5.42185e-26,4.60224e-26,3.11948e-26,1.97225e-26,2.37948e-26,2.25551e-26,7.50736e-27,2.55918e-26
68,1.46296,4.85646e-26,4.02211e-26,2.86619e-26,2.02193e-26,2.53196e-26,2.27329e-26,7.87155e-27,2.55455e-26
69,1.47443,4.37439e-26,3.66127e-26,3.10651e-26,2.09962e-26,2.59035e-26,2.3183e-26,8.78341e-27,2.82814e-26
70,1.48526,3.2054e-26,3.53896e-26,3.01776e-26,1.80132e-26,2.58716e-26,2.38751e-26,9.64612e-27,3.03329e-26
