t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,0.999999,3.29192e-26,1.17608e-31,4.32511e-33,5.90818e-33,6.20686e-35,1.63736e-34,3.55714e-36,2.93025e-34
1,0.999905,3.25601e-26,1.26102e-29,6.16878e-31,6.86399e-31,1.03264e-32,2.42497e-32,3.36697e-34,3.55782e-32
2,0.999653,3.23963e-26,4.21216e-29,2.45311e-30,2.38825e-30,5.97777e-32,1.13934e-31,2.31461e-33,1.2926e-31
3,0.999243,3.26907e-26,8.79736e-29,5.37064e-30,4.95448e-30,1.97798e-31,3.1811e-31,1.18903e-32,2.80292e-31
4,0.998674,3.18219e-26,1.52474e-28,8.74387e-30,8.24434e-30,4.82362e-31,6.91146e-31,4.49248e-32,4.89309e-31
5,0.997947,3.17911e-26,2.38607e-28,1.16687e-29,1.20967e-29,9.58957e-31,1.27713e-30,1.33164e-31,7.59836e-31
6,0.997061,3.05444e-26,3.56553e-28,1.36223e-29,1.63069e-29,1.63868e-30,2.0955e-30,3.27282e-31,1.09695e-30
7,0.996014,3.12326e-26,5.10907e-28,1.38309e-29,2.04945e-29,2.49276e-30,3.13311e-30,6.93247e-31,1.50493e-30
8,0.994806,3.08934e-26,7.18987e-28,1.36594e-29,2.4143e-29,3.42458e-30,4.34173e-30,1.30099e-30,1.98688e-30
9,0.993436,3.00197e-26,9.72594e-28,1.36873e-29,2.64266e-29,4.3169e-30,5.65393e-30,2.20807e-30,2.54757e-30
10,0.991902,3.12717e-26,1.2233e-27,1.58391e-29,2.67415e-29,4.99741e-30,6.98631e-30,3.44015e-30,3.19744e-30
11,0.990204,3.01871e-26,1.53937e-27,2.44823e-29,2.47873e-29,5.31761e-30,8.27372e-30,4.98059e-30,3.95357e-30
12,0.988339,3.06562e-26,1.78819e-27,3.92754e-29,2.06343e-29,5.11739e-30,9.44854e-30,6.7616e-30,4.83169e-30
13,0.986306,3.16344e-26,2.03632e-27,6.46019e-29,1.41826e-29,4.32981e-30,1.04055e-29,8.66434e-30,5.83311e-30
14,0.984103,3.03239e-26,2.19283e-27,9.67849e-29,7.80279e-30,3.18119e-30,1.11586e-29,1.05275e-29,6.92589e-30
15,0.981729,2.96055e-26,2.49175e-27,1.36526e-28,2.85511e-30,1.77518e-30,1.14919e-29,1.21845e-29,8.03128e-30
16,0.979182,2.95498e-26,2.66064e-27,1.87503e-28,6.08282e-31,6.18075e-31,1.15195e-29,1.34974e-29,9.01555e-30
17,0.976459,2.98577e-26,2.79839e-27,2.29872e-28,2.56008e-30,1.07031e-31,1.09393e-29,1.42917e-29,9.72037e-30
18,0.973559,2.94785e-26,3.00483e-27,3.13695e-28,9.84253e-30,9.45435e-31,1.03008e-29,1.45543e-29,9.97823e-30
19,0.97048,3.07684e-26,3.44676e-27,3.88664e-28,2.16039e-29,3.57059e-30,9.67856e-30,1.4233e-29,9.68116e-30
20,0.967219,2.73806e-26,3.80851e-27,4.54601e-28,3.95072e-29,8.46966e-30,9.51618e-30,1.34682e-29,8.76575e-30
21,0.963775,2.82756e-26,3.91677e-27,4.94245e-28,6.47664e-29,1.44696e-29,1.07718e-29,1.23494e-29,7.33173e-30
22,0.960144,2.60653e-26,4.17743e-27,6.06771e-28,8.82655e-29,2.40313e-29,1.37124e-29,1.11139e-29,5.47769e-30
23,0.956325,2.64764e-26,4.25577e-27,6.76311e-28,1.20728e-28,3.40867e-29,1.83907e-29,1.02461e-29,3.55203e-30
24,0.952317,2.59228e-26,4.32748e-27,7.93902e-28,1.54301e-28,4.78388e-29,2.6457e-29,9.52948e-30,1.89508e-30
25,0.948115,2.3251e-26,4.60895e-27,8.84735e-28,1.90605e-28,6.25402e-29,3.57559e-29,9.71144e-30,1.09903e-30
26,0.943719,2.39965e-26,4.72583e-27,9.01664e-28,2.28159e-28,7.68177e-29,4.916e-29,1.0921e-29,1.54568e-30
27,0.939126,2.25715e-26,4.52658e-27,1.12376e-27,2.76788e-28,9.65873e-29,6.53437e-29,1.2516e-29,3.57462e-30
28,0.934335,2.44783e-26,4.64808e-27,1.20648e-27,3.18055e-28,1.18772e-28,8.05845e-29,1.52982e-29,7.09179e-30
29,0.929343,2.36488e-26,4.88485e-27,1.31541e-27,4.08824e-28,1.55644e-28,9.85331e-29,1.84342e-29,1.15053e-29
30,0.924149,2.36682e-26,4.88194e-27,1.4129e-27,5.11065e-28,1.85098e-28,1.15627e-28,2.16177e-29,1.58645e-29
31,0.918751,2.134e-26,5.66444e-27,1.62848e-27,6.26256e-28,2.23488e-28,1.36234e-28,2.70534e-29,1.93189e-29
32,0.913148,2.18967e-26,5.28202e-27,1.80455e-27,8.00108e-28,2.54348e-28,1.51934e-28,3.00334e-29,2.06569e-29
33,0.907338,2.17923e-26,5.92148e-27,2.12227e-27,9.77181e-28,3.01292e-28,1.77519e-28,3.49566e-29,1.90014e-29
34,0.901322,2.08334e-26,6.23982e-27,2.1918e-27,1.17958e-27,3.19159e-28,1.91806e-28,3.89953e-29,1.43623e-29
35,0.895098,1.93889e-26,6.64808e-27,2.33064e-27,1.35849e-27,3.59167e-28,1.92144e-28,4.80822e-29,8.48003e-30
36,0.888666,1.86596e-26,6.98638e-27,2.43014e-27,1.49745e-27,3.53577e-28,1.98871e-28,5.16561e-29,3.29941e-30
37,0.882027,2.02608e-26,7.32003e-27,2.51549e-27,1.6429e-27,3.59704e-28,1.83921e-28,5.97321e-29,1.75091e-30
38,0.87518,1.94028e-26,7.35917e-27,2.81957e-27,1.74712e-27,3.69065e-28,1.82428e-28,6.04654e-29,6.81083e-30
39,0.868129,1.99023e-26,7.72263e-27,2.80751e-27,1.89383e-27,3.72861e-28,1.40578e-28,6.47445e-29,1.96509e-29
40,0.860873,1.86427e-26,8.73092e-27,3.12905e-27,1.91461e-27,3.73146e-28,1.0507e-28,6.94896e-29,4.23829e-29
41,0.853415,1.97029e-26,8.35386e-27,3.28834e-27,2.03609e-27,4.01541e-28,7.95436e-29,6.84211e-29,7.91506e-29
42,0.84576,1.82618e-26,9.04525e-27,3.73264e-27,1.90598e-27,3.85205e-28,7.05681e-29,7.84282e-29,1.26675e-28
43,0.837909,1.87562e-26,8.1672e-27,3.82903e-27,1.91693e-27,4.57908e-28,5.13794e-29,6.90706e-29,1.81641e-28
44,0.829868,1.86182e-26,8.96333e-27,3.83751e-27,1.8152e-27,5.33069e-28,5.27426e-29,8.95574e-29,2.63894e-28
45,0.821642,1.55045e-26,8.70346e-27,4.27455e-27,1.74826e-27,5.59123e-28,9.70654e-29,8.66503e-29,3.58491e-28
46,0.813237,1.55442e-26,8.58634e-27,3.97165e-27,1.79999e-27,6.57843e-28,1.34622e-28,1.08732e-28,4.44643e-28
47,0.80466,1.54205e-26,7.84751e-27,4.15487e-27,1.62662e-27,6.26954e-28,2.12561e-28,1.10619e-28,5.18442e-28
48,0.795919,1.66332e-26,7.40487e-27,4.45058e-27,1.53701e-27,7.94698e-28,2.78084e-28,1.10299e-28,6.30597e-28
49,0.787023,1.43291e-26,8.19791e-27,4.19476e-27,1.57716e-27,8.3582e-28,3.72551e-28,1.41705e-28,7.07577e-28
50,0.777983,1.49686e-26,7.29469e-27,4.08162e-27,1.59949e-27,9.95787e-28,4.822e-28,1.7158e-28,7.85557e-28
51,0.768807,1.31555e-26,8.10523e-27,4.04765e-27,1.65753e-27,8.76609e-28,5.90753e-28,1.87064e-28,8.13761e-28
52,0.75951,1.42101e-26,7.00449e-27,4.19803e-27,1.68233e-27,1.05323e-27,7.56533e-28,1.84078e-28,8.53971e-28
53,0.750103,1.40714e-26,6.97334e-27,4.12032e-27,1.70889e-27,1.17448e-27,8.9145e-28,2.3001e-28,9.4547e-28
54,0.7406,1.12581e-26,6.94243e-27,3.92626e-27,1.84203e-27,1.24043e-27,1.01566e-27,2.58002e-28,9.90009e-28
55,0.731016,1.25784e-26,6.69045e-27,4.24101e-27,1.76545e-27,1.33125e-27,1.09645e-27,3.09293e-28,1.05028e-27
56,0.721366,1.26175e-26,7.41677e-27,3.85173e-27,1.87587e-27,1.37646e-27,1.26587e-27,3.63255e-28,1.19354e-27
57,0.711667,1.15051e-26,8.03613e-27,4.26068e-27,1.96747e-27,1.61314e-27,1.44348e-27,4.33588e-28,1.29568e-27
58,0.701937,1.25788e-26,7.85e-27,4.10432e-27,2.10861e-27,1.7046e-27,1.73084e-27,4.88261e-28,1.51102e-27
59,0.692193,1.11704e-26,8.51837e-27,4.21641e-27,2.11524e-27,2.08443e-27,1.80834e-27,5.97633e-28,1.71486e-27
60,0.682454,1.19807e-26,7.9754e-27,4.77257e-27,2.3465e-27,2.1023e-27,1.8425e-27,7.09608e-28,1.90085e-27
61,0.672739,1.04647e-26,8.5538e-27,4.65831e-27,2.48387e-27,2.39645e-27,1.99951e-27,8.70396e-28,2.10526e-27
62,0.663068,1.01247e-26,8.83441e-27,5.20321e-27,2.49851e-27,2.77485e-27,2.22522e-27,9.68587e-28,2.39353e-27
63,0.653461,1.03136e-26,8.29483e-27,4.94962e-27,2.55206e-27,3.0715e-27,2.30721e-27,1.0757e-27,2.53651e-27
64,0.643939,8.21432e-27,8.66072e-27,5.58826e-27,2.7063e-27,3.22295e-27,2.61106e-27,1.0606e-27,2.73054e-27
65,0.634522,8.93368e-27,8.42904e-27,5.47454e-27,2.33892e-27,3.46333e-27,2.82786e-27,1.26242e-27,3.31529e-27
66,0.625232,8.99991e-27,7.27311e-27,5.43986e-27,2.2774e-27,3.85586e-27,2.99393e-27,1.2479e-27,3.66121e-27
67,0.616089,7.10014e-27,8.66209e-27,4.91235e-27,1.96215e-27,4.33013e-27,3.33665e-27,1.15855e-27,3.94337e-27
68,0.607114,9.07125e-27,7.79726e-27,5.4452e-27,1.9619e-27,4.4855e-27,3.45207e-27,1.1655e-27,4.41181e-27
69,0.598327,7.4161e-27,7.5879e-27,4.95241e-27,1.72593e-27,4.41146e-27,3.10681e-27,9.4915e-28,4.66479e-27
70,0.58975,7.39852e-27,7.19114e-27,4.97895e-27,1.754e-27,4.72383e-27,3.38462e-27,1.09122e-27,4.99247e-27
71,0.581402,7.29709e-27,6.80137e-27,4.87883e-27,1.68732e-27,4.21841e-27,3.53928e-27,8.86573e-28,5.02368e-27
72,0.573303,6.77854e-27,6.9548e-27,5.15932e-27,1.47773e-27,4.3895e-27,3.11425e-27,6.83537e-28,4.80658e-27
73,0.565471,6.22163e-27,6.33044e-27,4.79699e-27,1.58049e-27,3.94245e-27,2.59756e-27,4.77945e-28,4.85053e-27
74,0.557926,6.08271e-27,6.7348e-27,4.77209e-27,1.58657e-27,3.64918e-27,2.28662e-27,4.77396e-28,4.73816e-27
75,0.550686,5.30445e-27,6.07528e-27,4.90045e-27,1.45887e-27,3.54601e-27,2.98195e-27,4.26439e-28,4.93622e-27
76,0.543767,5.43078e-27,5.73863e-27,4.42251e-27,1.26483e-27,3.37774e-27,2.3133e-27,3.80717e-28,4.62842e-27
77,0.537186,5.70514e-27,5.95408e-27,5.13011e-27,1.28339e-27,3.11857e-27,1.68802e-27,3.05299e-28,4.38166e-27
78,0.530958,6.07635e-27,5.61619e-27,5.31372e-27,1.28069e-27,3.35527e-27,1.91423e-27,3.10001e-28,4.23371e-27
79,0.525099,5.49266e-27,5.43258e-27,5.89181e-27,1.35447e-27,3.15155e-27,1.95845e-27,5.05774e-28,3.88776e-27
80,0.519622,5.11233e-27,4.78336e-27,6.64019e-27,1.15568e-27,3.28664e-27,2.22736e-27,4.98144e-28,3.60081e-27
81,0.514539,5.37368e-27,3.99836e-27,6.44829e-27,1.05391e-27,3.09332e-27,2.5279e-27,5.48579e-28,3.55447e-27
82,0.509864,5.32982e-27,4.08835e-27,6.55905e-27,1.0013e-27,2.8955e-27,2.04161e-27,6.86841e-28,3.42078e-27
83,0.505606,5.68112e-27,3.5924e-27,6.98248e-27,9.38692e-28,2.86085e-27,1.88836e-27,7.70841e-28,3.70828e-27
84,0.501776,4.7386e-27,3.02021e-27,7.20011e-27,9.98682e-28,2.61318e-27,2.57671e-27,9.64922e-28,3.59503e-27
85,0.498382,5.21669e-27,2.96551e-27,6.88335e-27,8.00809e-28,2.94717e-27,2.83981e-27,1.32535e-27,3.2887e-27
86,0.495433,4.88674e-27,2.77964e-27,7.05294e-27,8.05606e-28,3.11861e-27,3.37521e-27,1.60445e-27,3.61837e-27
87,0.492935,4.88604e-27,2.59859e-27,6.71436e-27,8.81738e-28,2.97005e-27,3.3749e-27,1.74316e-27,4.12433e-27
88,0.490894,4.46566e-27,2.67277e-27,7.60827e-27,8.9159e-28,3.17643e-27,4.48961e-27,1.69659e-27,4.35161e-27
89,0.489315,4.23625e-27,2.14393e-27,6.58393e-27,8.22558e-28,3.80872e-27,5.30658e-27,2.17635e-27,4.12322e-27
90,0.488201,4.60437e-27,1.95477e-27,5.75747e-27,8.12581e-28,4.52033e-27,5.25037e-27,2.30417e-27,4.34239e-27
91,0.487555,4.66814e-27,1.76437e-27,6.27087e-27,8.21392e-28,4.42182e-27,5.54613e-27,2.26794e-27,4.28727e-27
92,0.487377,3.9348e-27,2.01003e-27,6.89143e-27,7.03484e-28,4.3484e-27,5.63837e-27,2.41123e-27,5.16175e-27
93,0.487669,3.67275e-27,1.2275e-27,6.34945e-27,8.2091e-28,5.08567e-27,5.02175e-27,2.5002e-27,5.37404e-27
94,0.488429,3.50434e-27,9.57132e-28,5.78882e-27,7.25866e-28,5.32425e-27,5.97721e-27,2.29633e-27,6.04812e-27
95,0.489656,4.27804e-27,9.42042e-28,5.98822e-27,7.87745e-28,4.97314e-27,5.98729e-27,1.98017e-27,5.55637e-27
96,0.491347,4.62304e-27,7.65901e-28,6.97408e-27,5.16794e-28,5.43718e-27,5.76336e-27,1.90915e-27,6.3074e-27
97,0.493497,4.02231e-27,4.76738e-28,7.83056e-27,6.60775e-28,5.21616e-27,6.14378e-27,1.8172e-27,6.75378e-27
98,0.496103,4.34003e-27,1.9702e-28,8.49264e-27,9.83038e-28,6.3691e-27,6.47877e-27,1.47489e-27,7.25657e-27
99,0.499158,4.13552e-27,2.20722e-28,8.29962e-27,1.09837e-27,7.18625e-27,5.76714e-27,1.35846e-27,7.10385e-27
100,0.502656,4.75395e-27,9.09748e-29,9.63545e-27,8.90135e-28,6.61419e-27,5.93856e-27,9.35748e-28,6.54415e-27
101,0.506589,4.38357e-27,7.6605e-29,1.1186e-26,1.08866e-27,5.83069e-27,5.58337e-27,7.71566e-28,6.63267e-27
102,0.510949,3.90122e-27,4.32982e-29,1.26815e-26,1.31889e-27,6.97875e-27,6.57126e-27,7.96442e-28,6.34017e-27
103,0.515728,4.48938e-27,4.84731e-29,1.22156e-26,1.1717e-27,6.86827e-27,5.09747e-27,8.87718e-28,6.27969e-27
104,0.520915,4.33189e-27,1.0379e-28,1.2836e-26,1.41022e-27,6.36763e-27,4.70016e-27,1.05205e-27,5.97591e-27
105,0.526502,4.42647e-27,1.01587e-28,1.44997e-26,1.04081e-27,6.45043e-27,4.01713e-27,9.0468e-28,5.15823e-27
106,0.532478,3.99862e-27,2.8078e-28,1.57773e-26,1.02031e-27,6.79635e-27,4.45948e-27,1.26514e-27,4.47085e-27
107,0.538832,3.57808e-27,4.25604e-28,1.5867e-26,7.95367e-28,7.42359e-27,3.72948e-27,1.42433e-27,3.58389e-27
108,0.545554,3.82365e-27,6.30733e-28,1.75288e-26,1.01193e-27,6.17354e-27,2.86345e-27,1.56801e-27,3.06085e-27
109,0.552632,4.80539e-27,8.28087e-28,1.77705e-26,8.78623e-28,5.38061e-27,2.6298e-27,1.90696e-27,2.67565e-27
110,0.560056,3.84547e-27,1.16323e-27,1.72373e-26,1.08465e-27,6.18217e-27,2.59799e-27,2.13538e-27,2.13546e-27
111,0.567814,3.99181e-27,1.73715e-27,1.82219e-26,1.07334e-27,6.25269e-27,2.73855e-27,2.02159e-27,1.91379e-27
112,0.575895,3.69437e-27,1.85965e-27,1.82176e-26,1.31406e-27,5.92269e-27,2.6587e-27,1.91439e-27,2.07403e-27
113,0.584289,4.38198e-27,2.22017e-27,1.67577e-26,1.22435e-27,6.03786e-27,2.81779e-27,2.32926e-27,2.14964e-27
114,0.592985,4.86817e-27,2.56579e-27,1.51402e-26,1.23937e-27,4.75777e-27,3.50519e-27,2.41447e-27,2.10112e-27
115,0.601972,3.86216e-27,2.92319e-27,1.42061e-26,1.8081e-27,4.40344e-27,2.84947e-27,2.24325e-27,1.88881e-27
116,0.611241,3.8036e-27,4.07975e-27,1.53599e-26,1.99568e-27,3.92448e-27,3.64005e-27,1.60166e-27,2.3557e-27
117,0.620782,4.75904e-27,3.39854e-27,1.23326e-26,1.79969e-27,3.69859e-27,3.49613e-27,1.89531e-27,2.67566e-27
118,0.630585,5.33762e-27,4.41059e-27,1.26446e-26,1.66917e-27,3.18878e-27,3.6712e-27,2.23898e-27,2.49167e-27
119,0.640641,4.40597e-27,4.85151e-27,1.48511e-26,1.37146e-27,2.44087e-27,3.57446e-27,1.70449e-27,2.68968e-27
120,0.650942,5.34115e-27,5.9168e-27,1.39606e-26,2.14163e-27,1.93098e-27,3.3825e-27,1.33843e-27,3.15401e-27
121,0.66148,4.90545e-27,5.31664e-27,1.25805e-26,1.92173e-27,2.02881e-27,3.04619e-27,1.29283e-27,3.42753e-27
122,0.672246,5.24554e-27,6.22544e-27,1.19476e-26,2.09128e-27,1.73509e-27,3.22933e-27,1.36645e-27,3.29351e-27
123,0.683235,5.99047e-27,5.70163e-27,1.02559e-26,1.74895e-27,1.47346e-27,2.81255e-27,1.21003e-27,3.2642e-27
124,0.694438,5.05768e-27,6.22674e-27,1.10201e-26,1.99258e-27,1.11891e-27,2.57519e-27,8.77564e-28,3.52004e-27
125,0.705849,5.45973e-27,5.8152e-27,9.59156e-27,1.98983e-27,1.07869e-27,2.49763e-27,7.57252e-28,3.53162e-27
126,0.717462,5.98648e-27,5.67237e-27,8.65421e-27,2.1148e-27,1.09398e-27,2.60779e-27,4.35548e-28,3.22832e-27
127,0.729272,5.54671e-27,4.77453e-27,7.40884e-27,1.90088e-27,1.85461e-27,2.17917e-27,3.20412e-28,3.12696e-27
128,0.741272,6.6518e-27,6.20918e-27,5.36848e-27,1.74132e-27,1.98345e-27,2.36103e-27,1.81365e-28,3.15532e-27
129,0.753457,6.69423e-27,5.99389e-27,6.38554e-27,1.76316e-27,2.27928e-27,1.87407e-27,3.4313e-29,2.79277e-27
130,0.765823,6.70426e-27,5.73649e-27,5.21768e-27,1.77357e-27,3.48217e-27,2.48186e-27,-3.16886e-29,3.01243e-27
131,0.778364,6.1373e-27,5.94922e-27,5.05087e-27,1.4997e-27,3.39237e-27,2.00905e-27,4.38354e-29,2.63412e-27
132,0.791075,6.75978e-27,5.06595e-27,5.08844e-27,1.60662e-27,4.06717e-27,2.12089e-27,8.71725e-29,2.26141e-27
133,0.803952,5.22385e-27,6.64316e-27,5.09821e-27,1.45565e-27,4.24797e-27,1.65092e-27,2.40464e-28,2.03237e-27
134,0.816989,5.56125e-27,6.53332e-27,5.06228e-27,1.35218e-27,4.87468e-27,1.57276e-27,3.7871e-28,1.94395e-27
135,0.830182,5.81563e-27,5.98357e-27,5.49114e-27,1.54321e-27,5.30805e-27,1.5945e-27,7.25774e-28,1.84918e-27
136,0.843526,5.82782e-27,4.63663e-27,5.29127e-27,1.33939e-27,5.21149e-27,1.45669e-27,1.05272e-27,1.96507e-27
137,0.857016,7.54808e-27,4.94978e-27,4.72766e-27,1.22719e-27,5.20802e-27,1.1105e-27,9.40141e-28,2.29241e-27
138,0.870646,7.67413e-27,5.42056e-27,4.83947e-27,1.12272e-27,4.95332e-27,1.12814e-27,1.52202e-27,2.05494e-27
139,0.884409,7.67747e-27,6.81841e-27,5.86469e-27,9.43936e-28,5.33566e-27,7.33018e-28,1.46974e-27,2.03961e-27
140,0.898301,9.97067e-27,8.81048e-27,6.65241e-27,9.24379e-28,5.28622e-27,6.23756e-28,1.60034e-27,2.25807e-27
141,0.912315,1.13617e-26,8.06122e-27,6.30114e-27,8.75214e-28,5.27341e-27,6.59429e-28,1.79353e-27,2.17387e-27
142,0.926444,1.20976e-26,9.5911e-27,6.43103e-27,9.82986e-28,4.48563e-27,5.49816e-28,1.711e-27,1.96073e-27
143,0.94068,1.30196e-26,1.26056e-26,5.82094e-27,8.95069e-28,4.58066e-27,6.9342e-28,1.89939e-27,2.18538e-27
144,0.955016,1.29646e-26,1.45046e-26,6.06652e-27,6.54242e-28,4.23549e-27,9.22164e-28,1.76553e-27,2.27243e-27
145,0.969443,1.37842e-26,1.4189e-26,7.31976e-27,7.86451e-28,4.52843e-27,1.26767e-27,1.75187e-27,2.07158e-27
146,0.983954,1.31346e-26,1.41225e-26,6.1534e-27,7.80202e-28,3.6958e-27,1.41859e-27,1.5316e-27,2.01039e-27
147,0.998538,1.59399e-26,1.54833e-26,6.86277e-27,8.77814e-28,3.90196e-27,1.49957e-27,1.33455e-27,1.69009e-27
148,1.01319,1.45152e-26,1.60014e-26,6.53437e-27,6.15823e-28,3.27138e-27,2.08343e-27,1.47988e-27,1.94124e-27
149,1.02789,1.75225e-26,1.5831e-26,6.94506e-27,7.60327e-28,3.4043e-27,2.15929e-27,1.32959e-27,1.77594e-27
150,1.04263,1.62956e-26,1.73903e-26,6.4399e-27,6.40674e-28,3.32882e-27,2.61958e-27,8.91985e-28,1.28459e-27
151,1.05741,1.90915e-26,1.55046e-26,6.66011e-27,5.36871e-28,2.61097e-27,2.84114e-27,7.21178e-28,1.2367e-27
152,1.07222,1.88395e-26,1.66054e-26,6.25265e-27,3.28421e-28,2.65129e-27,2.83242e-27,5.29838e-28,1.42412e-27
153,1.08703,1.82493e-26,1.65946e-26,6.05974e-27,3.92478e-28,1.96784e-27,2.66063e-27,3.70982e-28,9.95401e-28
154,1.10184,2.05436e-26,1.56169e-26,6.05606e-27,3.65985e-28,1.72264e-27,2.84546e-27,2.86299e-28,9.16865e-28
155,1.11664,2.06797e-26,1.60019e-26,4.72102e-27,3.70134e-28,1.84161e-27,2.56687e-27,2.12401e-28,8.85608e-28
156,1.13142,2.19534e-26,1.68385e-26,5.07502e-27,2.89894e-28,1.46093e-27,2.74394e-27,1.79152e-28,8.80942e-28
157,1.14617,2.13231e-26,1.49436e-26,5.30066e-27,3.34809e-28,1.32562e-27,2.50597e-27,1.3633e-28,8.99801e-28
158,1.16087,2.26745e-26,1.30249e-26,4.56961e-27,4.978e-28,8.668e-28,2.97266e-27,2.1412e-28,7.28129e-28
159,1.17551,2.04957e-26,1.37109e-26,5.27461e-27,6.64641e-28,1.08398e-27,2.3523e-27,1.35422e-28,6.61385e-28
160,1.19009,2.2742e-26,1.39508e-26,4.63307e-27,5.78864e-28,9.33913e-28,1.97771e-27,2.6403e-28,6.83333e-28
161,1.2046,2.36154e-26,1.34123e-26,4.43415e-27,8.75755e-28,8.7922e-28,2.21706e-27,1.64174e-28,6.64243e-28
162,1.21901,2.50633e-26,1.25212e-26,4.47064e-27,6.67269e-28,8.76392e-28,1.9056e-27,2.45256e-28,7.37862e-28
163,1.23333,2.36222e-26,1.42337e-26,3.77398e-27,9.29255e-28,8.43362e-28,1.73217e-27,4.17547e-28,7.41515e-28
164,1.24755,2.56689e-26,1.2456e-26,3.356e-27,8.80623e-28,7.8069e-28,1.17234e-27,3.55817e-28,6.60197e-28
165,1.26165,2.72489e-26,1.32309e-26,2.75215e-27,9.22558e-28,4.5491e-28,9.81678e-28,1.75648e-28,8.00061e-28
166,1.27563,2.66733e-26,1.28799e-26,2.51117e-27,1.00123e-27,6.05007e-28,8.91162e-28,1.6648e-28,7.66623e-28
167,1.28949,2.91674e-26,1.33419e-26,2.12694e-27,9.12411e-28,2.9485e-28,7.19062e-28,4.31598e-28,7.40824e-28
168,1.30321,2.95578e-26,1.18955e-26,2.81632e-27,1.07337e-27,4.39333e-28,5.70268e-28,2.61198e-28,6.35058e-28
169,1.31679,3.11019e-26,1.21554e-26,2.06403e-27,8.81934e-28,4.15646e-28,7.64997e-28,2.57893e-28,5.82948e-28
170,1.33022,3.18111e-26,1.05486e-26,2.06503e-27,9.68008e-28,3.9148e-28,4.88844e-28,2.17279e-28,5.95141e-28
171,1.34351,2.92466e-26,1.05925e-26,2.38411e-27,9.93181e-28,5.65312e-28,3.42876e-28,1.46663e-28,6.18671e-28
172,1.35664,3.06886e-26,9.79551e-27,2.13461e-27,9.01068e-28,8.34775e-28,4.78577e-28,1.17293e-28,3.68856e-28
173,1.36962,3.10858e-26,9.72103e-27,1.80983e-27,1.06268e-27,7.11815e-28,3.28173e-28,8.6294e-30,3.15566e-28
174,1.38244,2.81492e-26,7.72375e-27,2.11636e-27,1.248e-27,1.44115e-27,3.50975e-28,5.18606e-29,2.33249e-28
175,1.39511,2.35013e-26,5.8856e-27,1.47045e-27,1.09936e-27,1.40766e-27,2.13597e-28,3.35697e-29,1.31365e-28
