E,T,R0,R1,R2,R3,R4,R5,R6,R7,R,N_R0,N_R1,N_R2,N_R3,N_R4,N_R5,N_R6,N_R7,E/V0
16.8094,21307.9,8.38708e-23,5.41735e-23,4.02231e-23,1.56482e-23,1.25223e-23,1.02814e-23,2.44548e-23,1.419e-20,1.44311e-20,3.93613e-27,2.54241e-27,1.8877e-27,7.34383e-28,5.87684e-28,4.82516e-28,1.14768e-27,6.65948e-25,0.168094
16.9274,20908.6,1.72205e-22,1.01604e-22,1.85513e-22,4.54738e-23,2.19634e-23,4.67288e-24,2.08343e-24,8.02805e-21,8.56157e-21,8.23608e-27,4.85943e-27,8.87255e-27,2.17488e-27,1.05045e-27,2.23491e-28,9.96445e-29,3.83959e-25,0.169274
17.0458,20509.6,1.57697e-22,1.06735e-24,2.13306e-23,5.1853e-23,3.68619e-23,3.00179e-23,1.17257e-23,4.60074e-21,4.91129e-21,7.68897e-27,5.20414e-29,1.04003e-27,2.52823e-27,1.7973e-27,1.46361e-27,5.71721e-28,2.24322e-25,0.170458
17.1646,20111.1,5.14756e-23,2.99034e-24,1.74745e-23,5.52552e-24,-1.18777e-24,-1.07666e-24,7.36483e-25,2.20694e-21,2.28288e-21,2.55956e-27,1.48691e-28,8.68898e-28,2.74749e-28,-5.90606e-29,-5.35356e-29,3.66207e-29,1.09738e-25,0.171646
17.2838,19713.4,7.97577e-23,3.28765e-23,6.96543e-23,2.18457e-23,1.44296e-23,-2.26661e-25,2.21965e-23,1.54642e-21,1.78695e-21,4.04586e-27,1.66772e-27,3.53334e-27,1.10816e-27,7.3197e-28,-1.14978e-29,1.12596e-27,7.84448e-26,0.172838
17.4034,19316.8,2.50797e-22,6.06036e-24,3.97985e-23,5.12374e-23,3.43527e-23,3.0994e-24,2.87425e-24,9.59787e-22,1.34801e-21,1.29834e-26,3.13735e-28,2.0603e-27,2.65248e-27,1.77839e-27,1.60451e-28,1.48795e-28,4.96866e-26,0.174034
17.5234,18921.5,1.57639e-22,3.90697e-23,-1.75819e-23,1.11626e-23,1.07993e-23,2.52475e-23,8.44156e-24,3.14566e-22,5.49344e-22,8.33123e-27,2.06483e-27,-9.29201e-28,5.89946e-28,5.70742e-28,1.33433e-27,4.46136e-28,1.66248e-26,0.175234
17.6438,18527.7,2.43787e-23,3.79719e-23,1.00443e-23,2.0894e-23,-6.48522e-24,1.68252e-23,1.87817e-24,1.69073e-22,2.7458e-22,1.3158e-27,2.04946e-27,5.42121e-28,1.12772e-27,-3.50028e-28,9.08108e-28,1.01371e-28,9.12544e-27,0.176438
17.7647,18135.7,9.97697e-23,-2.52504e-23,1.04252e-22,6.92203e-24,3.42822e-23,5.28019e-24,1.02505e-23,8.80034e-23,3.23509e-22,5.50127e-27,-1.3923e-27,5.74842e-27,3.81679e-28,1.89031e-27,2.91148e-28,5.65208e-28,4.85249e-27,0.177647
17.8859,17745.8,2.17414e-22,9.29589e-23,4.2669e-23,4.09818e-23,1.76053e-23,4.42283e-24,1.21382e-23,2.40976e-22,6.69165e-22,1.22515e-26,5.23835e-27,2.40445e-27,2.30937e-27,9.92078e-28,2.49232e-28,6.84004e-28,1.35793e-26,0.178859
18.0076,17358.3,1.50039e-22,4.70335e-23,2.0239e-23,3.15554e-23,-1.32925e-23,1.05561e-23,3.45929e-23,-2.91008e-23,2.51622e-22,8.64366e-27,2.70957e-27,1.16595e-27,1.81789e-27,-7.65776e-28,6.08134e-28,1.99288e-27,-1.67648e-27,0.180076
18.1297,16973.2,6.43157e-23,-7.07254e-24,6.43087e-23,1.14989e-23,6.08716e-24,6.16189e-24,1.99882e-23,1.03791e-22,2.69079e-22,3.78925e-27,-4.16689e-28,3.78884e-27,6.77472e-28,3.58634e-28,3.63037e-28,1.17763e-27,6.115e-27,0.181297
18.2522,16590.8,8.13301e-23,3.12738e-23,2.28865e-23,4.38486e-23,5.83948e-24,9.13493e-24,8.16838e-24,1.31726e-23,2.15654e-22,4.90212e-27,1.88501e-27,1.37946e-27,2.64294e-27,3.5197e-28,5.50601e-28,4.92343e-28,7.93969e-28,0.182522
18.3751,16211.4,1.13943e-22,4.24021e-23,-1.39131e-23,4.76635e-24,1.01949e-23,1.88369e-24,6.26246e-24,4.28778e-23,2.08417e-22,7.02858e-27,2.61558e-27,-8.5823e-28,2.94012e-28,6.2887e-28,1.16195e-28,3.863e-28,2.64492e-27,0.183751
18.4984,15835,1.19968e-22,7.78986e-24,1.49493e-23,-9.05214e-24,-4.94102e-25,1.53646e-24,2.10746e-23,1.60681e-23,1.7184e-22,7.57614e-27,4.91938e-28,9.44062e-28,-5.71652e-28,-3.12031e-29,9.70288e-29,1.33088e-27,1.01472e-27,0.184984
18.6222,15462,4.65182e-23,-4.07863e-24,3.37868e-23,3.12272e-23,5.04786e-24,1.00736e-24,1.69328e-23,1.43044e-23,1.44746e-22,3.00854e-27,-2.63784e-28,2.18514e-27,2.01961e-27,3.26468e-28,6.51508e-29,1.09512e-27,9.25132e-28,0.186222
18.7463,15092.5,1.25368e-23,1.40444e-23,-2.7647e-24,-5.06958e-25,1.50324e-23,2.32793e-23,2.12598e-25,2.34316e-23,8.52655e-23,8.30666e-28,9.30555e-28,-1.83183e-28,-3.359e-29,9.96014e-28,1.54244e-27,1.40863e-29,1.55253e-27,0.187463
18.8709,14726.7,4.11602e-23,5.70948e-25,1.21147e-23,1.1707e-23,1.3158e-23,-1.22753e-23,9.59497e-25,1.27099e-23,8.01049e-23,2.79494e-27,3.87696e-29,8.22635e-28,7.9495e-28,8.93484e-28,-8.3354e-28,6.51537e-29,8.63053e-28,0.188709
18.9958,14364.7,5.9696e-23,-1.7466e-24,4.1785e-24,5.997e-24,1.69684e-23,3.99713e-23,-6.30101e-25,6.08792e-24,1.30522e-22,4.15574e-27,-1.21589e-28,2.90886e-28,4.17482e-28,1.18126e-27,2.7826e-27,-4.38645e-29,4.2381e-28,0.189958
19.1212,14006.7,4.76331e-23,4.98979e-24,1.88051e-24,1.12268e-24,2.24339e-23,-3.66366e-24,1.5738e-23,1.48708e-24,9.16214e-23,3.40073e-27,3.56242e-28,1.34257e-28,8.01525e-29,1.60165e-27,-2.61564e-28,1.1236e-27,1.06169e-28,0.191212
19.247,13652.9,3.92544e-23,4.576e-24,3.91765e-23,3.09925e-23,2.10172e-23,1.79782e-23,1.18709e-23,2.3714e-24,1.67237e-22,2.87516e-27,3.35167e-28,2.86946e-27,2.27003e-27,1.5394e-27,1.3168e-27,8.69476e-28,1.73692e-28,0.19247
19.3732,13303.4,1.14565e-22,-2.48915e-24,2.716e-23,-1.17442e-24,2.26915e-23,1.77914e-23,4.05229e-24,8.9954e-24,1.91592e-22,8.61168e-27,-1.87106e-28,2.04158e-27,-8.82795e-29,1.7057e-27,1.33736e-27,3.04606e-28,6.76174e-28,0.193732
19.4999,12958.3,2.39469e-23,8.91431e-24,-4.81515e-24,1.10117e-23,-3.59606e-24,5.55293e-25,8.56136e-24,2.93069e-23,7.38853e-23,1.848e-27,6.87924e-28,-3.71589e-28,8.49779e-28,-2.77511e-28,4.28524e-29,6.60687e-28,2.26164e-27,0.194999
19.6269,12617.7,7.21232e-23,8.54736e-24,2.1239e-23,7.25262e-24,-3.90253e-24,3.99129e-24,1.72029e-23,-9.17014e-24,1.17284e-22,5.71602e-27,6.7741e-28,1.68327e-27,5.74796e-28,-3.09289e-28,3.16324e-28,1.36339e-27,-7.26767e-28,0.196269
19.7543,12281.8,7.57744e-23,-1.02358e-25,2.31585e-23,-5.252e-24,7.32659e-24,7.22454e-24,1.56578e-24,3.01799e-23,1.39875e-22,6.16963e-27,-8.33412e-30,1.88559e-27,-4.27623e-28,5.96539e-28,5.8823e-28,1.27488e-28,2.45728e-27,0.197543
19.8822,11950.7,1.13641e-22,6.72424e-25,2.09035e-23,1.03375e-24,1.84327e-24,-8.12437e-25,1.99176e-23,2.13665e-24,1.59335e-22,9.50909e-27,5.62663e-29,1.74914e-27,8.6501e-29,1.54239e-28,-6.79822e-29,1.66664e-27,1.78788e-28,0.198822
20.0105,11624.5,3.38844e-23,1.81619e-23,3.97912e-23,8.99443e-25,4.87418e-24,4.70692e-24,-3.87767e-24,1.29909e-23,1.11431e-22,2.91491e-27,1.56238e-27,3.42304e-27,7.73746e-29,4.19302e-28,4.04913e-28,-3.33577e-28,1.11754e-27,0.200105
20.1391,11303.3,8.22913e-23,8.38627e-25,6.80692e-24,-8.18577e-26,3.31019e-24,6.12654e-24,4.76518e-24,1.33739e-23,1.17431e-22,7.2803e-27,7.41932e-29,6.02207e-28,-7.24193e-30,2.92852e-28,5.42014e-28,4.21575e-28,1.18319e-27,0.201391
