t,T+R,N_0,N_1,N_2,N_3
81,0.727496,3.93075e-27,1.48721e-26,3.47426e-27,1.20008e-26
82,0.730044,4.21418e-27,1.5444e-26,3.53416e-27,1.16344e-26
83,0.732883,4.05517e-27,1.3821e-26,3.40687e-27,1.12237e-26
84,0.736008,4.0557e-27,1.46909e-26,2.68311e-27,1.05738e-26
85,0.739412,4.30186e-27,1.25013e-26,3.08993e-27,9.29746e-27
86,0.74309,3.39109e-27,1.228e-26,3.25402e-27,1.05256e-26
87,0.747034,4.5676e-27,1.38262e-26,3.15843e-27,1.00246e-26
88,0.751239,5.04924e-27,1.43705e-26,2.31935e-27,9.97516e-27
89,0.755699,4.52847e-27,1.6681e-26,2.19213e-27,1.08381e-26
90,0.760409,4.64849e-27,1.27117e-26,2.14387e-27,1.00396e-26
91,0.765363,4.82462e-27,1.67848e-26,2.32374e-27,1.08215e-26
92,0.770557,4.47845e-27,1.63358e-26,1.94534e-27,1.06878e-26
93,0.775985,4.13008e-27,1.63598e-26,1.89743e-27,1.13073e-26
94,0.781644,5.08254e-27,1.5822e-26,1.96928e-27,1.01542e-26
95,0.787528,5.61608e-27,1.6395e-26,2.02862e-27,1.01455e-26
96,0.793634,4.69238e-27,1.4584e-26,2.0601e-27,1.09859e-26
97,0.799957,5.75053e-27,1.46618e-26,2.41541e-27,1.11343e-26
98,0.806494,6.8065e-27,1.25149e-26,2.44729e-27,1.19749e-26
99,0.81324,7.32191e-27,1.23812e-26,2.5814e-27,1.22792e-26
100,0.820193,6.27607e-27,1.40507e-26,2.03321e-27,1.2905e-26
101,0.827347,7.67147e-27,1.28829e-26,3.35585e-27,1.36393e-26
102,0.834699,7.58704e-27,1.30885e-26,2.26693e-27,1.32177e-26
103,0.842246,7.58767e-27,1.18809e-26,2.45349e-27,1.44632e-26
104,0.849983,8.38621e-27,1.17905e-26,2.63924e-27,1.36146e-26
105,0.857905,7.54337e-27,1.35796e-26,3.01723e-27,1.23264e-26
106,0.866008,7.09553e-27,1.4016e-26,2.50015e-27,1.23178e-26
107,0.874288,7.68083e-27,1.61219e-26,2.93126e-27,1.235e-26
108,0.88274,8.67505e-27,1.51336e-26,2.41132e-27,1.23428e-26
109,0.891357,9.247e-27,1.65302e-26,2.26984e-27,1.25874e-26
110,0.900135,7.57634e-27,1.79227e-26,2.50019e-27,1.10872e-26
111,0.909068,8.39661e-27,1.63593e-26,2.21892e-27,1.18454e-26
112,0.91815,8.98686e-27,1.78581e-26,1.9618e-27,1.07978e-26
113,0.927374,7.93701e-27,1.69353e-26,1.66743e-27,9.98834e-27
114,0.936734,9.06651e-27,1.65202e-26,1.80616e-27,9.86997e-27
115,0.946223,8.87768e-27,1.59818e-26,1.46382e-27,8.76268e-27
116,0.955833,8.94702e-27,1.75174e-26,1.30177e-27,7.60362e-27
117,0.965558,9.72342e-27,1.52662e-26,1.00178e-27,6.48805e-27
118,0.975391,1.09354e-26,1.47545e-26,1.34832e-27,5.49336e-27
119,0.985323,1.16525e-26,1.45756e-26,9.54371e-28,4.89307e-27
120,0.995347,1.09317e-26,1.56099e-26,8.24494e-28,4.00796e-27
121,1.00546,1.10768e-26,1.28368e-26,7.30041e-28,3.44661e-27
122,1.01564,1.0954e-26,1.21563e-26,8.09961e-28,3.17956e-27
123,1.0259,1.19354e-26,8.6738e-27,7.19407e-28,3.00276e-27
124,1.03622,1.13422e-26,8.10744e-27,5.04741e-28,2.58979e-27
125,1.04659,1.22133e-26,8.64921e-27,4.12255e-28,2.36899e-27
126,1.05701,1.08536e-26,7.69476e-27,1.83279e-28,1.66043e-27
127,1.06747,1.29152e-26,8.07843e-27,5.77835e-29,2.30168e-27
128,1.07797,1.34437e-26,7.77843e-27,4.06307e-29,1.7142e-27
129,1.08849,1.36897e-26,7.01891e-27,1.00858e-29,1.67682e-27
130,1.09903,1.26749e-26,6.10901e-27,-6.45683e-29,1.66064e-27
131,1.10959,1.21422e-26,7.63153e-27,-2.2737e-29,1.24273e-27
132,1.12016,1.2064e-26,7.18766e-27,-8.64395e-29,1.12805e-27
133,1.13073,9.89506e-27,6.53179e-27,6.36769e-29,1.33511e-27
134,1.1413,1.03631e-26,5.97123e-27,-2.52868e-30,1.06802e-27
135,1.15186,9.34528e-27,5.18738e-27,5.71027e-29,1.37799e-27
