t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
38,0.978437,7.49551e-28,8.85928e-29,7.94487e-29,1.28808e-29,7.88747e-30,1.4458e-29,1.69177e-30,2.30925e-29
39,0.9769,7.3155e-28,8.36863e-29,8.03705e-29,1.17064e-29,9.28288e-30,1.68429e-29,1.68434e-30,2.70387e-29
40,0.975282,7.09294e-28,6.66508e-29,7.75359e-29,1.0819e-29,9.98037e-30,1.9121e-29,1.83714e-30,3.07235e-29
41,0.973582,6.34919e-28,7.53341e-29,8.61148e-29,1.19356e-29,1.13958e-29,2.29262e-29,1.79802e-30,3.46826e-29
42,0.971798,6.13313e-28,9.51735e-29,8.58121e-29,1.47838e-29,1.36864e-29,2.45763e-29,1.76632e-30,3.88883e-29
43,0.969929,5.92002e-28,9.6411e-29,9.2259e-29,1.85792e-29,1.64768e-29,2.72927e-29,1.56673e-30,4.3355e-29
44,0.967974,5.59299e-28,9.95401e-29,1.00546e-28,2.4146e-29,1.87431e-29,2.9288e-29,1.29573e-30,4.78052e-29
45,0.965931,5.3842e-28,8.9705e-29,1.02047e-28,2.96491e-29,2.31766e-29,3.0735e-29,1.37727e-30,5.43552e-29
46,0.963803,5.12299e-28,9.65001e-29,1.15402e-28,3.5724e-29,2.80524e-29,3.52888e-29,1.34048e-30,5.84834e-29
47,0.961588,4.73962e-28,1.20671e-28,1.22101e-28,4.41845e-29,3.17013e-29,3.71766e-29,1.70279e-30,6.54857e-29
48,0.959289,4.60599e-28,1.21036e-28,1.29974e-28,5.03083e-29,3.72647e-29,4.14645e-29,2.89974e-30,7.16174e-29
49,0.956907,4.47169e-28,1.21176e-28,1.30242e-28,6.1931e-29,4.08272e-29,4.63556e-29,3.57423e-30,8.232e-29
50,0.954445,4.90834e-28,1.16124e-28,1.36277e-28,6.42926e-29,4.56444e-29,5.25797e-29,5.74122e-30,9.17633e-29
51,0.951908,4.12036e-28,1.24888e-28,1.46806e-28,8.07756e-29,4.88797e-29,5.78525e-29,7.77534e-30,9.46044e-29
52,0.949298,4.29846e-28,1.30957e-28,1.43254e-28,8.82744e-29,5.32719e-29,6.50372e-29,1.00788e-29,1.10933e-28
53,0.94662,4.23844e-28,1.32608e-28,1.52102e-28,8.74116e-29,5.71748e-29,7.11882e-29,1.23615e-29,1.18012e-28
54,0.943882,4.40281e-28,1.22088e-28,1.49209e-28,9.29299e-29,6.239e-29,8.06884e-29,1.5825e-29,1.28679e-28
55,0.941088,4.14756e-28,1.31386e-28,1.56357e-28,1.13432e-28,6.58296e-29,8.12605e-29,1.86104e-29,1.39351e-28
56,0.938246,3.81588e-28,1.12824e-28,1.69036e-28,1.05018e-28,6.6421e-29,8.40643e-29,1.99533e-29,1.49131e-28
57,0.935364,4.16528e-28,1.51826e-28,1.62399e-28,1.24275e-28,7.01651e-29,8.55087e-29,2.10691e-29,1.56924e-28
58,0.932451,3.74175e-28,1.52951e-28,1.60291e-28,1.27155e-28,8.05716e-29,8.42575e-29,2.33112e-29,1.70133e-28
