t,T+R,N_0,N_1,N_2,N_3
2600,0.999693,6.41963e-19,3.39214e-19,1.93113e-19,7.74763e-20
2700,0.999693,6.42151e-19,3.39184e-19,1.93119e-19,7.74785e-20
2800,0.999693,6.41759e-19,3.39159e-19,1.9309e-19,7.74762e-20
2900,0.999693,6.42057e-19,3.39173e-19,1.931e-19,7.74684e-20
3000,0.999693,6.41744e-19,3.39175e-19,1.93107e-19,7.74802e-20
3100,0.999693,6.41608e-19,3.3912e-19,1.93101e-19,7.74902e-20
3200,0.999693,6.41554e-19,3.39158e-19,1.93071e-19,7.74704e-20
3300,0.999693,6.41455e-19,3.39147e-19,1.93064e-19,7.74703e-20
3400,0.999693,6.4106e-19,3.39165e-19,1.93057e-19,7.74848e-20
3500,0.999693,6.41536e-19,3.39198e-19,1.93076e-19,7.74664e-20
3600,0.999693,6.41587e-19,3.39227e-19,1.9308e-19,7.74674e-20
3700,0.999693,6.40759e-19,3.39215e-19,1.93035e-19,7.74375e-20
3800,0.999693,6.41132e-19,3.39187e-19,1.93032e-19,7.7452e-20
3900,0.999693,6.4076e-19,3.39365e-19,1.93101e-19,7.74691e-20
4000,0.999693,6.40316e-19,3.39434e-19,1.93044e-19,7.74792e-20
4100,0.999693,6.40968e-19,3.39344e-19,1.93121e-19,7.74435e-20
4200,0.999693,6.40109e-19,3.39405e-19,1.93002e-19,7.75116e-20
4300,0.999693,6.39689e-19,3.39307e-19,1.93001e-19,7.74545e-20
4400,0.999693,6.40106e-19,3.39088e-19,1.92997e-19,7.74533e-20
4500,0.999693,6.40856e-19,3.39018e-19,1.92956e-19,7.74522e-20
4600,0.999693,6.41994e-19,3.39193e-19,1.93027e-19,7.74582e-20
4700,0.999693,6.4369e-19,3.39234e-19,1.93015e-19,7.74577e-20
4800,0.999693,6.42693e-19,3.39161e-19,1.93031e-19,7.74524e-20
4900,0.999693,6.4372e-19,3.39361e-19,1.93072e-19,7.74562e-20
5000,0.999693,6.43791e-19,3.39251e-19,1.93053e-19,7.74688e-20
5100,0.999693,6.42767e-19,3.39404e-19,1.93081e-19,7.74565e-20
5200,0.999693,6.44625e-19,3.39273e-19,1.93104e-19,7.74572e-20
