t,T+R,N_0
0,1,4.54037e-23
10,1,4.53794e-23
20,1,4.53646e-23
30,1,4.53497e-23
40,1,4.53332e-23
50,1,4.52817e-23
60,1,4.52708e-23
70,1,4.52888e-23
80,1,4.5306e-23
90,1,4.53019e-23
100,1,4.53196e-23
110,1,4.5343e-23
120,1.00001,4.53915e-23
130,1.00046,4.53838e-23
140,1.01902,4.53892e-23
150,0.929214,4.37377e-23
160,1.46924,9.40026e-22
170,0.657936,1.18226e-18
180,0.182444,8.15438e-16
190,0.0408511,2.31781e-13
200,0.0696962,3.08789e-11
210,0.0770311,2.11603e-09
220,0.15819,7.99538e-08
230,0.239988,1.74974e-06
240,0.390005,2.28658e-05
250,0.581168,0.000180695
260,0.808592,0.000858461
270,1.00666,0.00238738
280,1.11538,0.00368683
290,1.11018,0.00290924
300,1.03916,0.00110586
310,0.976735,0.000364087
320,0.962166,0.000389546
330,0.983393,0.000475276
340,1.00728,0.000351402
350,1.01432,0.000161368
360,1.00712,3.97278e-05
370,0.99797,2.97907e-05
380,0.994793,7.4894e-05
390,0.997146,0.000108607
400,1.00056,0.000107934
410,1.00191,8.85209e-05
420,1.00115,7.35012e-05
430,0.999871,7.19162e-05
440,0.999309,7.83307e-05
450,0.999547,8.38758e-05
460,1.00002,8.46612e-05
470,1.00025,8.23448e-05
480,1.00018,8.01807e-05
490,1,7.97481e-05
500,0.999911,8.05426e-05
600,1,8.10641e-05
700,1,8.10725e-05
800,1,8.10713e-05
900,1,8.10714e-05
1000,1,8.10714e-05
1100,1,8.10714e-05
1200,1,8.10714e-05
1300,1,8.10714e-05
1400,1,8.10714e-05
1500,1,8.10714e-05
1600,1,8.10714e-05
1700,1,8.10714e-05
1800,1,8.10714e-05
1900,1,8.10714e-05
2000,1,8.10714e-05
2100,1,8.10714e-05
2200,1,8.10714e-05
2300,1,8.10714e-05
2400,1,8.10714e-05
2500,1,8.10714e-05
2600,1,8.10714e-05
2700,1,8.10714e-05
2800,1,8.10714e-05
2900,1,8.10714e-05
3000,1,8.10714e-05
3100,1,8.10714e-05
3200,1,8.10714e-05
3300,1,8.10714e-05
3400,1,8.10714e-05
3500,1,8.10714e-05
3600,1,8.10714e-05
3700,1,8.10714e-05
3800,1,8.10714e-05
3900,1,8.10714e-05
4000,1,8.10714e-05
4100,1,8.10714e-05
4200,1,8.10714e-05
4300,1,8.10714e-05
4400,1,8.10714e-05
4500,1,8.10714e-05
4600,1,8.10714e-05
4700,1,8.10714e-05
4800,1,8.10714e-05
4900,1,8.10714e-05
5000,1,8.10714e-05
5100,1,8.10714e-05
5200,1,8.10714e-05
5300,1,8.10714e-05
5400,1,8.10714e-05
5500,1,8.10714e-05
5600,1,8.10714e-05
5700,1,8.10714e-05
5800,1,8.10714e-05
5900,1,8.10714e-05
6000,1,8.10714e-05
6100,1,8.10714e-05
6200,1,8.10714e-05
6300,1,8.10714e-05
6400,1,8.10714e-05
6500,1,8.10714e-05
6600,1,8.10714e-05
6700,1,8.10714e-05
6800,1,8.10714e-05
6900,1,8.10714e-05
7000,1,8.10714e-05
7100,1,8.10714e-05
7200,1,8.10714e-05
7300,1,8.10714e-05
7400,1,8.10714e-05
7500,1,8.10714e-05
7600,1,8.10714e-05
7700,1,8.10714e-05
7800,1,8.10714e-05
7900,1,8.10714e-05
8000,1,8.10714e-05
8100,1,8.10714e-05
8200,1,8.10714e-05
8300,1,8.10714e-05
8400,1,8.10714e-05
