t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
0,1,1.9909e-25,1.07865e-30,8.8773e-31,7.14637e-33,3.02095e-32,1.01609e-32,3.25535e-32
1,1.00014,2.02477e-25,1.36076e-28,1.04471e-28,7.53318e-31,4.68768e-30,1.36568e-30,4.50642e-30
2,1.00053,2.00823e-25,5.07158e-28,3.77294e-28,2.02168e-30,2.07376e-29,6.36254e-30,1.66762e-29
3,1.00115,2.03109e-25,1.0863e-27,8.30198e-28,2.59272e-30,5.22852e-29,1.83309e-29,3.2674e-29
4,1.002,2.01625e-25,1.81497e-27,1.44514e-27,2.01554e-30,1.01124e-28,4.02675e-29,4.48957e-29
5,1.0031,1.99884e-25,2.70211e-27,2.32576e-27,1.63e-30,1.63991e-28,7.21277e-29,4.65129e-29
6,1.00442,1.97248e-25,3.63234e-27,3.36805e-27,5.18551e-30,2.29716e-28,1.07267e-28,3.68577e-29
7,1.00597,1.999e-25,4.75078e-27,4.6864e-27,1.74883e-29,2.83466e-28,1.36488e-28,2.34899e-29
8,1.00775,1.9193e-25,6.18671e-27,6.39214e-27,4.19934e-29,3.08445e-28,1.54371e-28,1.67312e-29
9,1.00976,1.88039e-25,7.47258e-27,8.15211e-27,7.95995e-29,2.94788e-28,1.56534e-28,2.50962e-29
10,1.01198,1.86421e-25,9.02181e-27,1.02251e-26,1.23938e-28,2.59495e-28,1.69956e-28,5.3111e-29
11,1.01441,1.84819e-25,1.0955e-26,1.199e-26,1.75996e-28,2.1337e-28,2.06831e-28,8.97495e-29
12,1.01705,1.70165e-25,1.27458e-26,1.39723e-26,2.21588e-28,1.94283e-28,3.02782e-28,1.2234e-28
13,1.01989,1.69251e-25,1.47646e-26,1.62664e-26,2.86592e-28,2.19866e-28,5.01574e-28,1.53054e-28
14,1.02293,1.67431e-25,1.57182e-26,1.73791e-26,3.70582e-28,2.8937e-28,7.79208e-28,1.49751e-28
15,1.02616,1.58452e-25,1.7018e-26,1.9369e-26,4.98508e-28,3.95686e-28,1.08657e-27,1.19522e-28
16,1.02956,1.52294e-25,1.95937e-26,2.1318e-26,6.64053e-28,5.14031e-28,1.42507e-27,8.61904e-29
17,1.03314,1.54368e-25,2.05393e-26,2.2826e-26,9.44224e-28,6.66148e-28,1.72496e-27,5.61117e-29
18,1.03689,1.46007e-25,2.33337e-26,2.36553e-26,1.23184e-27,8.13465e-28,1.94497e-27,6.59004e-29
19,1.04079,1.43735e-25,2.6581e-26,2.58475e-26,1.53167e-27,9.55459e-28,2.09428e-27,1.46727e-28
20,1.04484,1.39771e-25,2.83796e-26,2.81504e-26,1.8387e-27,1.15212e-27,2.12366e-27,2.87249e-28
21,1.04903,1.29301e-25,3.22908e-26,2.97676e-26,2.11521e-27,1.52303e-27,2.29961e-27,5.09023e-28
22,1.05334,1.26167e-25,3.58758e-26,3.21324e-26,2.34884e-27,1.9451e-27,2.52791e-27,8.04733e-28
23,1.05777,1.15783e-25,3.78206e-26,3.48123e-26,2.67913e-27,2.40387e-27,2.9219e-27,1.13828e-27
24,1.0623,1.18976e-25,3.89872e-26,3.80998e-26,2.71368e-27,2.86336e-27,3.3815e-27,1.40573e-27
25,1.06693,1.1231e-25,4.12867e-26,4.12937e-26,3.01174e-27,3.35977e-27,4.13985e-27,1.70679e-27
26,1.07164,1.06446e-25,4.20236e-26,4.41844e-26,3.39688e-27,3.95108e-27,4.98366e-27,1.9877e-27
27,1.07643,1.0385e-25,4.32983e-26,4.76142e-26,4.1812e-27,4.63722e-27,5.90254e-27,2.40076e-27
28,1.08127,9.53602e-26,4.45112e-26,4.96585e-26,4.7459e-27,5.02408e-27,6.60844e-27,2.75932e-27
29,1.08616,8.8372e-26,4.43568e-26,4.89817e-26,5.52686e-27,5.57274e-27,7.3196e-27,3.36818e-27
30,1.09108,8.2893e-26,4.68922e-26,5.05055e-26,6.2548e-27,6.1377e-27,8.37176e-27,4.29445e-27
31,1.09602,7.38755e-26,4.65009e-26,5.18294e-26,6.93348e-27,7.26024e-27,9.5281e-27,4.9751e-27
32,1.10096,6.75166e-26,5.05783e-26,5.57162e-26,7.68059e-27,7.99364e-27,1.03369e-26,5.6726e-27
33,1.1059,6.27696e-26,5.07901e-26,5.44248e-26,8.32758e-27,9.00292e-27,1.1304e-26,6.0543e-27
34,1.11082,5.97796e-26,5.2156e-26,5.4032e-26,8.58102e-27,9.38521e-27,1.25628e-26,6.27197e-27
35,1.1157,5.85412e-26,5.29277e-26,5.34677e-26,8.72664e-27,9.52573e-27,1.26225e-26,6.34488e-27
36,1.12053,4.70002e-26,5.31807e-26,5.46537e-26,9.97506e-27,1.08323e-26,1.4456e-26,6.57106e-27
37,1.1253,4.52939e-26,4.99592e-26,5.21425e-26,1.10337e-26,1.23004e-26,1.47186e-26,6.45385e-27
38,1.12998,4.45122e-26,4.81136e-26,5.16827e-26,1.27663e-26,1.32507e-26,1.60358e-26,7.93308e-27
39,1.13458,4.55019e-26,4.80863e-26,5.24363e-26,1.30607e-26,1.38469e-26,1.5999e-26,8.91359e-27
40,1.13907,4.69126e-26,4.3451e-26,4.98774e-26,1.55079e-26,1.53332e-26,1.78873e-26,1.04376e-26
41,1.14343,3.83795e-26,4.45409e-26,4.93617e-26,1.68554e-26,1.6776e-26,1.98556e-26,1.34063e-26
42,1.14766,3.61731e-26,4.56786e-26,4.83026e-26,1.7711e-26,1.81828e-26,2.06427e-26,1.53229e-26
43,1.15174,3.35024e-26,4.40902e-26,4.84924e-26,1.86325e-26,1.8242e-26,2.20974e-26,1.65815e-26
44,1.15566,3.46731e-26,4.60242e-26,4.78205e-26,1.95025e-26,1.89179e-26,2.34759e-26,1.8684e-26
45,1.15939,2.91137e-26,4.48119e-26,4.59685e-26,2.08803e-26,1.97425e-26,2.48108e-26,1.92236e-26
46,1.16293,2.15224e-26,4.75441e-26,5.10138e-26,2.1763e-26,2.18908e-26,2.74833e-26,1.97373e-26
47,1.16627,1.9891e-26,4.62392e-26,4.90273e-26,2.33101e-26,2.26675e-26,2.78149e-26,1.79071e-26
48,1.16939,1.88479e-26,4.54584e-26,4.67697e-26,2.45305e-26,2.51119e-26,2.96955e-26,1.92782e-26
49,1.17227,1.33963e-26,4.20877e-26,4.44992e-26,2.40887e-26,2.59858e-26,3.07842e-26,1.86805e-26
50,1.17491,1.12407e-26,4.277e-26,4.69008e-26,2.7801e-26,2.81161e-26,3.34343e-26,1.90748e-26
51,1.1773,9.68149e-27,3.78025e-26,4.27607e-26,2.69646e-26,2.91043e-26,3.43202e-26,2.12375e-26
52,1.17941,9.5514e-27,3.44626e-26,3.8287e-26,2.82341e-26,2.9769e-26,3.57821e-26,2.13694e-26
53,1.18124,9.05951e-27,3.61053e-26,3.80713e-26,2.6588e-26,2.90522e-26,3.5353e-26,2.25938e-26
54,1.18278,5.94242e-27,3.4511e-26,3.36563e-26,2.97354e-26,2.85182e-26,3.45619e-26,2.45264e-26
55,1.18402,6.83836e-27,3.09918e-26,2.62887e-26,3.20686e-26,3.05425e-26,3.52137e-26,2.59479e-26
56,1.18495,4.59568e-27,3.06492e-26,2.87689e-26,3.34261e-26,3.059e-26,3.66096e-26,2.77903e-26
57,1.18556,5.61546e-27,3.0254e-26,2.72258e-26,3.19681e-26,3.13178e-26,3.64867e-26,2.91999e-26
58,1.18584,5.77885e-27,2.56649e-26,2.35126e-26,3.44613e-26,3.44953e-26,4.16029e-26,2.90296e-26
59,1.18578,4.32823e-27,2.36666e-26,2.27612e-26,3.61546e-26,3.70721e-26,4.53911e-26,3.31982e-26
60,1.18538,3.63556e-27,2.12536e-26,2.04762e-26,3.39495e-26,3.74658e-26,4.37586e-26,3.28188e-26
61,1.18463,3.76726e-27,1.95048e-26,2.06303e-26,3.7137e-26,4.37605e-26,4.80191e-26,3.45166e-26
62,1.18351,3.51261e-27,1.83697e-26,1.80064e-26,3.71275e-26,4.49015e-26,4.65438e-26,3.54257e-26
63,1.18204,2.95261e-27,1.87818e-26,1.85024e-26,3.68371e-26,4.64106e-26,4.85322e-26,3.58945e-26
64,1.1802,2.43777e-27,1.76998e-26,1.75357e-26,4.0947e-26,4.84508e-26,4.65488e-26,3.83023e-26
65,1.17799,1.6121e-27,1.70437e-26,1.61521e-26,4.02889e-26,4.46772e-26,4.72496e-26,4.00511e-26
66,1.17541,1.67625e-27,1.73757e-26,1.71251e-26,4.42076e-26,4.83608e-26,4.84733e-26,4.28666e-26
67,1.17245,1.00382e-27,1.42292e-26,1.47568e-26,4.42257e-26,4.2996e-26,4.86541e-26,4.25829e-26
68,1.16912,1.12126e-27,1.46352e-26,1.25638e-26,4.98414e-26,4.407e-26,4.86142e-26,4.29971e-26
69,1.1654,6.1535e-28,1.30133e-26,9.98638e-27,4.4656e-26,3.97511e-26,4.98466e-26,4.07902e-26
70,1.16132,5.55822e-28,1.28781e-26,1.11197e-26,4.76828e-26,4.43376e-26,5.05348e-26,4.05172e-26
71,1.15685,3.46357e-28,1.01426e-26,1.04058e-26,4.36983e-26,4.59206e-26,5.15267e-26,3.91736e-26
72,1.15201,3.24694e-28,1.09579e-26,9.08654e-27,4.65414e-26,4.45442e-26,5.09172e-26,3.70845e-26
73,1.1468,2.51367e-28,1.05592e-26,9.09955e-27,4.31022e-26,4.49718e-26,5.57649e-26,3.89593e-26
74,1.14122,2.35844e-28,1.01819e-26,8.84835e-27,4.28182e-26,4.27652e-26,5.16292e-26,3.51602e-26
75,1.13528,5.75686e-28,9.59807e-27,1.04606e-26,4.532e-26,4.75643e-26,5.46829e-26,3.8367e-26
76,1.12898,6.87607e-28,1.16096e-26,1.07619e-26,4.32644e-26,4.81997e-26,5.16236e-26,3.94162e-26
77,1.12233,8.2721e-28,1.05607e-26,1.00139e-26,4.62624e-26,4.36711e-26,4.9665e-26,3.73961e-26
78,1.11533,1.13596e-27,1.18098e-26,1.00425e-26,4.82856e-26,4.12553e-26,4.8579e-26,4.17028e-26
79,1.10799,1.72198e-27,1.23069e-26,8.6904e-27,4.77921e-26,4.64308e-26,4.9422e-26,4.19044e-26
80,1.10032,1.15747e-27,1.39383e-26,1.02086e-26,4.6493e-26,4.72804e-26,4.36157e-26,4.25245e-26
81,1.09232,1.92985e-27,1.48084e-26,9.7755e-27,4.21504e-26,4.44872e-26,4.17426e-26,3.79267e-26
82,1.08402,2.0302e-27,1.69418e-26,1.00259e-26,3.83909e-26,4.12669e-26,3.95802e-26,3.57839e-26
83,1.0754,2.24564e-27,1.8143e-26,1.05916e-26,3.65982e-26,3.89002e-26,4.05093e-26,3.51817e-26
84,1.06649,1.80278e-27,1.98045e-26,1.52792e-26,3.93341e-26,4.34187e-26,4.41466e-26,3.75082e-26
85,1.0573,2.20747e-27,1.93806e-26,1.74264e-26,3.5687e-26,3.93344e-26,3.96792e-26,3.14941e-26
86,1.04784,2.71098e-27,2.06292e-26,1.9797e-26,3.97013e-26,4.0365e-26,4.46797e-26,3.49968e-26
87,1.03811,3.24588e-27,1.96622e-26,1.88435e-26,3.52926e-26,3.66303e-26,4.68951e-26,3.18788e-26
88,1.02814,3.71827e-27,2.42301e-26,2.48099e-26,3.18765e-26,3.39751e-26,4.23826e-26,2.4966e-26
89,1.01793,4.33222e-27,2.58902e-26,2.33638e-26,3.52373e-26,3.15873e-26,4.54436e-26,3.05182e-26
90,1.0075,5.1436e-27,2.57624e-26,2.51207e-26,3.78386e-26,2.90458e-26,4.28146e-26,2.85702e-26
91,0.996856,6.55403e-27,2.90311e-26,2.64649e-26,3.21861e-26,2.86645e-26,3.97725e-26,2.49384e-26
92,0.986018,6.01351e-27,3.07635e-26,2.75156e-26,3.52066e-26,3.0459e-26,3.86967e-26,2.63165e-26
93,0.974996,7.59325e-27,3.34274e-26,2.75978e-26,2.87008e-26,2.69498e-26,3.46318e-26,2.61988e-26
94,0.963806,9.07746e-27,3.16754e-26,3.07889e-26,3.02079e-26,2.94218e-26,3.25982e-26,2.61263e-26
95,0.952461,9.25991e-27,3.30907e-26,3.26231e-26,3.04178e-26,2.71773e-26,3.19444e-26,2.56087e-26
96,0.940975,1.03523e-26,3.37138e-26,3.15036e-26,2.87723e-26,2.84458e-26,3.292e-26,2.26393e-26
97,0.929363,1.13827e-26,3.6535e-26,3.21096e-26,2.81823e-26,2.68424e-26,3.20815e-26,2.24528e-26
98,0.917639,1.32638e-26,4.2213e-26,3.40517e-26,2.64235e-26,2.48615e-26,3.0874e-26,2.19156e-26
99,0.905817,1.58e-26,3.95642e-26,3.50467e-26,2.64851e-26,2.52006e-26,2.96797e-26,2.07012e-26
100,0.893911,1.70007e-26,4.19085e-26,3.49915e-26,2.07427e-26,2.35905e-26,2.68026e-26,1.91972e-26
101,0.881936,2.11604e-26,4.66635e-26,3.86608e-26,1.91075e-26,2.09819e-26,2.50532e-26,1.76688e-26
102,0.869906,2.24414e-26,4.54519e-26,3.83396e-26,1.86171e-26,1.73045e-26,2.36634e-26,1.63844e-26
103,0.857835,2.6183e-26,4.49708e-26,4.08754e-26,2.03623e-26,1.79137e-26,2.29628e-26,1.50248e-26
104,0.845736,2.59231e-26,4.81028e-26,4.43936e-26,1.97018e-26,1.77714e-26,2.31303e-26,1.39358e-26
105,0.833622,3.10895e-26,5.12751e-26,4.5923e-26,1.63286e-26,1.23858e-26,2.35519e-26,1.32347e-26
106,0.821508,2.98625e-26,4.73863e-26,4.34304e-26,1.63386e-26,1.25212e-26,2.06203e-26,1.02385e-26
107,0.809405,3.212e-26,4.97809e-26,5.13433e-26,1.59017e-26,1.25146e-26,1.99096e-26,1.07423e-26
108,0.797328,3.61008e-26,5.48394e-26,4.65842e-26,1.49474e-26,1.22894e-26,1.93476e-26,1.04976e-26
109,0.785287,3.73876e-26,5.00005e-26,4.4523e-26,1.668e-26,1.31628e-26,1.91852e-26,1.00026e-26
110,0.773296,3.95656e-26,5.68576e-26,4.97903e-26,1.29164e-26,1.34275e-26,1.57513e-26,9.17094e-27
111,0.761366,4.36427e-26,5.0495e-26,4.69887e-26,1.13832e-26,8.10923e-27,1.34038e-26,1.03971e-26
112,0.749507,5.03411e-26,4.4134e-26,4.6081e-26,9.41625e-27,8.42933e-27,1.40794e-26,1.00704e-26
113,0.737732,5.55889e-26,4.7099e-26,4.63022e-26,9.07706e-27,7.07142e-27,1.21797e-26,5.80058e-27
114,0.726049,5.90352e-26,4.48548e-26,4.37764e-26,8.19519e-27,7.00759e-27,1.35525e-26,8.0521e-27
115,0.71447,6.19197e-26,4.35795e-26,4.12701e-26,7.54224e-27,6.05527e-27,1.45321e-26,5.69491e-27
116,0.703004,6.44132e-26,4.61501e-26,4.37305e-26,5.30742e-27,4.34423e-27,1.18484e-26,5.06497e-27
117,0.691659,6.77278e-26,5.21971e-26,4.36142e-26,6.71195e-27,5.29757e-27,1.21762e-26,5.46641e-27
118,0.680445,7.18918e-26,5.05475e-26,4.26474e-26,6.05414e-27,4.95979e-27,1.1519e-26,4.85819e-27
119,0.669369,8.06992e-26,4.71383e-26,3.81593e-26,4.13816e-27,2.95546e-27,9.95081e-27,2.85332e-27
120,0.658439,8.6094e-26,4.90811e-26,4.13488e-26,5.19194e-27,2.00756e-27,8.7049e-27,2.36428e-27
121,0.647662,8.67886e-26,4.14327e-26,3.75895e-26,4.74879e-27,3.88605e-27,8.14727e-27,2.89051e-27
122,0.637046,9.92193e-26,4.12601e-26,3.09658e-26,4.56157e-27,2.62037e-27,6.88318e-27,1.7863e-27
123,0.626594,1.05069e-25,4.04762e-26,3.89435e-26,5.21516e-27,2.27852e-27,6.20084e-27,2.95403e-27
124,0.616315,1.0155e-25,3.45348e-26,3.33805e-26,3.25558e-27,1.80497e-27,3.72904e-27,6.41955e-28
125,0.606212,1.02507e-25,3.32924e-26,3.62722e-26,2.9195e-27,1.86595e-27,2.69888e-27,1.09957e-27
126,0.59629,1.11088e-25,3.29917e-26,2.93562e-26,1.69125e-27,1.1164e-27,2.47451e-27,5.42271e-28
127,0.586554,1.10228e-25,3.22917e-26,3.02043e-26,1.93966e-27,1.33563e-27,2.81096e-27,9.61078e-28
128,0.577007,1.14404e-25,3.47688e-26,3.04053e-26,1.2723e-27,1.06396e-27,3.32972e-27,5.55595e-28
129,0.567652,1.08603e-25,3.12057e-26,2.61662e-26,1.78624e-27,1.06011e-27,3.94337e-27,1.15426e-27
130,0.558492,1.20766e-25,2.84819e-26,3.0427e-26,7.9262e-28,5.31373e-28,3.56971e-27,8.16309e-28
131,0.549529,1.31253e-25,2.48191e-26,2.9954e-26,1.24188e-27,2.50267e-28,2.93174e-27,2.71891e-28
