t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
132,0.540766,1.29673e-25,2.28722e-26,2.47642e-26,1.05749e-27,2.43506e-28,2.22704e-27,5.51615e-28
133,0.532203,1.53617e-25,2.11002e-26,1.75237e-26,1.51116e-27,1.74384e-28,3.7305e-27,4.21237e-28
134,0.523842,1.55157e-25,1.45571e-26,1.63963e-26,1.10124e-27,6.74029e-29,2.04655e-27,3.46221e-28
135,0.515684,1.48404e-25,1.58735e-26,2.2347e-26,1.42766e-28,6.00012e-29,1.87592e-27,9.57757e-29
136,0.507727,1.45056e-25,1.40649e-26,1.66191e-26,6.38369e-28,4.28175e-28,1.90137e-27,3.8273e-28
137,0.499973,1.65491e-25,1.58038e-26,1.39979e-26,4.42873e-28,3.62044e-28,1.5658e-27,2.00361e-28
138,0.492421,1.54253e-25,1.25699e-26,1.26025e-26,5.4164e-29,3.27248e-28,1.1153e-27,1.47053e-28
139,0.48507,1.66063e-25,9.36213e-27,1.21445e-26,1.0362e-28,3.87729e-28,1.1338e-27,3.64996e-28
140,0.477918,1.66888e-25,7.66723e-27,9.60719e-27,2.62138e-29,2.33421e-28,1.35378e-27,7.31945e-29
141,0.470965,1.57552e-25,5.50516e-27,7.64845e-27,2.08496e-28,1.4221e-28,1.36203e-27,1.16428e-28
142,0.464207,1.53258e-25,4.33555e-27,6.05487e-27,1.85017e-28,5.81863e-29,5.84074e-28,1.01554e-28
143,0.457644,1.48709e-25,3.06846e-27,3.67195e-27,9.06933e-29,-2.61402e-29,3.99901e-28,7.12156e-29
144,0.451273,1.80846e-25,2.44368e-27,4.19667e-27,-6.63853e-30,-5.24289e-30,1.1161e-27,2.14268e-28
145,0.44509,1.61516e-25,1.70539e-27,1.68311e-27,-7.16026e-29,1.93897e-28,9.34066e-28,4.86345e-29
146,0.439094,1.63691e-25,8.09171e-28,2.28889e-27,6.29448e-29,2.93832e-28,3.75113e-28,1.8922e-28
147,0.43328,1.73677e-25,4.55919e-28,5.41152e-28,8.65129e-30,5.74842e-28,7.19353e-28,6.52661e-29
148,0.427646,1.58839e-25,7.35329e-29,9.98224e-28,1.8018e-29,1.435e-28,7.38631e-28,5.92589e-29
149,0.422187,1.50798e-25,-7.3513e-29,4.85901e-28,1.99446e-28,2.51827e-28,1.07412e-27,-2.61915e-29
150,0.416901,1.65211e-25,2.44484e-28,-4.19913e-29,3.22688e-28,5.58877e-28,5.34951e-28,1.16764e-29
151,0.411782,1.63553e-25,1.27693e-28,1.07896e-29,3.29297e-28,3.65219e-28,4.65325e-28,-2.31838e-30
152,0.406828,1.60774e-25,3.79765e-28,1.34978e-28,2.54731e-28,2.61292e-28,3.57028e-28,1.2708e-28
153,0.402032,1.66668e-25,8.70642e-28,2.71071e-28,2.07758e-28,2.52217e-28,2.60726e-28,5.24529e-29
154,0.397392,1.69755e-25,1.0927e-27,8.48658e-28,5.54873e-28,3.41023e-29,4.08712e-28,1.93002e-28
155,0.392902,1.4264e-25,1.94821e-27,1.67671e-27,2.32583e-28,3.02713e-28,7.81504e-29,-4.94561e-29
156,0.388558,1.50066e-25,2.71916e-27,1.08797e-27,3.36852e-28,5.66423e-29,5.74619e-28,1.05445e-28
157,0.384354,1.52956e-25,3.70565e-27,3.03363e-27,3.20906e-29,9.00458e-29,3.73183e-28,2.62813e-29
158,0.380286,1.48246e-25,4.94567e-27,3.78749e-27,3.24837e-29,1.25528e-29,1.24407e-27,5.39107e-30
159,0.376348,1.28486e-25,5.1291e-27,2.82115e-27,1.21744e-28,-5.73182e-29,3.50934e-28,-1.10743e-29
160,0.372536,1.33687e-25,6.67651e-27,5.83995e-27,6.37671e-29,1.79415e-28,9.8206e-28,9.42922e-29
161,0.368845,1.4579e-25,1.18973e-26,9.14981e-27,1.92091e-28,9.73686e-29,1.24085e-27,5.93746e-29
162,0.365268,1.33605e-25,9.82441e-27,7.18322e-27,5.12833e-28,-3.32564e-29,1.2481e-27,3.29983e-29
163,0.361801,1.13606e-25,1.01691e-26,1.35507e-26,3.32183e-28,-9.5608e-30,8.12541e-28,9.14061e-30
164,0.358438,1.25427e-25,1.44652e-26,1.3631e-26,4.48607e-28,-1.28795e-29,5.50878e-28,1.52794e-28
165,0.355174,1.18064e-25,1.82003e-26,1.55008e-26,6.87698e-28,1.19023e-29,6.93738e-28,6.61551e-28
166,0.352003,1.14795e-25,2.07208e-26,1.32151e-26,2.55263e-28,1.04279e-28,8.79522e-28,2.84173e-28
167,0.34892,1.12153e-25,1.42035e-26,1.5548e-26,2.20093e-28,3.10688e-28,9.72056e-28,3.37117e-28
168,0.34592,1.11195e-25,2.13632e-26,2.11476e-26,4.29898e-28,4.22483e-28,1.20421e-27,7.21175e-28
169,0.342997,9.86265e-26,2.08917e-26,1.98316e-26,5.89384e-28,3.11228e-28,-3.28422e-29,1.19203e-28
170,0.340145,1.0449e-25,2.43348e-26,2.08044e-26,3.10013e-28,1.03702e-27,4.51302e-28,9.60445e-28
171,0.337359,1.07486e-25,2.20703e-26,2.73153e-26,9.87268e-28,7.64871e-28,5.1055e-28,9.53147e-28
172,0.334634,9.89885e-26,2.6065e-26,2.66335e-26,1.05424e-27,1.03962e-27,1.67294e-27,6.8595e-28
173,0.331965,9.48727e-26,2.33333e-26,2.63097e-26,9.68279e-28,6.0911e-28,9.05821e-28,1.57865e-27
174,0.329345,9.12814e-26,2.84706e-26,3.19978e-26,7.00699e-28,7.92284e-28,1.85965e-28,1.6928e-27
175,0.326771,9.24938e-26,2.92249e-26,2.97301e-26,1.06544e-27,9.46475e-28,1.13869e-27,1.39197e-27
176,0.324235,7.7797e-26,2.88561e-26,3.25723e-26,7.81413e-28,3.3131e-28,1.45201e-27,2.73486e-27
177,0.321735,8.00019e-26,3.51003e-26,3.18039e-26,1.28264e-27,4.81229e-28,1.91281e-27,2.06944e-27
178,0.319264,7.1633e-26,3.45044e-26,3.90452e-26,1.66834e-27,1.4199e-27,2.70037e-27,2.69904e-27
179,0.316817,7.828e-26,2.81952e-26,3.31946e-26,1.9986e-27,2.38935e-27,4.29781e-27,3.08625e-27
180,0.31439,6.74325e-26,3.35257e-26,3.89579e-26,2.43999e-27,4.20863e-27,4.15302e-27,4.33205e-27
181,0.311978,7.09352e-26,3.25491e-26,3.50715e-26,5.2595e-27,3.59565e-27,3.26909e-27,3.40908e-27
182,0.309577,6.28205e-26,3.39976e-26,4.47225e-26,7.253e-27,6.23192e-27,2.80879e-27,3.5157e-27
183,0.307181,6.08878e-26,2.71218e-26,3.69e-26,7.98574e-27,6.85881e-27,4.55066e-27,6.44999e-27
184,0.304787,5.32005e-26,3.1202e-26,4.27116e-26,7.34729e-27,6.98063e-27,4.21027e-27,8.43502e-27
185,0.30239,5.4825e-26,3.57044e-26,4.42477e-26,8.31905e-27,6.97184e-27,2.44656e-27,7.62537e-27
186,0.299987,4.92026e-26,3.46765e-26,4.02584e-26,7.17228e-27,6.94876e-27,4.6319e-27,9.82043e-27
187,0.297573,4.10925e-26,3.50387e-26,3.66916e-26,5.85419e-27,7.98766e-27,3.48713e-27,9.46567e-27
188,0.295144,3.60048e-26,2.02115e-26,2.49514e-26,6.13979e-27,1.02692e-26,6.73067e-27,1.60695e-26
189,0.292698,2.77896e-26,2.84298e-26,3.62465e-26,9.43956e-27,1.42894e-26,1.13161e-26,1.54523e-26
190,0.290231,3.98803e-26,4.05269e-26,5.17244e-26,8.40698e-27,1.44722e-26,8.32405e-27,1.32576e-26
191,0.287739,4.91838e-26,3.41594e-26,4.70251e-26,5.19e-27,9.51046e-27,5.09038e-27,1.00051e-26
192,0.285219,3.07303e-26,1.65566e-26,1.86709e-26,7.83523e-27,8.07728e-27,7.76595e-27,9.93194e-27
193,0.28267,1.745e-26,1.8e-26,2.05286e-26,1.25501e-26,1.50017e-26,1.22765e-26,1.5048e-26
194,0.280087,2.41903e-26,3.71932e-26,4.41869e-26,2.14035e-26,2.19933e-26,1.42704e-26,1.88276e-26
195,0.27747,3.40078e-26,4.41018e-26,5.45223e-26,1.50131e-26,1.42231e-26,1.12417e-26,1.66256e-26
196,0.274815,2.19692e-26,2.5487e-26,3.13938e-26,7.84486e-27,8.77759e-27,5.83721e-27,9.84275e-27
197,0.272121,1.80638e-26,1.10584e-26,1.78184e-26,1.11559e-26,1.51705e-26,1.05119e-26,1.61725e-26
198,0.269385,7.85331e-27,2.65691e-26,3.42255e-26,2.65213e-26,3.19085e-26,2.70966e-26,3.01521e-26
199,0.266608,1.42264e-26,3.72081e-26,4.49642e-26,2.30645e-26,2.85303e-26,2.09917e-26,2.6131e-26
200,0.263786,1.88262e-26,2.62721e-26,3.12611e-26,8.90618e-27,1.30683e-26,1.42619e-26,2.00976e-26
201,0.26092,1.67013e-26,1.9502e-26,2.26186e-26,1.51809e-26,1.63199e-26,7.75083e-27,1.57335e-26
202,0.258008,7.05581e-27,1.53529e-26,1.58874e-26,2.2118e-26,2.60943e-26,2.57388e-26,2.96923e-26
203,0.25505,5.86142e-27,2.75865e-26,3.00425e-26,3.1653e-26,3.04322e-26,2.6599e-26,3.72454e-26
204,0.252045,1.06179e-26,3.568e-26,3.19254e-26,2.78819e-26,2.81858e-26,2.30844e-26,3.07955e-26
205,0.248994,9.50465e-27,2.08048e-26,2.67094e-26,1.87249e-26,1.79878e-26,1.93859e-26,1.74952e-26
206,0.245896,6.37451e-27,1.27963e-26,1.73578e-26,2.17312e-26,2.07125e-26,2.29666e-26,2.14835e-26
207,0.242752,2.81612e-27,2.77878e-26,2.40401e-26,3.89596e-26,3.94928e-26,3.98403e-26,3.81888e-26
208,0.239562,6.1575e-27,3.01727e-26,2.94677e-26,3.22524e-26,3.67693e-26,3.12241e-26,3.11802e-26
209,0.236326,5.23971e-27,1.76547e-26,1.86754e-26,1.81957e-26,1.52944e-26,1.6736e-26,1.51515e-26
210,0.233047,3.92935e-27,1.07741e-26,1.26324e-26,2.62594e-26,2.42153e-26,2.65261e-26,2.17795e-26
211,0.229725,3.10073e-27,1.09385e-26,1.51386e-26,3.48556e-26,3.08155e-26,3.36506e-26,3.18313e-26
212,0.226361,1.15654e-27,2.40049e-26,1.80192e-26,4.58763e-26,4.70672e-26,4.98565e-26,4.61994e-26
213,0.222956,1.48739e-27,1.55253e-26,1.67641e-26,3.14508e-26,2.86281e-26,2.85966e-26,2.91584e-26
214,0.219514,2.29174e-27,1.26876e-26,1.05184e-26,2.59459e-26,2.40056e-26,2.97355e-26,2.47608e-26
215,0.216035,9.86393e-28,1.4524e-26,9.18825e-27,3.44772e-26,3.06476e-26,3.65027e-26,2.69856e-26
216,0.212521,3.21546e-28,2.26527e-26,1.71233e-26,4.45755e-26,3.88036e-26,4.68888e-26,4.2319e-26
217,0.208975,1.4927e-27,2.10568e-26,1.5234e-26,3.23578e-26,3.09964e-26,3.82426e-26,3.21321e-26
218,0.205399,2.15426e-27,1.35793e-26,1.06359e-26,2.34955e-26,1.26507e-26,2.49486e-26,1.58763e-26
219,0.201796,7.04072e-28,1.10983e-26,7.49246e-27,3.65554e-26,2.1995e-26,3.5937e-26,2.76936e-26
220,0.198168,4.43437e-28,1.46172e-26,1.01927e-26,4.79317e-26,3.38444e-26,4.49993e-26,3.38579e-26
