t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
0,1,1.07867e-27,5.34425e-33,3.61884e-33,4.6305e-35,3.23075e-33,1.03875e-33,7.96114e-34
1,1.00004,1.0431e-27,6.70469e-31,4.15197e-31,8.07181e-33,3.79785e-31,1.18984e-31,9.75805e-32
2,1.00016,1.00504e-27,2.50619e-30,1.44763e-30,4.01799e-32,1.3367e-30,4.05447e-31,3.58088e-31
3,1.00035,9.92469e-28,5.66791e-30,3.19113e-30,1.14091e-31,2.79009e-30,8.13356e-31,7.80993e-31
4,1.0006,9.71172e-28,1.00475e-29,5.37861e-30,2.4928e-31,4.64086e-30,1.2903e-30,1.35901e-30
5,1.00093,9.44351e-28,1.58285e-29,8.01436e-30,4.66098e-31,6.74686e-30,1.76682e-30,2.08447e-30
6,1.00133,9.2505e-28,2.29822e-29,1.1742e-29,7.79871e-31,8.98825e-30,2.20039e-30,2.92827e-30
7,1.0018,8.91094e-28,3.18946e-29,1.66994e-29,1.21894e-30,1.1162e-29,2.52973e-30,3.85595e-30
8,1.00234,8.67786e-28,4.05491e-29,2.18369e-29,1.79082e-30,1.31209e-29,2.70282e-30,4.86516e-30
9,1.00294,8.25085e-28,5.2614e-29,2.98449e-29,2.5202e-30,1.47539e-29,2.71331e-30,5.88228e-30
10,1.00361,8.17663e-28,6.2675e-29,3.56462e-29,3.44634e-30,1.60382e-29,2.58668e-30,6.80719e-30
11,1.00435,8.14425e-28,7.32273e-29,4.57073e-29,4.46146e-30,1.68665e-29,2.31645e-30,7.66301e-30
12,1.00515,7.64892e-28,8.29992e-29,5.63865e-29,5.64958e-30,1.73401e-29,1.96949e-30,8.21201e-30
13,1.00601,7.55245e-28,1.00918e-28,7.30252e-29,7.11531e-30,1.71854e-29,1.48468e-30,8.70704e-30
14,1.00693,7.51681e-28,1.08291e-28,8.3323e-29,8.80537e-30,1.67792e-29,1.0144e-30,8.89573e-30
15,1.0079,7.041e-28,1.24212e-28,1.03419e-28,1.06129e-29,1.62171e-29,5.51118e-31,9.10879e-30
16,1.00894,7.08887e-28,1.41238e-28,1.21026e-28,1.24652e-29,1.53942e-29,2.23733e-31,8.92698e-30
17,1.01002,6.83008e-28,1.50347e-28,1.35857e-28,1.45668e-29,1.41686e-29,2.06116e-32,8.84219e-30
18,1.01116,6.76604e-28,1.63918e-28,1.59133e-28,1.67803e-29,1.31213e-29,5.0763e-32,8.47702e-30
19,1.01235,6.56776e-28,1.70028e-28,1.74448e-28,1.92747e-29,1.25429e-29,3.17732e-31,7.95596e-30
20,1.01358,6.56429e-28,1.89526e-28,1.90568e-28,2.09598e-29,1.14673e-29,8.99987e-31,7.7937e-30
21,1.01486,6.47307e-28,1.97084e-28,2.14584e-28,2.37229e-29,1.03328e-29,1.70873e-30,7.4464e-30
22,1.01618,6.0935e-28,2.09715e-28,2.34871e-28,2.67809e-29,9.60513e-30,3.15352e-30,7.19809e-30
23,1.01754,5.56445e-28,2.03568e-28,2.38042e-28,2.98713e-29,8.49916e-30,4.68607e-30,6.68358e-30
24,1.01894,5.41179e-28,2.45025e-28,2.59924e-28,3.33927e-29,7.69522e-30,6.5098e-30,6.72962e-30
25,1.02037,4.90988e-28,2.788e-28,2.69987e-28,3.74085e-29,6.32429e-30,9.06044e-30,6.9903e-30
26,1.02182,4.41178e-28,2.87142e-28,2.76648e-28,4.09302e-29,6.17052e-30,1.09995e-29,6.75062e-30
27,1.02331,4.26679e-28,2.57157e-28,2.64256e-28,4.31143e-29,5.71438e-30,1.3353e-29,7.05288e-30
28,1.02482,3.8397e-28,2.77215e-28,2.63776e-28,5.09775e-29,5.19123e-30,1.55972e-29,7.89108e-30
29,1.02635,3.72303e-28,3.30078e-28,2.72956e-28,5.425e-29,4.7738e-30,1.90979e-29,7.86833e-30
30,1.0279,3.47408e-28,3.61542e-28,2.90794e-28,6.25662e-29,3.58741e-30,2.33232e-29,9.30842e-30
31,1.02947,3.11482e-28,3.64735e-28,3.0025e-28,6.68556e-29,3.3226e-30,2.54695e-29,1.20939e-29
32,1.03104,2.87663e-28,3.98487e-28,2.96098e-28,7.28821e-29,2.57582e-30,2.65368e-29,1.28282e-29
33,1.03263,2.602e-28,4.11806e-28,2.87815e-28,8.24729e-29,3.67246e-30,2.97524e-29,1.80061e-29
34,1.03422,2.30214e-28,4.58219e-28,2.89544e-28,8.97539e-29,4.17658e-30,3.14704e-29,1.97362e-29
35,1.03581,2.0924e-28,4.94491e-28,2.96539e-28,9.6229e-29,4.37359e-30,3.6482e-29,2.45139e-29
36,1.0374,1.96865e-28,4.805e-28,2.87397e-28,1.0616e-28,5.01233e-30,3.26889e-29,2.63324e-29
37,1.03898,1.74306e-28,4.51927e-28,2.71627e-28,1.09128e-28,6.7308e-30,3.25138e-29,3.08436e-29
38,1.04056,1.43093e-28,4.88001e-28,2.87398e-28,1.15322e-28,6.94824e-30,3.16246e-29,3.39761e-29
39,1.04212,1.3037e-28,5.42689e-28,2.40128e-28,1.22952e-28,7.52871e-30,3.51049e-29,3.98198e-29
40,1.04367,1.28778e-28,5.2617e-28,2.82811e-28,1.28677e-28,6.85345e-30,3.52144e-29,4.2791e-29
41,1.0452,1.19701e-28,4.92976e-28,2.64536e-28,1.37775e-28,8.77492e-30,3.39015e-29,5.13333e-29
42,1.04671,7.92829e-29,5.16616e-28,2.65042e-28,1.46636e-28,9.58113e-30,2.96773e-29,5.85326e-29
43,1.04819,6.15936e-29,5.33693e-28,2.98629e-28,1.54504e-28,1.16512e-29,2.61439e-29,6.00358e-29
44,1.04965,5.59323e-29,5.03368e-28,2.5347e-28,1.6157e-28,1.24651e-29,2.40911e-29,6.6449e-29
45,1.05107,4.83171e-29,5.12019e-28,2.68928e-28,1.58943e-28,1.21064e-29,2.7479e-29,7.03933e-29
46,1.05246,4.43575e-29,5.21634e-28,2.49633e-28,1.73165e-28,1.59459e-29,2.30035e-29,7.80171e-29
47,1.05381,2.8545e-29,5.03973e-28,2.5409e-28,1.70142e-28,1.40757e-29,1.74293e-29,7.77107e-29
