t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
0,1,6.83717e-28,3.37505e-33,2.37645e-33,6.64587e-35,1.72517e-33,9.63318e-34,4.55667e-34
1,0.999998,6.53454e-28,4.15365e-31,2.89888e-31,9.62207e-33,1.99971e-31,1.12096e-31,5.15378e-32
2,0.999992,6.37632e-28,1.55551e-30,1.06355e-30,4.11586e-32,6.9342e-31,3.85926e-31,1.76051e-31
3,0.999983,6.30516e-28,3.38285e-30,2.17119e-30,1.02381e-31,1.42598e-30,7.79849e-31,3.61661e-31
4,0.999971,5.99344e-28,5.92958e-30,3.66348e-30,2.01257e-31,2.33092e-30,1.23718e-30,6.04309e-31
5,0.999955,5.79499e-28,8.70568e-30,5.34723e-30,3.40214e-31,3.3397e-30,1.69872e-30,9.03164e-31
6,0.999935,5.75406e-28,1.24119e-29,6.98671e-30,5.16538e-31,4.39159e-30,2.10996e-30,1.26367e-30
7,0.999912,5.65283e-28,1.70167e-29,8.80391e-30,7.29288e-31,5.3758e-30,2.43562e-30,1.69878e-30
8,0.999885,5.5149e-28,2.23408e-29,1.09454e-29,9.48519e-31,6.30584e-30,2.64191e-30,2.19036e-30
9,0.999855,5.45451e-28,2.69387e-29,1.2297e-29,1.20667e-30,7.03756e-30,2.76358e-30,2.78618e-30
10,0.999821,5.45997e-28,3.06952e-29,1.28253e-29,1.45162e-30,7.60778e-30,2.77024e-30,3.47353e-30
11,0.999784,5.16302e-28,3.56205e-29,1.38083e-29,1.6956e-30,8.0272e-30,2.7836e-30,4.23191e-30
12,0.999743,4.87093e-28,4.42068e-29,1.55865e-29,1.90066e-30,8.26031e-30,2.66518e-30,5.2281e-30
13,0.999698,4.69383e-28,4.92564e-29,1.61632e-29,2.10934e-30,8.11256e-30,2.5902e-30,6.35957e-30
14,0.99965,4.65561e-28,5.12013e-29,1.50922e-29,2.33375e-30,8.04772e-30,2.52801e-30,7.66284e-30
15,0.999599,4.20563e-28,5.90539e-29,1.59434e-29,2.73132e-30,7.66603e-30,2.45001e-30,9.343e-30
16,0.999543,4.33774e-28,6.54395e-29,1.67509e-29,3.13033e-30,7.31795e-30,2.62148e-30,1.09234e-29
17,0.999485,4.1971e-28,7.07214e-29,1.907e-29,3.87853e-30,6.70212e-30,2.78602e-30,1.2972e-29
18,0.999422,3.88004e-28,7.99498e-29,1.98556e-29,4.43014e-30,6.26224e-30,2.92886e-30,1.54361e-29
19,0.999357,3.93495e-28,8.62999e-29,2.14421e-29,5.41546e-30,5.90664e-30,3.43796e-30,1.74949e-29
20,0.999288,4.07682e-28,1.03084e-28,2.69866e-29,6.76292e-30,5.18581e-30,3.42081e-30,1.99314e-29
21,0.999216,3.90044e-28,1.03193e-28,2.22525e-29,8.59488e-30,5.16968e-30,3.94199e-30,2.20901e-29
22,0.99914,3.55269e-28,1.16763e-28,2.88656e-29,1.04358e-29,4.78675e-30,4.62198e-30,2.55895e-29
23,0.999062,3.50093e-28,1.20422e-28,3.03258e-29,1.3741e-29,5.13881e-30,4.44082e-30,2.89386e-29
24,0.998981,4.03281e-28,1.29791e-28,3.30465e-29,1.55764e-29,4.9147e-30,4.8213e-30,3.18852e-29
25,0.998897,3.67115e-28,1.42698e-28,2.87711e-29,1.86273e-29,4.82051e-30,4.68636e-30,3.45192e-29
26,0.99881,3.4541e-28,1.47092e-28,3.20762e-29,2.27722e-29,5.1956e-30,5.44538e-30,3.63924e-29
27,0.998721,3.34269e-28,1.55604e-28,3.29475e-29,2.45474e-29,5.54429e-30,6.12119e-30,3.81229e-29
28,0.998631,3.52455e-28,1.6931e-28,3.51203e-29,2.85942e-29,6.38857e-30,5.76149e-30,4.29566e-29
29,0.998538,3.11254e-28,1.7591e-28,2.38772e-29,3.00944e-29,7.11971e-30,7.26001e-30,4.25059e-29
30,0.998444,3.09045e-28,1.77737e-28,2.95109e-29,3.25406e-29,7.69672e-30,9.35286e-30,4.2318e-29
31,0.998348,2.80138e-28,2.00553e-28,2.77235e-29,3.5229e-29,9.14963e-30,1.0665e-29,4.87861e-29
32,0.998252,2.6202e-28,1.95304e-28,1.91629e-29,3.96833e-29,1.04194e-29,1.01746e-29,5.10715e-29
33,0.998155,2.39157e-28,2.02927e-28,1.70772e-29,4.1459e-29,1.17237e-29,1.41646e-29,5.43481e-29
34,0.998058,2.46104e-28,2.0027e-28,2.20558e-29,4.37696e-29,1.43828e-29,1.68699e-29,5.27689e-29
35,0.997962,2.34979e-28,2.30145e-28,1.93594e-29,4.37189e-29,1.42336e-29,1.89035e-29,5.55006e-29
36,0.997866,2.07233e-28,2.23255e-28,1.86035e-29,4.84716e-29,1.75971e-29,2.3413e-29,5.97944e-29
37,0.997771,1.84962e-28,2.71568e-28,2.38892e-29,5.39199e-29,2.0795e-29,2.76037e-29,6.13246e-29
38,0.997677,2.08786e-28,2.65097e-28,2.04519e-29,5.18112e-29,2.29016e-29,3.47488e-29,6.44283e-29
39,0.997586,1.85577e-28,2.67775e-28,2.44319e-29,5.90203e-29,2.98016e-29,3.72444e-29,6.153e-29
40,0.997498,1.91839e-28,2.44463e-28,2.10622e-29,6.51847e-29,3.49429e-29,4.47176e-29,6.6624e-29
41,0.997412,1.80317e-28,2.72168e-28,2.28533e-29,6.90392e-29,3.86008e-29,4.88649e-29,6.94488e-29
42,0.997331,1.61981e-28,2.78578e-28,2.21295e-29,7.19117e-29,4.38323e-29,5.44806e-29,6.84251e-29
43,0.997253,1.39818e-28,2.88345e-28,2.52146e-29,8.2166e-29,4.94473e-29,6.76996e-29,6.712e-29
44,0.997181,1.49055e-28,2.72295e-28,2.31008e-29,9.02827e-29,6.12347e-29,7.56271e-29,6.40294e-29
45,0.997113,1.60481e-28,2.72615e-28,2.53824e-29,9.66547e-29,6.68593e-29,7.25644e-29,6.50571e-29
46,0.997052,1.37077e-28,2.68392e-28,2.31022e-29,1.05146e-28,7.23722e-29,9.24738e-29,7.09536e-29
47,0.996998,1.38736e-28,2.57682e-28,2.50697e-29,1.17475e-28,7.49606e-29,9.77718e-29,6.94199e-29
48,0.99695,1.40061e-28,2.54291e-28,2.16935e-29,1.20737e-28,8.9317e-29,1.11717e-28,6.85361e-29
49,0.99691,1.2048e-28,2.37046e-28,2.51344e-29,1.34837e-28,9.18501e-29,1.1569e-28,6.91714e-29
50,0.996879,1.18375e-28,2.34665e-28,2.07272e-29,1.43692e-28,1.02089e-28,1.23336e-28,6.78887e-29
51,0.996857,1.28579e-28,2.15442e-28,2.77934e-29,1.54013e-28,1.10342e-28,1.42457e-28,6.75411e-29
52,0.996844,1.15786e-28,2.12443e-28,3.23162e-29,1.68264e-28,1.17462e-28,1.60847e-28,6.50405e-29
53,0.996841,1.20865e-28,1.75988e-28,2.47599e-29,1.70595e-28,1.26017e-28,1.61643e-28,6.42489e-29
54,0.996848,1.10027e-28,2.15848e-28,2.65258e-29,1.90317e-28,1.43574e-28,1.69822e-28,6.46791e-29
55,0.996867,1.04252e-28,1.84333e-28,2.46034e-29,1.84217e-28,1.32211e-28,1.87077e-28,6.05281e-29
56,0.996897,1.00571e-28,1.79312e-28,3.97435e-29,1.98521e-28,1.43118e-28,1.86075e-28,6.42102e-29
57,0.996939,1.0365e-28,1.93668e-28,5.62243e-29,1.95888e-28,1.54338e-28,2.13299e-28,6.0606e-29
58,0.996993,9.45447e-29,1.68868e-28,4.09069e-29,2.07062e-28,1.53392e-28,2.00958e-28,5.00085e-29
59,0.997061,9.10478e-29,1.6669e-28,5.28015e-29,2.16386e-28,1.59688e-28,2.14961e-28,5.24063e-29
60,0.997141,6.87532e-29,1.91942e-28,5.34314e-29,2.20328e-28,1.57193e-28,2.25904e-28,5.23694e-29
61,0.997235,7.41195e-29,1.61211e-28,5.37387e-29,2.20384e-28,1.58592e-28,2.07984e-28,5.27644e-29
62,0.997342,6.7468e-29,1.50419e-28,7.13883e-29,2.18204e-28,1.59022e-28,2.15705e-28,4.5891e-29
63,0.997464,5.60351e-29,1.41442e-28,6.35977e-29,2.20976e-28,1.46792e-28,2.35942e-28,3.59617e-29
64,0.997599,4.85538e-29,1.36013e-28,4.67997e-29,2.44676e-28,1.58627e-28,2.3532e-28,3.85994e-29
65,0.997749,5.11564e-29,1.35427e-28,6.56332e-29,2.17943e-28,1.50718e-28,2.33738e-28,4.52689e-29
66,0.997913,4.55345e-29,1.25106e-28,5.24103e-29,2.32379e-28,1.41918e-28,2.43931e-28,3.70865e-29
67,0.998092,2.88501e-29,1.13131e-28,7.03953e-29,2.70434e-28,1.55305e-28,2.41001e-28,3.93871e-29
68,0.998284,3.55271e-29,1.21779e-28,7.24361e-29,2.67976e-28,1.48158e-28,2.46001e-28,4.29079e-29
69,0.998491,2.36228e-29,1.26532e-28,7.43582e-29,2.76846e-28,1.53899e-28,2.37756e-28,5.16291e-29
70,0.998712,2.51994e-29,1.07881e-28,6.90518e-29,2.94369e-28,1.44179e-28,2.46833e-28,4.49477e-29
71,0.998947,1.8563e-29,1.24642e-28,7.60658e-29,3.21253e-28,1.52234e-28,2.54434e-28,5.10714e-29
72,0.999195,1.7416e-29,9.52231e-29,8.0793e-29,3.55464e-28,1.63106e-28,2.57417e-28,5.60255e-29
73,0.999457,6.73832e-30,1.15551e-28,8.25969e-29,3.23529e-28,1.64964e-28,2.35842e-28,7.49945e-29
74,0.999731,9.65569e-30,1.03297e-28,8.12546e-29,3.51789e-28,1.49952e-28,2.26187e-28,7.42025e-29
75,1.00002,8.21892e-30,1.25333e-28,8.61639e-29,3.52189e-28,1.55112e-28,2.61617e-28,6.93509e-29
76,1.00032,4.00794e-30,1.30577e-28,8.61017e-29,3.84986e-28,1.80171e-28,2.17192e-28,1.05639e-28
77,1.00063,2.31268e-30,1.04418e-28,7.60165e-29,3.86445e-28,1.78394e-28,2.01508e-28,1.04051e-28
78,1.00095,6.27273e-31,1.1312e-28,9.82651e-29,4.12211e-28,1.81762e-28,2.34653e-28,1.09556e-28
79,1.00128,2.98507e-31,1.39191e-28,9.24792e-29,3.95623e-28,1.49905e-28,2.13462e-28,1.07793e-28
