t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
0,0.999998,3.29269e-26,1.34035e-31,1.35979e-31,1.14146e-33,3.23538e-34,9.41935e-33,6.28073e-33
1,0.999792,3.34273e-26,1.58183e-29,1.77524e-29,1.44943e-31,6.18487e-32,1.03608e-30,7.35553e-31
2,0.999242,3.34066e-26,5.73588e-29,6.97628e-29,5.24943e-31,4.1585e-31,3.36849e-30,2.65207e-30
3,0.998351,3.37048e-26,1.24288e-28,1.60529e-28,1.08719e-30,1.52894e-30,6.489e-30,5.89061e-30
4,0.997119,3.37821e-26,2.19775e-28,2.88111e-28,1.76317e-30,3.9625e-30,1.01052e-29,1.07419e-29
5,0.995549,3.33528e-26,3.38682e-28,4.66865e-28,2.53463e-30,8.19573e-30,1.4196e-29,1.77642e-29
6,0.993646,3.30829e-26,4.77696e-28,6.78599e-28,3.48328e-30,1.41901e-29,1.88678e-29,2.74288e-29
7,0.991413,3.34504e-26,6.73718e-28,9.2712e-28,4.58281e-30,2.16517e-29,2.46663e-29,4.0231e-29
8,0.988855,3.29113e-26,8.44402e-28,1.12516e-27,6.12808e-30,3.06388e-29,3.22225e-29,5.64449e-29
9,0.985978,3.19185e-26,1.112e-27,1.39142e-27,8.08615e-30,4.05603e-29,4.17195e-29,7.50427e-29
10,0.982788,3.23445e-26,1.34545e-27,1.66308e-27,1.09994e-29,5.2335e-29,5.32804e-29,9.65259e-29
11,0.979291,3.18375e-26,1.62257e-27,1.9156e-27,1.48391e-29,6.40584e-29,6.93443e-29,1.20121e-28
12,0.975496,3.11274e-26,1.92236e-27,2.29243e-27,2.01151e-29,7.7894e-29,8.97943e-29,1.46489e-28
13,0.971412,3.1526e-26,2.09893e-27,2.49885e-27,2.9165e-29,9.77281e-29,1.15776e-28,1.73785e-28
14,0.967045,2.96884e-26,2.40956e-27,2.76639e-27,3.79309e-29,1.16372e-28,1.42427e-28,1.9984e-28
15,0.962407,2.91781e-26,2.67108e-27,3.22086e-27,5.21873e-29,1.35109e-28,1.7527e-28,2.36397e-28
16,0.957507,3.00715e-26,2.83972e-27,3.4406e-27,7.39137e-29,1.62085e-28,2.17031e-28,2.91528e-28
17,0.952355,2.87278e-26,3.35539e-27,3.93908e-27,1.01932e-28,1.8863e-28,2.58803e-28,3.62829e-28
18,0.946963,2.66476e-26,3.46974e-27,4.07455e-27,1.40301e-28,2.27911e-28,3.06445e-28,4.45244e-28
19,0.941342,2.65887e-26,3.95235e-27,4.3344e-27,1.93848e-28,2.63344e-28,3.57703e-28,5.64248e-28
20,0.935504,2.60049e-26,4.60226e-27,4.86515e-27,2.57737e-28,3.04416e-28,4.12405e-28,6.77965e-28
21,0.929461,2.42131e-26,4.88545e-27,5.13041e-27,3.2535e-28,3.308e-28,4.6078e-28,8.01516e-28
22,0.923225,2.29213e-26,5.42368e-27,5.27105e-27,4.13154e-28,3.73482e-28,5.54346e-28,9.82472e-28
23,0.91681,2.13158e-26,5.56004e-27,5.09689e-27,5.06454e-28,3.87923e-28,6.23781e-28,1.05881e-27
24,0.910229,1.99807e-26,5.96272e-27,5.58396e-27,5.96587e-28,4.22125e-28,6.94944e-28,1.18456e-27
25,0.903496,1.82897e-26,6.04116e-27,5.25475e-27,7.17983e-28,4.67773e-28,7.6652e-28,1.29104e-27
26,0.896624,1.91363e-26,6.22126e-27,5.67595e-27,8.17447e-28,4.89795e-28,8.81715e-28,1.36652e-27
27,0.889628,1.67323e-26,6.19071e-27,5.35537e-27,9.64252e-28,5.53552e-28,1.02819e-27,1.44884e-27
28,0.882521,1.70203e-26,5.96911e-27,5.4576e-27,1.02756e-27,5.88395e-28,1.07296e-27,1.50793e-27
29,0.875317,1.5879e-26,6.22551e-27,5.27269e-27,1.12299e-27,6.38558e-28,1.12543e-27,1.50136e-27
30,0.868032,1.56989e-26,6.49259e-27,5.51386e-27,1.24535e-27,6.98143e-28,1.18538e-27,1.53402e-27
31,0.860679,1.50195e-26,6.28023e-27,5.27481e-27,1.32314e-27,7.8303e-28,1.36446e-27,1.65534e-27
32,0.853274,1.37664e-26,6.11175e-27,5.60479e-27,1.34598e-27,8.09299e-28,1.48504e-27,1.71117e-27
33,0.84583,1.29363e-26,5.92188e-27,5.26692e-27,1.4264e-27,8.67063e-28,1.57241e-27,1.76044e-27
34,0.838362,1.07046e-26,6.38318e-27,5.32644e-27,1.50283e-27,9.52697e-28,1.77906e-27,1.83265e-27
35,0.830885,1.14944e-26,6.13692e-27,5.80455e-27,1.50501e-27,9.92581e-28,1.8235e-27,1.83184e-27
36,0.823413,1.02671e-26,6.50102e-27,5.34933e-27,1.62601e-27,1.05665e-27,1.98424e-27,1.97103e-27
37,0.81596,9.91477e-27,6.17634e-27,5.51278e-27,1.5872e-27,1.05031e-27,2.14216e-27,2.1421e-27
38,0.80854,8.24018e-27,6.35247e-27,5.47502e-27,1.72388e-27,1.15016e-27,2.1969e-27,2.21009e-27
39,0.801168,7.8094e-27,6.46897e-27,5.63952e-27,1.80839e-27,1.13536e-27,2.26184e-27,2.36355e-27
40,0.793857,8.03677e-27,7.07001e-27,5.4687e-27,2.066e-27,1.43401e-27,2.54741e-27,2.57476e-27
41,0.78662,7.0785e-27,7.22093e-27,6.60581e-27,2.09369e-27,1.45442e-27,2.55994e-27,2.69137e-27
42,0.779472,6.75427e-27,6.85509e-27,5.85283e-27,2.51788e-27,1.6561e-27,2.84892e-27,3.04182e-27
43,0.772425,5.40437e-27,7.28475e-27,5.9217e-27,2.67116e-27,1.6572e-27,3.03587e-27,3.01109e-27
44,0.765493,5.32343e-27,7.50348e-27,6.3615e-27,2.79996e-27,1.79553e-27,3.1508e-27,2.9534e-27
45,0.758687,5.25801e-27,7.02671e-27,5.6932e-27,2.95326e-27,1.85299e-27,3.43781e-27,3.00159e-27
46,0.752021,4.54435e-27,7.14524e-27,5.55922e-27,3.16684e-27,1.94734e-27,3.92171e-27,3.28954e-27
47,0.745506,4.09384e-27,7.1547e-27,5.69147e-27,3.36559e-27,2.12471e-27,4.11608e-27,3.23035e-27
48,0.739155,3.59101e-27,6.96555e-27,5.57552e-27,3.68124e-27,2.37516e-27,4.43601e-27,3.01946e-27
49,0.732978,3.34569e-27,7.141e-27,5.24653e-27,3.89716e-27,2.62919e-27,4.86275e-27,3.40223e-27
50,0.726987,3.12566e-27,6.7875e-27,5.37248e-27,3.97404e-27,2.68736e-27,4.92791e-27,3.17946e-27
51,0.721193,3.11058e-27,6.75258e-27,4.80076e-27,4.71594e-27,3.20544e-27,5.42878e-27,3.57156e-27
52,0.715607,2.36471e-27,6.92852e-27,5.42266e-27,4.92325e-27,3.23641e-27,6.09241e-27,3.65809e-27
53,0.710238,2.68919e-27,7.22578e-27,5.1966e-27,5.21201e-27,3.99504e-27,6.42688e-27,3.92074e-27
54,0.705096,2.42962e-27,6.73086e-27,5.15883e-27,5.38201e-27,4.15406e-27,6.71262e-27,4.15884e-27
55,0.700191,2.35016e-27,6.98201e-27,4.87787e-27,6.07239e-27,4.46779e-27,7.15491e-27,4.03916e-27
56,0.695532,2.29287e-27,6.44988e-27,5.00747e-27,5.84971e-27,4.76508e-27,7.12194e-27,4.21721e-27
57,0.691128,2.13946e-27,7.41745e-27,5.23907e-27,6.4174e-27,5.33333e-27,8.16392e-27,4.54897e-27
58,0.686987,1.84285e-27,7.10164e-27,4.68073e-27,6.51696e-27,5.59873e-27,8.24429e-27,4.70531e-27
59,0.683118,1.68524e-27,6.14008e-27,4.1835e-27,6.98267e-27,6.23194e-27,8.18411e-27,4.81534e-27
60,0.679527,1.61751e-27,6.48205e-27,4.38689e-27,7.27839e-27,7.15503e-27,8.78632e-27,5.62093e-27
61,0.676224,1.36376e-27,6.18143e-27,4.16598e-27,7.55206e-27,7.50033e-27,9.90919e-27,6.07381e-27
62,0.673214,1.30228e-27,5.77109e-27,3.9491e-27,8.31417e-27,8.30782e-27,9.48002e-27,6.34507e-27
63,0.670504,1.09402e-27,5.68353e-27,4.13988e-27,8.60376e-27,8.05911e-27,1.05814e-26,6.8732e-27
64,0.668101,1.03601e-27,5.3084e-27,3.51928e-27,8.63501e-27,8.41773e-27,9.54925e-27,6.42564e-27
65,0.666011,8.28937e-28,4.81351e-27,3.36986e-27,8.78944e-27,8.68009e-27,1.05992e-26,7.10186e-27
66,0.66424,7.75395e-28,4.46105e-27,3.24497e-27,8.83279e-27,8.69052e-27,1.07507e-26,7.44378e-27
67,0.662793,5.20647e-28,4.42554e-27,3.18979e-27,8.93569e-27,8.56471e-27,1.10598e-26,6.78013e-27
68,0.661674,4.69355e-28,4.06649e-27,2.86216e-27,9.25525e-27,9.07484e-27,9.92158e-27,6.77155e-27
69,0.66089,4.85589e-28,4.25816e-27,3.24769e-27,9.16894e-27,8.82459e-27,1.04227e-26,6.80898e-27
70,0.660443,2.56835e-28,4.22674e-27,3.23823e-27,8.61649e-27,8.2533e-27,1.04358e-26,6.80143e-27
71,0.660339,2.24139e-28,3.21875e-27,2.67607e-27,8.88484e-27,8.16683e-27,1.05998e-26,6.4663e-27
72,0.660581,1.51466e-28,3.56648e-27,2.4724e-27,8.20806e-27,7.33352e-27,9.39109e-27,5.96693e-27
73,0.661172,1.36072e-28,3.47082e-27,2.43788e-27,8.68224e-27,7.71377e-27,9.19533e-27,6.14936e-27
74,0.662115,1.01134e-28,2.87793e-27,2.38758e-27,7.91324e-27,6.5957e-27,9.06058e-27,5.80219e-27
75,0.663414,2.25882e-29,3.2717e-27,2.61771e-27,7.51257e-27,6.25175e-27,7.77689e-27,5.75565e-27
