t,T+R,N_0,N_1,N_2,N_3
3800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
3900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
4900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
5900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
6900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7500,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7600,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7700,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7800,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
7900,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
8000,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
8100,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
8200,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
8300,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
8400,0.984892,0.000661395,0.00195873,0.00306327,0.00248993
