t,T+R,N_0
0,1,1.36648e-21
10,1,1.36464e-21
20,1,1.36391e-21
30,1,1.36515e-21
40,1,1.36472e-21
50,1,1.36391e-21
60,1,1.36446e-21
70,1,1.36542e-21
80,1,1.36693e-21
90,1,1.36817e-21
100,1,1.36773e-21
110,1.00003,1.36854e-21
120,1.00919,1.36733e-21
130,0.852143,1.36734e-21
140,0.337158,1.36559e-21
150,0.04629,1.3677e-21
160,0.065799,1.61084e-21
170,0.146198,1.20612e-19
180,0.561974,5.64804e-17
190,1.23172,1.03086e-14
200,1.20369,7.26953e-13
210,0.868662,2.36047e-11
220,1.07287,4.1453e-10
230,0.962289,4.33206e-09
240,1.0118,2.86936e-08
250,1.0061,1.25598e-07
260,0.99277,3.7228e-07
270,0.998744,7.53629e-07
280,1.00298,1.03639e-06
290,1.00126,9.56534e-07
300,0.999019,6.00411e-07
310,0.998968,2.95444e-07
320,1.00002,1.52187e-07
330,1.00054,8.18992e-08
340,1.00026,4.17468e-08
350,0.99985,2.19323e-08
360,0.99979,1.13255e-08
370,0.99997,5.90251e-09
380,1.00009,3.05654e-09
390,1.00006,1.59109e-09
400,0.999984,8.24325e-10
410,0.999959,4.28872e-10
420,0.999987,2.22343e-10
430,1.00001,1.15543e-10
440,1.00001,6.00063e-11
450,1,3.1146e-11
460,0.999992,1.61844e-11
470,0.999996,8.3949e-12
480,1,4.35808e-12
490,1,2.26578e-12
500,1,1.17726e-12
600,1,1.71912e-15
700,1,3.61626e-18
800,1,5.09964e-19
900,1,5.19905e-19
1000,1,5.2179e-19
1100,1,5.2191e-19
1200,1,5.22002e-19
1300,1,5.22181e-19
1400,1,5.22399e-19
1500,1,5.22654e-19
1600,1,5.21761e-19
1700,1,5.21671e-19
1800,1,5.21916e-19
1900,1,5.2185e-19
2000,1,5.21624e-19
2100,1,5.21172e-19
2200,1,5.21311e-19
2300,1,5.21604e-19
2400,1,5.21976e-19
2500,1,5.21269e-19
2600,1,5.20756e-19
2700,1,5.20897e-19
2800,1,5.20619e-19
2900,1,5.2089e-19
3000,1,5.206e-19
3100,1,5.20432e-19
3200,1,5.20444e-19
3300,1,5.20373e-19
3400,1,5.19997e-19
3500,1,5.20349e-19
3600,1,5.20612e-19
3700,1,5.19823e-19
3800,1,5.2013e-19
3900,1,5.19827e-19
4000,1,5.19327e-19
4100,1,5.20014e-19
4200,1,5.19278e-19
4300,1,5.18787e-19
4400,1,5.18715e-19
4500,1,5.19581e-19
4600,1,5.20243e-19
4700,1,5.21969e-19
4800,1,5.2093e-19
4900,1,5.21885e-19
5000,1,5.21877e-19
5100,1,5.20876e-19
5200,1,5.2253e-19
5300,1,5.21679e-19
5400,1,5.22489e-19
5500,1,5.22801e-19
5600,1,5.22762e-19
5700,1,5.2228e-19
5800,1,5.21386e-19
5900,1,5.21405e-19
6000,1,5.2241e-19
6100,1,5.2269e-19
6200,1,5.22799e-19
6300,1,5.2222e-19
6400,1,5.22659e-19
6500,1,5.21454e-19
6600,1,5.20212e-19
6700,1,5.20731e-19
6800,1,5.20265e-19
6900,1,5.20321e-19
7000,1,5.20667e-19
7100,1,5.19262e-19
7200,1,5.15511e-19
7300,1,5.17269e-19
7400,1,5.16863e-19
7500,1,5.16489e-19
7600,1,5.15419e-19
7700,1,5.14769e-19
7800,1,5.14443e-19
7900,1,5.13787e-19
8000,1,5.1458e-19
8100,1,5.15173e-19
8200,1,5.12874e-19
8300,1,5.13586e-19
8400,1,5.1425e-19
