t,T+R,N_0,N_1,N_2
90,1.02554,1.45821e-27,2.13624e-29,1.45255e-28
91,1.02703,1.45691e-27,1.70662e-29,1.33009e-28
92,1.02849,1.55611e-27,1.30042e-29,1.14438e-28
93,1.02993,1.55462e-27,3.05244e-30,9.28474e-29
94,1.03133,1.63742e-27,5.80926e-30,7.41616e-29
95,1.0327,1.81548e-27,2.38863e-30,8.08321e-29
96,1.03403,1.84823e-27,3.23519e-30,8.67224e-29
97,1.03533,1.91198e-27,5.55701e-31,6.53211e-29
98,1.03658,1.90054e-27,1.18632e-31,4.12898e-29
99,1.0378,2.09134e-27,-2.5634e-31,5.54509e-29
100,1.03897,2.13369e-27,-1.97749e-30,5.20249e-29
101,1.04011,2.11997e-27,-1.24863e-30,3.31451e-29
102,1.04119,2.20865e-27,1.79464e-30,2.95731e-29
103,1.04224,2.17184e-27,8.96977e-30,9.24851e-30
104,1.04324,2.22859e-27,3.67705e-30,1.93086e-29
105,1.0442,2.46266e-27,6.47214e-30,2.48383e-29
106,1.04511,2.34903e-27,2.57018e-29,1.79626e-29
107,1.04597,2.43022e-27,2.59782e-29,3.86969e-30
108,1.04679,2.36466e-27,3.5274e-29,5.7541e-30
109,1.04757,2.56269e-27,6.53279e-29,8.74228e-30
110,1.0483,2.61629e-27,5.46892e-29,7.5079e-30
111,1.04899,2.553e-27,7.2963e-29,3.99188e-30
112,1.04964,2.61889e-27,8.70167e-29,1.5497e-30
113,1.05025,2.80351e-27,8.28916e-29,1.47779e-30
114,1.05082,2.78133e-27,1.44042e-28,3.02602e-30
115,1.05135,2.77746e-27,1.40883e-28,1.26417e-29
116,1.05184,2.59771e-27,1.53526e-28,2.26228e-29
117,1.0523,2.79128e-27,2.01471e-28,2.67923e-29
118,1.05273,2.70778e-27,1.79259e-28,2.71927e-29
119,1.05313,2.65136e-27,2.19516e-28,2.15488e-29
120,1.0535,2.58384e-27,2.72107e-28,4.87764e-29
121,1.05384,2.52635e-27,2.8474e-28,7.60461e-29
122,1.05416,2.35694e-27,2.77625e-28,1.00687e-28
123,1.05445,2.33413e-27,3.34666e-28,1.14169e-28
124,1.05473,2.27558e-27,4.81237e-28,1.28021e-28
125,1.05499,2.17646e-27,4.76094e-28,2.13226e-28
126,1.05524,1.95563e-27,4.47441e-28,2.49061e-28
127,1.05548,1.89756e-27,5.78136e-28,2.61785e-28
128,1.0557,1.86552e-27,6.24053e-28,3.69589e-28
129,1.05593,1.81851e-27,7.15701e-28,3.7047e-28
130,1.05615,1.64964e-27,8.27047e-28,4.29209e-28
131,1.05637,1.56938e-27,7.53671e-28,4.96833e-28
132,1.05659,1.54119e-27,7.83047e-28,5.81049e-28
133,1.05681,1.48462e-27,9.40839e-28,6.05493e-28
134,1.05705,1.29409e-27,1.01875e-27,6.48836e-28
135,1.0573,1.34617e-27,1.1459e-27,7.34379e-28
136,1.05756,1.34118e-27,9.14882e-28,7.97707e-28
137,1.05783,1.18719e-27,1.15401e-27,8.41546e-28
138,1.05812,1.16869e-27,1.13118e-27,8.4979e-28
139,1.05844,1.19913e-27,1.20345e-27,9.48613e-28
140,1.05878,1.12819e-27,1.26673e-27,9.63856e-28
141,1.05914,1.05463e-27,1.03142e-27,8.95211e-28
142,1.05953,9.91971e-28,1.05351e-27,9.13369e-28
143,1.05995,9.06289e-28,1.14407e-27,9.53694e-28
144,1.0604,8.75306e-28,1.38217e-27,9.87892e-28
145,1.06088,8.40484e-28,1.17784e-27,9.55972e-28
146,1.0614,7.19677e-28,9.91437e-28,1.02752e-27
147,1.06195,7.24545e-28,1.30232e-27,9.86429e-28
148,1.06254,6.52929e-28,1.36852e-27,1.0709e-27
149,1.06316,5.97381e-28,1.5578e-27,1.28432e-27
150,1.06383,5.70767e-28,1.45721e-27,1.17298e-27
151,1.06454,5.1248e-28,1.48797e-27,1.3465e-27
152,1.06528,4.97785e-28,1.7595e-27,1.52441e-27
