t,T+R,N_0,N_1,N_2,N_3,N_4
0,1,6.84219e-28,3.98824e-33,2.92321e-33,3.12007e-33,2.40616e-33
1,0.999954,6.56166e-28,4.87256e-31,3.6641e-31,3.84957e-31,3.11195e-31
2,0.999832,6.80465e-28,1.81059e-30,1.36658e-30,1.463e-30,1.20299e-30
3,0.999637,6.64964e-28,3.82395e-30,3.07774e-30,3.1959e-30,2.86267e-30
4,0.99937,6.53869e-28,6.54951e-30,5.70572e-30,5.68334e-30,5.14038e-30
5,0.999035,6.10892e-28,9.8743e-30,8.89854e-30,8.80932e-30,8.20263e-30
6,0.998638,5.69361e-28,1.3175e-29,1.31454e-29,1.2394e-29,1.17926e-29
7,0.998183,5.62172e-28,1.80239e-29,1.78894e-29,1.67437e-29,1.69771e-29
8,0.997677,5.50595e-28,2.14586e-29,2.30226e-29,2.10661e-29,2.29116e-29
9,0.997128,4.69552e-28,2.55323e-29,2.89516e-29,2.55543e-29,2.94894e-29
10,0.996542,4.91401e-28,2.81561e-29,3.52423e-29,3.00166e-29,3.81901e-29
11,0.995928,4.90104e-28,3.29968e-29,4.2024e-29,3.40221e-29,4.87479e-29
12,0.995294,4.29464e-28,3.4098e-29,4.81161e-29,3.98415e-29,5.63166e-29
13,0.99465,4.22151e-28,3.71555e-29,5.24278e-29,3.97908e-29,6.91658e-29
14,0.994004,3.94177e-28,3.88923e-29,6.15569e-29,4.71444e-29,7.79645e-29
15,0.993365,3.79968e-28,3.83876e-29,7.4299e-29,4.94707e-29,8.82983e-29
16,0.992742,3.56908e-28,4.04101e-29,8.38444e-29,5.17283e-29,9.67998e-29
17,0.992144,3.40589e-28,4.39108e-29,8.3292e-29,5.09568e-29,1.12777e-28
18,0.991579,3.63476e-28,4.74914e-29,9.64127e-29,5.87587e-29,1.2349e-28
19,0.991054,3.75115e-28,4.67862e-29,1.01846e-28,6.26251e-29,1.31019e-28
20,0.990577,3.32955e-28,4.77948e-29,1.12796e-28,6.0426e-29,1.38216e-28
21,0.990154,3.6726e-28,4.81336e-29,1.2406e-28,6.25208e-29,1.47981e-28
22,0.989791,3.34386e-28,4.8878e-29,1.25375e-28,6.84983e-29,1.57811e-28
23,0.989494,3.77586e-28,5.16961e-29,1.28771e-28,7.23047e-29,1.665e-28
24,0.989266,3.41984e-28,5.23493e-29,1.34216e-28,6.95469e-29,1.67192e-28
25,0.98911,3.29618e-28,4.51594e-29,1.43891e-28,7.80451e-29,1.73285e-28
26,0.989028,3.5596e-28,3.90753e-29,1.48089e-28,8.19601e-29,1.77287e-28
27,0.989022,3.84947e-28,4.40685e-29,1.31777e-28,8.50892e-29,1.87998e-28
28,0.989092,3.97051e-28,3.92752e-29,1.2241e-28,8.20659e-29,1.89185e-28
29,0.989237,4.27092e-28,4.01279e-29,1.15643e-28,8.78754e-29,2.04598e-28
30,0.989455,3.78541e-28,3.25863e-29,1.17571e-28,8.87854e-29,1.89077e-28
31,0.989743,3.49238e-28,2.85862e-29,1.19992e-28,9.95148e-29,1.9807e-28
32,0.990098,4.27915e-28,2.48426e-29,1.04036e-28,9.20533e-29,2.01753e-28
33,0.990516,4.33353e-28,1.99749e-29,8.42065e-29,9.50036e-29,1.96436e-28
34,0.990991,4.02072e-28,1.75577e-29,9.32312e-29,9.37976e-29,1.88892e-28
35,0.991517,4.39862e-28,1.02764e-29,7.72745e-29,1.02037e-28,1.93077e-28
36,0.992088,4.40528e-28,9.06538e-30,7.17619e-29,9.54232e-29,1.92149e-28
37,0.992698,4.65855e-28,5.73032e-30,6.46335e-29,9.16032e-29,1.87844e-28
38,0.993338,5.37157e-28,3.36411e-30,4.90071e-29,9.24405e-29,1.69966e-28
39,0.994003,6.17567e-28,2.48075e-30,5.79361e-29,9.38026e-29,1.66292e-28
40,0.994683,5.48436e-28,1.00221e-30,5.93077e-29,1.00742e-28,1.59332e-28
41,0.995371,5.70183e-28,9.71658e-31,5.70833e-29,9.33978e-29,1.359e-28
42,0.99606,5.9065e-28,4.66442e-31,3.82722e-29,8.80016e-29,1.35491e-28
43,0.996743,6.82617e-28,5.95663e-31,3.5985e-29,8.063e-29,1.11749e-28
44,0.997411,6.907e-28,2.19038e-30,3.87284e-29,9.41284e-29,9.96114e-29
45,0.99806,6.24852e-28,2.9427e-30,3.21182e-29,8.58613e-29,8.85421e-29
46,0.998681,6.78577e-28,6.3912e-30,2.87775e-29,8.70615e-29,8.01292e-29
47,0.999271,6.4475e-28,7.58288e-30,2.68968e-29,7.61895e-29,6.80351e-29
48,0.999823,7.02198e-28,1.33042e-29,1.78429e-29,7.22459e-29,5.26385e-29
49,1.00033,6.59933e-28,1.36159e-29,2.24811e-29,7.06601e-29,4.13622e-29
50,1.0008,6.07188e-28,1.90544e-29,1.82052e-29,7.7415e-29,3.4922e-29
51,1.00121,5.2691e-28,1.91781e-29,1.39548e-29,6.53952e-29,2.75897e-29
