t,T+R,N_0,N_1,N_2
0,0.999998,3.3033e-26,1.53758e-31,1.19013e-31
1,0.9997,3.3194e-26,1.97292e-29,1.36654e-29
2,0.998907,3.29556e-26,7.62091e-29,4.77244e-29
3,0.997622,3.31481e-26,1.75432e-28,1.0031e-28
4,0.995852,3.27903e-26,3.12098e-28,1.71904e-28
5,0.993603,3.29172e-26,4.61468e-28,2.70342e-28
6,0.990888,3.3551e-26,6.54572e-28,3.83865e-28
7,0.987717,3.25193e-26,8.78896e-28,5.14159e-28
8,0.984105,3.25153e-26,1.06795e-27,6.65735e-28
9,0.980069,3.30455e-26,1.2851e-27,8.21456e-28
10,0.975627,3.25005e-26,1.53096e-27,1.0465e-27
11,0.970799,3.29057e-26,1.7416e-27,1.24972e-27
12,0.965607,3.13031e-26,2.01837e-27,1.61403e-27
13,0.960075,3.10896e-26,2.35611e-27,1.8701e-27
14,0.954228,2.89456e-26,2.51998e-27,2.24536e-27
15,0.948092,2.92373e-26,2.90685e-27,2.67382e-27
16,0.941697,3.00618e-26,3.19844e-27,3.1486e-27
17,0.935071,2.84897e-26,3.48827e-27,3.5142e-27
18,0.928244,2.70154e-26,3.99896e-27,4.00595e-27
19,0.921248,2.57556e-26,4.48019e-27,4.33717e-27
20,0.914116,2.5836e-26,4.84608e-27,4.7375e-27
21,0.90688,2.49558e-26,5.14662e-27,5.0274e-27
22,0.899574,2.42149e-26,5.64414e-27,5.70843e-27
23,0.892232,2.08689e-26,5.97478e-27,5.57968e-27
24,0.884888,1.9897e-26,6.32804e-27,5.78008e-27
25,0.877577,1.98557e-26,6.17396e-27,6.27589e-27
26,0.870333,2.03839e-26,6.83271e-27,6.44158e-27
27,0.86319,1.86959e-26,6.69067e-27,6.73046e-27
28,0.856182,1.73919e-26,6.73105e-27,7.22076e-27
29,0.849342,1.61853e-26,7.06334e-27,6.73327e-27
30,0.842704,1.706e-26,7.31585e-27,8.30544e-27
31,0.8363,1.60072e-26,7.05636e-27,8.55106e-27
32,0.830161,1.49612e-26,7.5391e-27,8.84376e-27
33,0.824317,1.29906e-26,7.29924e-27,9.28913e-27
34,0.818797,1.28955e-26,8.34284e-27,1.03113e-26
35,0.813629,1.21997e-26,7.93573e-27,1.11129e-26
36,0.80884,1.22895e-26,8.34357e-27,1.16754e-26
37,0.804454,1.01145e-26,8.46611e-27,1.24039e-26
38,0.800496,1.05849e-26,9.14615e-27,1.12217e-26
39,0.796986,1.01876e-26,9.61687e-27,1.22924e-26
40,0.793944,9.97246e-27,9.88902e-27,1.23881e-26
41,0.791388,1.00381e-26,1.03172e-26,1.37113e-26
42,0.789334,9.56604e-27,1.00345e-26,1.34628e-26
43,0.787797,9.03796e-27,1.12025e-26,1.24078e-26
44,0.786787,9.67497e-27,1.13591e-26,1.36987e-26
45,0.786315,9.53523e-27,1.17277e-26,1.39669e-26
46,0.786388,9.04799e-27,1.02121e-26,1.35998e-26
47,0.787012,8.76818e-27,1.01868e-26,1.27959e-26
48,0.788188,8.66703e-27,1.0481e-26,1.27191e-26
49,0.789918,8.8831e-27,1.01336e-26,1.34632e-26
50,0.7922,9.57542e-27,1.02401e-26,1.38722e-26
51,0.795031,9.76537e-27,9.62875e-27,1.22032e-26
52,0.798403,9.0427e-27,9.76467e-27,1.25021e-26
53,0.80231,9.13042e-27,8.67513e-27,1.26394e-26
54,0.806739,9.77225e-27,1.07648e-26,1.26305e-26
55,0.811679,1.09613e-26,8.43389e-27,1.18748e-26
56,0.817115,1.06976e-26,9.27537e-27,1.27429e-26
57,0.823029,1.13552e-26,9.34737e-27,1.25941e-26
58,0.829403,1.12321e-26,9.14368e-27,1.26553e-26
59,0.836216,1.30632e-26,1.01664e-26,1.33839e-26
60,0.843445,1.3524e-26,8.79609e-27,1.40798e-26
61,0.851067,1.43427e-26,9.5913e-27,1.45334e-26
62,0.859055,1.26284e-26,9.19252e-27,1.31512e-26
63,0.867381,1.31434e-26,8.36922e-27,1.35511e-26
64,0.876018,1.44787e-26,8.56093e-27,1.41436e-26
65,0.884934,1.44725e-26,7.41296e-27,1.32765e-26
66,0.8941,1.49751e-26,7.49976e-27,1.31025e-26
67,0.903482,1.58105e-26,6.43558e-27,1.13122e-26
68,0.913048,1.57916e-26,6.52731e-27,1.17557e-26
69,0.922764,1.74488e-26,5.08672e-27,9.69191e-27
70,0.932595,1.7607e-26,4.96226e-27,1.02142e-26
71,0.942507,1.79781e-26,5.41587e-27,9.28764e-27
72,0.952465,1.95687e-26,4.95239e-27,8.17864e-27
73,0.962434,1.81171e-26,3.50689e-27,7.55274e-27
74,0.972379,1.94219e-26,3.38147e-27,6.98486e-27
75,0.982264,1.99147e-26,3.48864e-27,5.56957e-27
76,0.992056,1.99655e-26,2.79164e-27,5.10023e-27
77,1.00172,2.21556e-26,2.5595e-27,4.69139e-27
78,1.01122,2.44192e-26,2.05394e-27,4.67982e-27
79,1.02053,2.25795e-26,1.99359e-27,4.06949e-27
80,1.02961,2.55326e-26,1.62348e-27,4.11697e-27
81,1.03844,2.58111e-26,1.65665e-27,3.62058e-27
82,1.04698,2.59953e-26,9.65003e-28,3.79544e-27
83,1.05521,2.90596e-26,8.33987e-28,2.76794e-27
84,1.0631,2.605e-26,5.01922e-28,3.12578e-27
85,1.07062,3.03309e-26,5.10424e-28,1.90472e-27
86,1.07776,2.88314e-26,4.089e-28,2.09936e-27
87,1.08448,2.82031e-26,8.0681e-29,1.94161e-27
88,1.09078,2.85628e-26,1.72621e-28,1.29808e-27
89,1.09663,2.91791e-26,2.21921e-28,9.35521e-28
90,1.10201,3.06196e-26,2.03371e-28,6.71511e-28
