t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
48,0.922038,20.5505,0.00814394,0.181513,0.00588033,0.131062,0.0176589,0.393584,0.0462788,1.03147
49,0.932831,21.2226,0.00987828,0.224738,0.00411349,0.0935848,0.0130324,0.296497,0.0401449,0.913326
50,0.94069,21.8365,0.0126589,0.293854,0.00324001,0.0752112,0.00904228,0.209901,0.0343685,0.797805
51,0.945488,22.3851,0.0164799,0.390173,0.00329075,0.0779108,0.00573863,0.135866,0.0290028,0.686662
52,0.94714,22.8622,0.0213194,0.514612,0.00428379,0.103403,0.00316258,0.0763388,0.0240947,0.581601
53,0.945606,23.2624,0.0271399,0.667655,0.00622419,0.153118,0.00134567,0.0331041,0.0196846,0.484251
54,0.940893,23.5815,0.0338881,0.849333,0.00910376,0.228166,0.000309462,0.007756,0.0158058,0.39614
55,0.933053,23.8163,0.0414962,1.0592,0.0129011,0.329303,6.53458e-05,0.00166796,0.0124846,0.318672
56,0.922182,23.9651,0.0498823,1.29631,0.017582,0.45691,0.000614391,0.0159664,0.00973957,0.253106
57,0.90842,24.0272,0.0589518,1.55924,0.0230994,0.610968,0.0019474,0.0515077,0.00758176,0.200534
58,0.891947,24.0037,0.0685982,1.84609,0.0293945,0.791053,0.00404505,0.108859,0.00601477,0.161867
59,0.872985,23.8968,0.0787052,2.15445,0.0363971,0.996322,0.00687823,0.188282,0.00503477,0.13782
60,0.851786,23.71,0.0891479,2.48149,0.0440267,1.22551,0.0104084,0.289725,0.00463074,0.1289
61,0.828639,23.4485,0.0997949,2.82395,0.0521936,1.47695,0.0145882,0.412812,0.00478475,0.135397
62,0.803856,23.1184,0.11051,3.1782,0.0607998,1.74857,0.0193622,0.556846,0.00547239,0.157383
63,0.777775,22.7275,0.121154,3.54026,0.0697407,2.03791,0.0246673,0.720809,0.00666322,0.194708
64,0.750751,22.2845,0.131587,3.90589,0.0789062,2.34217,0.030434,0.903372,0.00832132,0.247002
65,0.723153,21.7992,0.141671,4.27063,0.0881825,2.65823,0.0365872,1.10291,0.0104059,0.313682
66,0.695356,21.2823,0.151272,4.62986,0.0974531,2.98268,0.043047,1.31751,0.0128719,0.393962
67,0.667739,20.7452,0.160259,4.9789,0.106601,3.31186,0.0497302,1.54501,0.015671,0.486862
68,0.640676,20.2001,0.168512,5.31305,0.11551,3.64196,0.056551,1.78301,0.0187517,0.591227
69,0.614533,19.6594,0.175917,5.62772,0.124067,3.96898,0.0634222,2.02892,0.0220608,0.705741
70,0.589664,19.1358,0.182375,5.91845,0.132161,4.28888,0.0702565,2.27997,0.0255439,0.828952
71,0.566402,18.6422,0.187797,6.18102,0.139688,4.59759,0.0769674,2.53325,0.029146,0.959291
72,0.545057,18.191,0.192109,6.41154,0.146551,4.89107,0.0834707,2.7858,0.0328124,1.0951
73,0.525912,17.7946,0.195252,6.60649,0.152661,5.16538,0.0896851,3.03455,0.0364897,1.23465
74,0.509216,17.4644,0.197186,6.76285,0.157938,5.41677,0.0955334,3.27648,0.040126,1.37619
75,0.495183,17.2114,0.197886,6.87808,0.162315,5.6417,0.100944,3.50857,0.043672,1.51794
76,0.48399,17.0454,0.197346,6.95025,0.165733,5.8369,0.10585,3.72789,0.0470813,1.65814
77,0.47577,16.9752,0.195577,6.97809,0.168149,5.99946,0.110193,3.93163,0.0503115,1.79509
78,0.470615,17.0081,0.19261,6.96098,0.16953,6.12686,0.113921,4.11713,0.053324,1.92714
79,0.468572,17.1502,0.188493,6.89902,0.16986,6.21702,0.11699,4.28195,0.0560849,2.05276
80,0.469643,17.4057,0.183292,6.79306,0.169134,6.26835,0.119366,4.42389,0.0585651,2.17051
81,0.473787,17.7775,0.177088,6.64469,0.167362,6.27976,0.121022,4.54101,0.060741,2.27913
82,0.480915,18.2664,0.169979,6.45624,0.164569,6.25073,0.121942,4.63166,0.0625941,2.37748
83,0.490899,18.8716,0.162079,6.23078,0.160792,6.18131,0.122118,4.69455,0.0641116,2.46463
84,0.503568,19.5904,0.153512,5.97208,0.156083,6.07211,0.121551,4.72873,0.065286,2.53983
85,0.518713,20.4183,0.144413,5.68458,0.150504,5.92435,0.120254,4.7336,0.0661156,2.60253
86,0.536089,21.3489,0.134929,5.37335,0.144132,5.73983,0.118246,4.70896,0.0666037,2.65239
87,0.555421,22.3743,0.125213,5.044,0.137052,5.52091,0.115556,4.65498,0.066759,2.68928
88,0.576405,23.4847,0.115421,4.70265,0.129359,5.27053,0.11222,4.57222,0.0665949,2.7133
89,0.598713,24.6689,0.105715,4.35581,0.121158,4.99211,0.108284,4.46165,0.0661292,2.72474
90,0.622001,25.9144,0.0962558,4.0103,0.11256,4.6896,0.103799,4.32456,0.065384,2.72409
91,0.64591,27.2075,0.0872019,3.67318,0.103681,4.36734,0.0988219,4.16264,0.0643847,2.71206
92,0.670072,28.5332,0.0787087,3.35159,0.0946424,4.03009,0.0934169,3.9779,0.0631601,2.6895
93,0.694117,29.876,0.0709245,3.05271,0.0855662,3.68292,0.0876511,3.77266,0.0617412,2.65745
94,0.717678,31.2198,0.063989,2.7836,0.0765763,3.33116,0.0815957,3.54951,0.0601611,2.61708
95,0.740394,32.5481,0.0580311,2.55108,0.0677955,2.98032,0.0753247,3.31131,0.0584545,2.56968
96,0.761919,33.8442,0.053167,2.36166,0.059344,2.63604,0.0689133,3.06111,0.0566563,2.51665
97,0.781924,35.0918,0.0494979,2.22141,0.0513379,2.30398,0.0624377,2.80213,0.0548021,2.45945
98,0.800103,36.2749,0.0471093,2.13583,0.0438876,1.98977,0.0559737,2.53773,0.0529267,2.39958
99,0.816176,37.3782,0.0460686,2.10979,0.0370961,1.69888,0.0495957,2.27132,0.0510639,2.33856
