t,T+R,N_0,N_1,N_2,N_3,N_4
0,1.00001,1.99911e-25,9.71279e-31,8.24335e-31,9.82686e-31,1.19173e-30
1,1.00108,2.04478e-25,1.04547e-28,1.08034e-28,1.22444e-28,1.30508e-28
2,1.0039,2.09379e-25,3.38661e-28,4.25184e-28,4.51915e-28,4.23688e-28
3,1.00846,2.08121e-25,6.66152e-28,9.80398e-28,9.94217e-28,8.48985e-28
4,1.01467,2.00398e-25,1.09403e-27,1.79888e-27,1.73463e-27,1.35119e-27
5,1.02245,1.93191e-25,1.61276e-27,2.85512e-27,2.66811e-27,1.9313e-27
6,1.03169,1.85634e-25,2.28575e-27,4.04139e-27,3.74125e-27,2.71568e-27
7,1.04226,1.79947e-25,3.12033e-27,5.52499e-27,4.93825e-27,3.54374e-27
8,1.05402,1.70126e-25,4.06396e-27,7.06114e-27,6.44498e-27,4.44852e-27
9,1.06679,1.65878e-25,5.10144e-27,8.41504e-27,8.0941e-27,5.59809e-27
10,1.08039,1.63973e-25,6.24706e-27,1.01034e-26,9.99451e-27,6.89144e-27
11,1.09463,1.68179e-25,7.12289e-27,1.1324e-26,1.19032e-26,8.61151e-27
12,1.10931,1.6499e-25,8.43303e-27,1.26581e-26,1.35685e-26,1.04778e-26
13,1.12423,1.61888e-25,9.55645e-27,1.36177e-26,1.52847e-26,1.23201e-26
14,1.13916,1.5411e-25,1.04815e-26,1.48529e-26,1.76964e-26,1.46326e-26
15,1.15391,1.48322e-25,1.20624e-26,1.54067e-26,1.87629e-26,1.65253e-26
16,1.16825,1.47971e-25,1.30853e-26,1.62528e-26,1.98477e-26,1.85035e-26
17,1.18198,1.37123e-25,1.40583e-26,1.68402e-26,2.17229e-26,2.02266e-26
18,1.19492,1.32116e-25,1.61004e-26,1.84029e-26,2.39154e-26,2.12793e-26
19,1.20687,1.23603e-25,1.72098e-26,1.89092e-26,2.64514e-26,2.23888e-26
20,1.21765,1.28273e-25,1.81221e-26,2.12095e-26,2.87566e-26,2.3137e-26
21,1.22713,1.17516e-25,1.95995e-26,2.22391e-26,2.87308e-26,2.33017e-26
22,1.23514,1.16011e-25,2.04397e-26,2.41439e-26,3.01177e-26,2.54726e-26
23,1.24159,1.11909e-25,2.08973e-26,2.57072e-26,3.23151e-26,2.64356e-26
24,1.24636,1.09043e-25,2.05802e-26,2.56507e-26,3.3461e-26,2.84421e-26
25,1.24938,1.08088e-25,2.037e-26,2.68348e-26,3.19223e-26,2.98977e-26
26,1.2506,1.0909e-25,2.07954e-26,2.70433e-26,3.00093e-26,3.1405e-26
27,1.24999,1.11863e-25,1.89361e-26,2.50307e-26,2.95657e-26,3.34297e-26
28,1.24755,1.08116e-25,1.91022e-26,2.48032e-26,2.88626e-26,3.44418e-26
29,1.24329,1.09452e-25,1.81665e-26,2.29786e-26,2.83406e-26,3.61622e-26
30,1.23726,1.13812e-25,1.70335e-26,2.39261e-26,2.50004e-26,3.56252e-26
31,1.22953,1.14165e-25,1.76077e-26,2.39473e-26,2.47428e-26,3.5647e-26
32,1.22017,1.18622e-25,1.61086e-26,2.28922e-26,2.26073e-26,3.33384e-26
33,1.2093,1.21493e-25,1.36787e-26,2.33618e-26,2.47074e-26,3.44554e-26
