t,T+R,N_0,N_1,N_2,N_3,N_4
0,0.999992,3.29558e-26,1.57068e-31,1.29234e-31,1.16449e-31,1.49747e-31
1,0.999083,3.3264e-26,1.90071e-29,1.52217e-29,1.35431e-29,1.78529e-29
2,0.996669,3.30363e-26,7.02304e-29,5.24637e-29,4.75082e-29,6.27063e-29
3,0.992783,3.25038e-26,1.52334e-28,1.1093e-28,9.8667e-29,1.34846e-28
4,0.987479,3.24598e-26,2.64716e-28,1.85593e-28,1.60095e-28,2.34473e-28
5,0.980828,3.17073e-26,4.00024e-28,2.83087e-28,2.36835e-28,3.61935e-28
6,0.972921,3.17858e-26,5.54093e-28,3.93526e-28,3.03577e-28,4.94018e-28
7,0.963865,3.13819e-26,7.1713e-28,5.23562e-28,3.76796e-28,6.50384e-28
8,0.953783,3.13967e-26,8.79861e-28,6.50829e-28,4.64136e-28,8.19805e-28
9,0.942812,3.10897e-26,1.10977e-27,8.11776e-28,5.46357e-28,1.01179e-27
10,0.931102,3.06607e-26,1.286e-27,9.71898e-28,6.3998e-28,1.25433e-27
11,0.918811,2.97313e-26,1.45172e-27,1.13112e-27,7.46429e-28,1.45633e-27
12,0.906107,2.94087e-26,1.58241e-27,1.43245e-27,8.66034e-28,1.62263e-27
13,0.893163,2.99159e-26,1.79371e-27,1.51436e-27,9.83454e-28,1.8169e-27
14,0.880154,2.62802e-26,1.90919e-27,1.78286e-27,1.1338e-27,2.14989e-27
15,0.867258,2.57027e-26,2.07688e-27,1.84405e-27,1.36652e-27,2.42833e-27
16,0.85465,2.48177e-26,2.18273e-27,1.99052e-27,1.52749e-27,2.77882e-27
17,0.842503,2.38895e-26,2.18343e-27,2.23081e-27,1.69452e-27,2.97456e-27
18,0.830982,2.47241e-26,2.31633e-27,2.41283e-27,2.04615e-27,3.27019e-27
19,0.820244,2.23979e-26,2.40679e-27,2.5589e-27,2.39058e-27,3.59097e-27
20,0.810437,2.08828e-26,2.70772e-27,2.56445e-27,2.56294e-27,4.00869e-27
21,0.801695,2.01408e-26,2.65926e-27,2.72522e-27,2.79982e-27,4.15354e-27
22,0.794138,1.951e-26,2.7166e-27,2.90719e-27,3.10873e-27,4.36105e-27
23,0.787871,1.86839e-26,2.65709e-27,2.90865e-27,3.3309e-27,4.81317e-27
24,0.782981,1.79835e-26,2.66295e-27,2.93265e-27,3.69485e-27,4.7982e-27
25,0.779536,1.62328e-26,2.73389e-27,2.85951e-27,3.78701e-27,5.04592e-27
26,0.777587,1.52484e-26,2.70389e-27,2.89487e-27,3.9438e-27,5.3848e-27
27,0.777162,1.72476e-26,2.56077e-27,3.17072e-27,3.93094e-27,5.12925e-27
28,0.778271,1.7072e-26,2.70791e-27,3.02253e-27,4.17527e-27,5.02674e-27
29,0.780903,1.74541e-26,2.38295e-27,2.84434e-27,4.12565e-27,5.05288e-27
30,0.785026,1.58114e-26,2.3964e-27,2.7904e-27,4.04285e-27,4.98518e-27
31,0.790588,1.58651e-26,2.48565e-27,2.60115e-27,4.29049e-27,4.63236e-27
32,0.797521,1.73158e-26,2.06626e-27,2.8718e-27,3.95691e-27,4.72795e-27
33,0.805735,1.79604e-26,2.02394e-27,2.70598e-27,4.34814e-27,4.51967e-27
34,0.815125,1.62632e-26,2.09696e-27,2.75003e-27,4.02656e-27,3.99542e-27
35,0.825571,1.70695e-26,1.58867e-27,2.46889e-27,4.05594e-27,4.01266e-27
36,0.836939,1.79532e-26,1.66766e-27,2.29188e-27,3.73456e-27,3.853e-27
37,0.849082,1.88525e-26,1.32039e-27,2.47352e-27,3.4926e-27,3.64969e-27
38,0.861845,2.23331e-26,1.27878e-27,2.17824e-27,3.54473e-27,3.26754e-27
39,0.875064,2.16509e-26,1.1459e-27,1.93104e-27,3.12879e-27,3.09333e-27
40,0.88857,2.23036e-26,8.01656e-28,1.78353e-27,2.69891e-27,2.89632e-27
41,0.902191,2.47066e-26,8.71585e-28,1.54208e-27,2.58082e-27,2.42618e-27
42,0.915754,2.70393e-26,6.05258e-28,1.43859e-27,2.28736e-27,2.68361e-27
43,0.929088,2.88608e-26,4.44391e-28,1.25309e-27,1.89199e-27,2.12577e-27
44,0.942026,2.59358e-26,3.75391e-28,1.14087e-27,1.80314e-27,1.98686e-27
45,0.954405,2.51015e-26,2.46055e-28,9.65129e-28,1.37367e-27,1.97355e-27
46,0.966074,2.769e-26,2.50435e-28,7.67208e-28,1.18454e-27,1.73852e-27
47,0.976891,2.76878e-26,2.31628e-28,6.58264e-28,9.16687e-28,1.46155e-27
48,0.986725,2.85588e-26,1.88659e-28,5.36202e-28,7.3058e-28,1.27042e-27
49,0.99546,2.76233e-26,2.2736e-28,3.86079e-28,6.12789e-28,1.1541e-27
50,1.003,2.70728e-26,2.61117e-28,2.46931e-28,4.28915e-28,1.12969e-27
51,1.00925,3.08175e-26,3.51733e-28,8.81491e-29,2.95862e-28,7.03407e-28
52,1.01417,3.01695e-26,4.73961e-28,4.21016e-29,2.37839e-28,7.29312e-28
53,1.01769,2.94574e-26,6.15554e-28,3.32933e-29,1.34554e-28,5.27754e-28
54,1.01979,2.73824e-26,8.52196e-28,4.91019e-29,7.68018e-29,4.28402e-28
55,1.02047,2.89129e-26,1.00129e-27,1.21442e-28,6.99579e-29,3.5538e-28
56,1.01974,3.21427e-26,1.39067e-27,2.05472e-28,6.73163e-29,2.50207e-28
57,1.01763,2.99111e-26,1.76201e-27,2.40125e-28,6.08514e-29,1.83422e-28
58,1.0142,3.23416e-26,2.15404e-27,5.92982e-28,1.65789e-28,1.64954e-28
59,1.00952,2.90312e-26,2.46242e-27,8.09852e-28,1.91986e-28,8.09152e-29
60,1.00367,2.91546e-26,2.9502e-27,9.79517e-28,3.11211e-28,1.17454e-28
61,0.996771,2.98366e-26,3.35848e-27,1.42151e-27,4.40322e-28,1.16362e-28
62,0.98893,2.87937e-26,3.85247e-27,1.80143e-27,5.05724e-28,1.5571e-28
63,0.980282,2.48355e-26,4.35396e-27,2.20303e-27,7.08906e-28,2.86518e-28
64,0.970973,2.6945e-26,4.36685e-27,2.47616e-27,7.52034e-28,3.17117e-28
65,0.961154,2.34501e-26,5.04845e-27,3.16414e-27,9.56128e-28,5.52671e-28
66,0.950986,2.25815e-26,5.20208e-27,3.31084e-27,1.2682e-27,7.82033e-28
67,0.940632,2.28317e-26,5.502e-27,3.85014e-27,1.28538e-27,9.45046e-28
68,0.930261,2.08752e-26,5.75957e-27,3.34817e-27,1.37753e-27,1.14485e-27
69,0.920038,2.26089e-26,5.55626e-27,3.85398e-27,1.63557e-27,1.44243e-27
70,0.91013,2.07344e-26,5.93792e-27,4.31031e-27,1.88822e-27,1.57314e-27
71,0.900696,2.02922e-26,6.44723e-27,4.17206e-27,2.07827e-27,1.60308e-27
72,0.89189,2.04831e-26,6.78569e-27,3.99389e-27,2.28598e-27,1.75389e-27
73,0.883856,2.16428e-26,7.18901e-27,3.81085e-27,2.18927e-27,1.81969e-27
74,0.87673,1.77993e-26,7.22166e-27,4.47094e-27,2.36311e-27,1.66416e-27
75,0.870631,1.6892e-26,7.31761e-27,3.88201e-27,2.81102e-27,1.71053e-27
76,0.865667,1.71633e-26,7.85566e-27,3.85777e-27,2.95486e-27,1.72138e-27
77,0.861929,1.65017e-26,7.74042e-27,3.32603e-27,3.23199e-27,1.78638e-27
78,0.85949,1.62522e-26,7.4137e-27,4.08345e-27,3.1659e-27,1.64581e-27
79,0.858406,1.6403e-26,6.53988e-27,4.7989e-27,3.24292e-27,1.9564e-27
80,0.858715,1.58212e-26,7.02325e-27,4.68148e-27,3.26691e-27,2.00746e-27
81,0.860433,1.67575e-26,7.16139e-27,4.44397e-27,3.25053e-27,1.65916e-27
82,0.863559,1.54734e-26,6.44845e-27,4.4073e-27,3.05054e-27,1.89458e-27
83,0.868072,1.68742e-26,5.97242e-27,5.00867e-27,2.85699e-27,1.81178e-27
84,0.87393,1.80816e-26,5.66642e-27,4.91185e-27,2.55804e-27,2.03886e-27
85,0.881076,1.76218e-26,5.45764e-27,4.56829e-27,2.69614e-27,1.71334e-27
86,0.889432,1.66287e-26,5.64274e-27,4.24816e-27,2.67618e-27,1.97716e-27
87,0.898905,1.8419e-26,5.29405e-27,4.64471e-27,2.47006e-27,2.03462e-27
88,0.909387,1.88325e-26,5.56951e-27,4.47869e-27,2.69486e-27,2.45699e-27
89,0.920756,2.13664e-26,4.89001e-27,4.58061e-27,2.68542e-27,2.56682e-27
90,0.932879,2.1852e-26,5.10577e-27,3.66829e-27,2.57072e-27,2.27557e-27
91,0.94561,1.98857e-26,4.81278e-27,3.60451e-27,2.88222e-27,2.22881e-27
