t,T+R,N_0,N_1,N_2,N_3,N_4
59,1.00754,7.39356e-28,8.37139e-29,2.4733e-29,5.24476e-29,6.13346e-29
60,1.00676,7.86663e-28,9.33076e-29,3.33734e-29,6.79488e-29,6.19869e-29
61,1.00578,7.87469e-28,9.87711e-29,4.25757e-29,7.76755e-29,5.30633e-29
62,1.00462,8.04974e-28,8.98573e-29,4.40347e-29,9.07513e-29,5.30795e-29
63,1.0033,7.67956e-28,1.03436e-28,5.40803e-29,1.0447e-28,4.97833e-29
64,1.00185,7.67416e-28,9.41785e-29,6.01067e-29,1.12816e-28,4.23506e-29
65,1.0003,7.55282e-28,9.65182e-29,6.63469e-29,1.31175e-28,4.26882e-29
66,0.998682,7.70346e-28,1.05582e-28,7.72169e-29,1.50017e-28,3.7849e-29
67,0.997025,7.30072e-28,9.78897e-29,8.58178e-29,1.52556e-28,3.50895e-29
68,0.99536,6.61723e-28,1.03633e-28,8.77256e-29,1.91954e-28,3.13168e-29
69,0.99372,6.39121e-28,9.86846e-29,8.56125e-29,1.92749e-28,3.3231e-29
70,0.992136,6.3647e-28,7.93955e-29,9.68903e-29,2.20664e-28,2.70302e-29
71,0.990637,5.96701e-28,1.05816e-28,9.64012e-29,2.49756e-28,2.61558e-29
72,0.98925,5.7217e-28,8.95702e-29,1.01577e-28,2.72197e-28,2.4535e-29
73,0.988004,5.29722e-28,7.55143e-29,1.05038e-28,2.75106e-28,2.37965e-29
74,0.986921,5.3974e-28,6.87672e-29,1.20732e-28,3.28103e-28,2.34236e-29
75,0.986024,5.61603e-28,8.40252e-29,1.20301e-28,3.17763e-28,2.52425e-29
76,0.985331,5.57403e-28,8.95588e-29,1.31479e-28,3.23604e-28,1.85773e-29
77,0.984858,5.67039e-28,8.27066e-29,1.29803e-28,3.30573e-28,1.93479e-29
78,0.984618,5.48117e-28,7.92441e-29,1.50407e-28,3.41607e-28,2.02668e-29
79,0.984619,6.08425e-28,7.5876e-29,1.40298e-28,3.29159e-28,2.19396e-29
80,0.984868,6.51106e-28,9.24107e-29,1.60632e-28,3.40687e-28,1.73309e-29
81,0.985367,6.8633e-28,9.41554e-29,1.54681e-28,3.16959e-28,1.81401e-29
82,0.986114,6.56698e-28,6.60319e-29,1.61238e-28,2.98879e-28,2.32737e-29
83,0.987105,7.2796e-28,7.14642e-29,1.57521e-28,2.87251e-28,1.97754e-29
84,0.988331,7.86748e-28,5.8917e-29,1.66397e-28,2.58825e-28,2.15485e-29
85,0.989782,8.776e-28,4.43574e-29,1.68471e-28,2.32915e-28,2.31597e-29
86,0.991442,9.55867e-28,4.34931e-29,1.55952e-28,2.38863e-28,2.26159e-29
87,0.993295,9.0818e-28,3.08993e-29,1.59763e-28,2.02615e-28,2.08382e-29
88,0.995322,9.81738e-28,2.61816e-29,1.58504e-28,1.90348e-28,2.25276e-29
89,0.997501,1.04763e-27,2.5496e-29,1.50269e-28,1.49545e-28,2.4833e-29
90,0.999809,1.11757e-27,1.618e-29,1.616e-28,1.2136e-28,2.49164e-29
91,1.00222,1.07621e-27,9.6961e-30,1.51687e-28,1.10668e-28,2.51309e-29
92,1.00471,1.15317e-27,1.21958e-29,1.61612e-28,1.01083e-28,2.99194e-29
93,1.00725,1.19439e-27,4.4397e-30,1.40259e-28,8.14964e-29,2.60043e-29
94,1.00982,1.24328e-27,5.35793e-30,1.33554e-28,6.03634e-29,3.21653e-29
95,1.01238,1.30361e-27,7.51206e-30,1.22827e-28,4.65758e-29,3.44741e-29
96,1.01491,1.32969e-27,1.23849e-30,1.0918e-28,3.41547e-29,3.24024e-29
97,1.01739,1.39052e-27,7.55472e-31,1.00033e-28,2.06108e-29,3.41631e-29
98,1.0198,1.41516e-27,1.60857e-30,9.45003e-29,1.83942e-29,4.09503e-29
99,1.0221,1.52734e-27,1.97672e-30,8.48614e-29,2.75082e-30,4.38728e-29
100,1.02429,1.57664e-27,2.63401e-30,7.40998e-29,1.91028e-30,4.53915e-29
101,1.02633,1.65432e-27,8.31414e-30,6.67192e-29,8.18409e-31,4.79139e-29
102,1.02822,1.69067e-27,2.57977e-30,5.35164e-29,-1.11057e-30,5.24266e-29
103,1.02995,1.66574e-27,6.26057e-30,4.91812e-29,4.45323e-31,5.59678e-29
104,1.03149,1.57196e-27,2.03446e-29,4.84513e-29,4.46474e-31,6.48786e-29
105,1.03285,1.56742e-27,1.5813e-29,3.14474e-29,2.7396e-30,5.58328e-29
106,1.03402,1.50703e-27,1.83881e-29,2.58916e-29,1.54849e-30,6.19049e-29
107,1.035,1.57044e-27,2.04696e-29,2.41735e-29,8.95197e-30,8.22686e-29
108,1.03579,1.52326e-27,3.37848e-29,2.39828e-29,1.08233e-29,8.01026e-29
109,1.03639,1.43018e-27,4.67466e-29,1.40285e-29,2.18077e-29,8.03819e-29
110,1.03682,1.47532e-27,6.74379e-29,1.50564e-29,2.14764e-29,9.08476e-29
111,1.03708,1.47495e-27,4.33085e-29,1.12643e-29,2.36638e-29,9.3826e-29
112,1.03718,1.54808e-27,9.00801e-29,1.6511e-29,3.39775e-29,9.99649e-29
113,1.03714,1.50125e-27,8.28586e-29,1.52139e-29,3.53164e-29,9.60626e-29
114,1.03697,1.31724e-27,1.00637e-28,1.77389e-29,4.55692e-29,8.83995e-29
115,1.0367,1.36424e-27,1.2621e-28,1.63919e-29,5.94678e-29,8.98566e-29
116,1.03635,1.30515e-27,1.19724e-28,2.00942e-29,4.60262e-29,8.90495e-29
117,1.03593,1.18708e-27,1.65939e-28,1.88288e-29,6.76418e-29,6.94234e-29
118,1.03547,1.09893e-27,1.97428e-28,2.16303e-29,6.76323e-29,4.98349e-29
119,1.03499,9.63405e-28,1.98435e-28,1.82105e-29,9.0244e-29,4.43015e-29
