t,T+R,N_0,N_1,N_2,N_3,N_4
0,1,1.07877e-27,5.43725e-33,4.15843e-33,3.81287e-33,2.5933e-33
1,1.00023,1.08266e-27,6.40595e-31,5.19871e-31,4.57542e-31,3.50533e-31
2,1.00084,1.08115e-27,2.25513e-30,1.96929e-30,1.65419e-30,1.39838e-30
3,1.00181,1.08407e-27,4.87471e-30,4.54826e-30,3.5113e-30,3.20976e-30
4,1.00314,1.05299e-27,7.9393e-30,7.98932e-30,6.02044e-30,5.92686e-30
5,1.00481,1.07765e-27,1.152e-29,1.33264e-29,9.06894e-30,9.41156e-30
6,1.00679,1.03186e-27,1.51646e-29,1.87264e-29,1.26197e-29,1.31036e-29
7,1.00906,1.00302e-27,1.93693e-29,2.52753e-29,1.67328e-29,1.82939e-29
8,1.01159,1.00864e-27,2.43774e-29,3.30845e-29,2.20541e-29,2.31503e-29
9,1.01434,9.82054e-28,2.7898e-29,4.34801e-29,2.73468e-29,2.92279e-29
10,1.01727,8.94563e-28,3.40996e-29,5.11442e-29,3.41544e-29,3.23916e-29
11,1.02035,9.02232e-28,3.78815e-29,6.47327e-29,4.04301e-29,3.8273e-29
12,1.02353,8.94496e-28,4.48531e-29,7.27403e-29,4.76571e-29,4.19223e-29
13,1.02677,8.59012e-28,5.20585e-29,8.28936e-29,5.5736e-29,4.63226e-29
14,1.03002,8.28762e-28,5.8833e-29,8.90554e-29,6.40785e-29,4.74689e-29
15,1.03325,7.66596e-28,6.85298e-29,9.88735e-29,7.36924e-29,5.31273e-29
16,1.03639,7.127e-28,7.43401e-29,1.04116e-28,8.047e-29,5.20882e-29
17,1.03942,6.96056e-28,7.75035e-29,1.09432e-28,8.88691e-29,5.64034e-29
18,1.04229,6.72089e-28,8.85665e-29,1.1114e-28,9.75561e-29,6.13565e-29
19,1.04496,6.45388e-28,9.26899e-29,1.12031e-28,1.03273e-28,6.03264e-29
20,1.04739,5.88118e-28,9.09596e-29,1.1767e-28,1.11899e-28,6.5111e-29
21,1.04955,5.45841e-28,9.80095e-29,1.16293e-28,1.16555e-28,7.27064e-29
22,1.0514,5.82531e-28,1.04511e-28,1.16089e-28,1.16892e-28,7.39698e-29
23,1.05293,5.24585e-28,1.06497e-28,1.13004e-28,1.19105e-28,7.43247e-29
24,1.05411,4.85389e-28,1.11925e-28,1.13824e-28,1.24327e-28,8.49705e-29
25,1.05492,4.81651e-28,1.0331e-28,1.18224e-28,1.22806e-28,8.55808e-29
26,1.05534,5.03748e-28,1.00132e-28,1.06534e-28,1.24415e-28,9.82172e-29
27,1.05538,5.06095e-28,9.03335e-29,9.82953e-29,1.20737e-28,1.06536e-28
28,1.05503,5.26141e-28,9.21117e-29,9.53277e-29,1.21132e-28,1.09049e-28
29,1.05429,5.27375e-28,8.94731e-29,9.00034e-29,1.21474e-28,1.02355e-28
30,1.05316,5.3744e-28,9.17212e-29,8.00327e-29,1.21725e-28,1.12165e-28
31,1.05167,5.45292e-28,8.27332e-29,7.7476e-29,1.22873e-28,1.20087e-28
32,1.04982,5.38052e-28,7.87233e-29,7.64809e-29,1.22373e-28,1.14095e-28
33,1.04764,5.98324e-28,7.26013e-29,6.71528e-29,1.20843e-28,1.05585e-28
34,1.04516,5.90763e-28,6.53123e-29,5.23227e-29,1.2156e-28,1.03463e-28
35,1.04241,6.43924e-28,5.10674e-29,4.11645e-29,1.23861e-28,1.21633e-28
36,1.03941,6.67544e-28,3.69503e-29,3.4304e-29,1.23677e-28,1.10709e-28
37,1.03621,7.0065e-28,3.45807e-29,2.564e-29,1.21727e-28,1.05516e-28
38,1.03285,7.61858e-28,2.72132e-29,1.82234e-29,1.18117e-28,1.04198e-28
39,1.02935,7.91383e-28,1.9173e-29,1.39186e-29,1.17299e-28,9.73285e-29
40,1.02578,8.31484e-28,1.46459e-29,7.20709e-30,1.1884e-28,9.25408e-29
41,1.02217,8.48159e-28,1.03771e-29,4.07421e-30,1.06733e-28,9.38907e-29
42,1.01856,8.84977e-28,6.28447e-30,2.01647e-30,1.07897e-28,8.6509e-29
43,1.01499,9.07138e-28,3.71733e-30,-5.53868e-32,9.98904e-29,8.64902e-29
