t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
83,0.0844593,3.24685,0.915541,35.196,4.3841,168.537
84,0.0912491,3.54987,0.908751,35.3532,4.52986,176.226
85,0.0988042,3.88926,0.901196,35.4741,4.6769,184.098
86,0.107111,4.26554,0.892889,35.5579,4.82508,192.151
87,0.116156,4.67917,0.883844,35.6043,4.97427,200.381
88,0.125923,5.13052,0.874077,35.6129,5.12435,208.783
89,0.136394,5.61988,0.863606,35.5834,5.27517,217.354
90,0.147552,6.14745,0.852448,35.5156,5.4266,226.088
91,0.159376,6.71336,0.840624,35.4093,5.5785,234.982
92,0.171847,7.31765,0.828153,35.2646,5.73074,244.028
93,0.184943,7.96027,0.815057,35.0815,5.88316,253.221
94,0.19864,8.64107,0.80136,34.8601,6.03562,262.556
95,0.212915,9.35984,0.787085,34.6006,6.18798,272.026
96,0.227743,10.1163,0.772257,34.3034,6.34009,281.625
97,0.243097,10.9099,0.756903,33.9689,6.4918,291.344
98,0.258952,11.7403,0.741048,33.5975,6.64297,301.178
99,0.275279,12.6069,0.724721,33.1899,6.79344,311.118
100,0.29205,13.5089,0.70795,32.7466,6.94308,321.156
101,0.309235,14.4457,0.690765,32.2686,7.09173,331.285
102,0.326805,15.4164,0.673195,31.7565,7.23924,341.496
103,0.344729,16.4199,0.655271,31.2115,7.38547,351.781
104,0.362976,17.4554,0.637024,30.6344,7.53028,362.13
105,0.381513,18.5217,0.618487,30.0264,7.67353,372.536
106,0.400308,19.6177,0.599692,29.3887,7.81507,382.988
107,0.419329,20.7419,0.580671,28.7226,7.95477,393.478
108,0.438542,21.8931,0.561458,28.0294,8.09248,403.997
109,0.457914,23.0699,0.542086,27.3105,8.22809,414.534
110,0.477411,24.2707,0.522589,26.5675,8.36145,425.081
111,0.496999,25.494,0.503001,25.8019,8.49245,435.628
112,0.516643,26.738,0.483357,25.0154,8.62096,446.164
113,0.53631,28.0012,0.46369,24.2097,8.74686,456.681
114,0.555964,29.2816,0.444036,23.3866,8.87004,467.169
115,0.575572,30.5775,0.424428,22.5479,8.99038,477.618
116,0.5951,31.887,0.4049,21.6956,9.10779,488.019
117,0.614513,33.208,0.385487,20.8316,9.22216,498.362
118,0.633777,34.5386,0.366223,19.9579,9.3334,508.637
119,0.652859,35.8767,0.347141,19.0765,9.44142,518.836
120,0.671725,37.2202,0.328275,18.1897,9.54613,528.95
121,0.690343,38.5669,0.309657,17.2994,9.64746,538.969
122,0.708679,39.9148,0.291321,16.408,9.74534,548.885
123,0.726703,41.2615,0.273297,15.5176,9.8397,558.689
124,0.744382,42.6049,0.255618,14.6304,9.93048,568.374
125,0.761685,43.9426,0.238315,13.7487,10.0176,577.931
126,0.778583,45.2724,0.221417,12.8748,10.1011,587.352
127,0.795045,46.5921,0.204955,12.011,10.1809,596.631
128,0.811044,47.8992,0.188956,11.1595,10.2569,605.76
129,0.826551,49.1915,0.173449,10.3227,10.3292,614.733
130,0.841538,50.4668,0.158462,9.50289,10.3977,623.544
131,0.855981,51.7226,0.144019,8.70234,10.4624,632.188
132,0.869853,52.9568,0.130147,7.92335,10.5233,640.658
133,0.883131,54.1669,0.116869,7.16819,10.5804,648.95
134,0.89579,55.3509,0.10421,6.43911,10.6338,657.06
135,0.90781,56.5065,0.0921896,5.73833,10.6834,664.985
