t,T+R,N_0,N_1,N_2
102,8.55103,9.36337e-29,1.17209e-28,9.0131e-28
103,8.69367,7.17081e-29,5.40147e-29,1.16852e-27
104,8.83436,7.38046e-29,5.10968e-29,1.32854e-27
105,8.97296,6.70414e-29,5.16031e-29,1.47453e-27
106,9.10931,7.85365e-29,3.13996e-29,7.70723e-28
107,9.24328,8.35644e-29,5.03825e-29,7.13884e-28
108,9.37473,5.10673e-29,1.07507e-29,1.09083e-27
109,9.50351,6.38763e-29,4.08295e-29,1.09324e-27
110,9.62951,4.78196e-29,2.89379e-29,1.22402e-27
111,9.75258,6.41839e-29,3.30517e-29,9.88777e-28
112,9.87262,4.03575e-29,3.07252e-29,1.15088e-27
113,9.98949,2.38853e-29,1.7563e-29,1.37517e-27
114,10.1031,1.91034e-29,3.86469e-29,7.95359e-28
115,10.2133,9.60917e-30,3.28671e-29,1.15607e-27
116,10.3201,1.20969e-29,3.11273e-29,1.27762e-27
117,10.4232,2.25949e-29,1.98561e-29,1.1046e-27
118,10.5227,4.77694e-30,5.61477e-29,9.80588e-28
119,10.6185,6.82866e-30,6.16769e-29,9.68148e-28
120,10.7104,-6.44643e-30,7.88088e-29,1.02384e-27
121,10.7985,1.61282e-29,1.13696e-28,1.10914e-27
122,10.8825,1.28049e-29,1.69322e-28,1.2736e-27
123,10.9626,9.3268e-30,1.32564e-28,7.40582e-28
124,11.0386,1.4684e-29,1.87777e-28,1.22028e-27
125,11.1105,1.83586e-29,1.54551e-28,8.10596e-28
126,11.1783,1.61728e-29,2.58993e-28,1.01388e-27
127,11.2419,4.28494e-29,2.95577e-28,1.01908e-27
128,11.3014,2.23324e-29,3.08703e-28,1.44393e-27
129,11.3566,5.90507e-29,2.57897e-28,1.0277e-27
130,11.4077,7.12596e-29,3.15156e-28,1.36575e-27
131,11.4546,7.64194e-29,3.48794e-28,4.47338e-28
132,11.4973,6.20087e-29,3.90875e-28,8.02633e-28
133,11.5359,9.83605e-29,3.49063e-28,1.15503e-27
134,11.5703,1.00059e-28,2.95086e-28,1.13257e-27
135,11.6007,1.40342e-28,3.20818e-28,7.79439e-28
136,11.6271,1.2532e-28,5.21964e-28,7.20432e-28
137,11.6495,1.17993e-28,4.39141e-28,6.66976e-28
138,11.668,2.09307e-28,4.65546e-28,9.64317e-28
139,11.6826,1.83911e-28,4.5813e-28,9.6737e-28
140,11.6935,2.60837e-28,4.31752e-28,6.75268e-28
141,11.7008,2.18239e-28,4.95769e-28,4.68756e-28
142,11.7044,3.03758e-28,6.07905e-28,3.11512e-28
143,11.7046,3.76522e-28,5.52677e-28,5.38141e-28
144,11.7014,2.79961e-28,5.04395e-28,5.17305e-28
145,11.695,3.04884e-28,4.98409e-28,1.87135e-28
146,11.6854,2.79117e-28,6.89563e-28,7.59749e-28
147,11.6729,2.72074e-28,5.90644e-28,9.61629e-28
148,11.6574,3.26153e-28,6.26027e-28,1.69023e-28
149,11.6393,2.49253e-28,6.57183e-28,7.75958e-28
150,11.6186,1.34762e-28,6.69222e-28,5.22124e-28
151,11.5955,2.69115e-28,7.32671e-28,1.17434e-27
152,11.5702,2.81712e-28,6.77174e-28,9.94608e-28
153,11.5428,1.7829e-28,7.05436e-28,9.26483e-28
154,11.5134,1.71347e-28,7.84768e-28,6.20501e-28
155,11.4824,1.69286e-28,8.69093e-28,1.02759e-27
156,11.4497,2.02317e-28,9.1029e-28,1.33208e-27
157,11.4157,1.81931e-28,9.17379e-28,7.50021e-28
158,11.3805,1.94533e-28,9.57045e-28,1.30108e-27
159,11.3444,2.08541e-28,1.06869e-27,9.36807e-28
160,11.3074,3.56222e-28,1.23835e-27,8.88694e-28
161,11.2698,3.21636e-28,9.9929e-28,1.17788e-27
162,11.2318,3.25991e-28,1.12448e-27,7.22937e-28
163,11.1936,3.43145e-28,1.24073e-27,7.55314e-28
164,11.1554,4.18433e-28,1.2503e-27,1.21493e-27
165,11.1174,5.26432e-28,1.14635e-27,1.21895e-27
166,11.0799,5.31229e-28,1.2353e-27,1.01917e-27
167,11.0429,4.58219e-28,1.37909e-27,9.86721e-28
168,11.0067,5.54948e-28,1.20364e-27,1.28378e-27
169,10.9716,3.86686e-28,1.56894e-27,1.00352e-27
170,10.9376,5.91444e-28,1.22572e-27,1.24888e-27
171,10.9051,5.23547e-28,1.28395e-27,7.9811e-28
172,10.8742,5.79793e-28,1.11102e-27,3.85097e-28
173,10.8451,6.27001e-28,1.32127e-27,1.16634e-27
174,10.818,6.2896e-28,1.28395e-27,8.40585e-28
175,10.7931,5.85911e-28,1.00991e-27,1.37083e-27
176,10.7706,5.56848e-28,1.0248e-27,1.92779e-27
177,10.7507,5.72043e-28,8.06755e-28,1.66906e-27
178,10.7335,5.49979e-28,9.39031e-28,1.57722e-27
179,10.7192,5.71939e-28,9.08506e-28,2.07302e-27
180,10.708,5.86357e-28,7.79495e-28,3.2503e-27
181,10.7001,5.85702e-28,5.61436e-28,2.74848e-27
182,10.6956,5.74913e-28,4.9671e-28,3.16158e-27
183,10.6946,5.77459e-28,6.19857e-28,3.11869e-27
184,10.6974,5.13535e-28,6.00297e-28,3.88908e-27
185,10.704,5.64903e-28,6.6615e-28,5.60685e-27
186,10.7145,6.07254e-28,3.82024e-28,4.79978e-27
187,10.7292,5.2391e-28,4.2799e-28,5.77633e-27
188,10.7481,4.87129e-28,7.05118e-28,5.92715e-27
189,10.7714,6.32451e-28,5.18234e-28,6.11163e-27
190,10.799,6.54542e-28,5.52407e-28,6.46396e-27
191,10.8312,6.00559e-28,4.69761e-28,7.40571e-27
192,10.868,5.79736e-28,5.14357e-28,8.72798e-27
193,10.9095,7.20857e-28,7.31367e-28,1.03824e-26
194,10.9557,8.09987e-28,7.04749e-28,8.76356e-27
195,11.0067,8.14355e-28,4.68992e-28,9.56174e-27
196,11.0626,7.65773e-28,6.87765e-28,9.66965e-27
197,11.1233,9.44075e-28,7.75648e-28,1.23298e-26
198,11.189,8.51141e-28,5.26968e-28,1.21278e-26
199,11.2596,8.9328e-28,5.87823e-28,1.20589e-26
200,11.3351,9.72648e-28,6.53649e-28,1.27671e-26
201,11.4155,9.27263e-28,6.87379e-28,1.41004e-26
202,11.5009,9.27533e-28,6.1833e-28,1.36776e-26
203,11.5911,8.15606e-28,5.95259e-28,1.6137e-26
204,11.6863,9.50232e-28,4.56564e-28,1.23286e-26
205,11.7862,9.55444e-28,5.01456e-28,1.71855e-26
206,11.8909,8.01335e-28,4.47272e-28,1.91769e-26
207,12.0003,8.55014e-28,4.40276e-28,2.09058e-26
208,12.1143,9.04936e-28,2.40165e-28,2.07185e-26
209,12.2329,8.63149e-28,3.37111e-28,1.73361e-26
210,12.3559,1.01499e-27,2.01426e-28,2.02089e-26
211,12.4832,9.643e-28,2.30341e-28,2.34177e-26
212,12.6148,8.3948e-28,1.56906e-28,2.53494e-26
213,12.7505,9.51937e-28,1.78571e-29,2.40213e-26
214,12.8902,8.8172e-28,1.40479e-28,2.45385e-26
215,13.0337,1.00002e-27,1.70803e-28,2.15191e-26
216,13.1809,8.80505e-28,1.11042e-28,2.88777e-26
217,13.3316,9.29971e-28,6.88037e-29,2.81195e-26
218,13.4857,1.01996e-27,1.70352e-28,2.82472e-26
219,13.643,1.06486e-27,1.22639e-28,2.93321e-26
220,13.8033,1.00351e-27,1.14124e-28,3.49047e-26
221,13.9664,1.005e-27,1.42837e-28,3.18742e-26
222,14.1322,1.01665e-27,1.10853e-28,3.36375e-26
223,14.3003,1.17212e-27,1.33886e-28,3.19452e-26
224,14.4707,1.09273e-27,-3.29566e-29,3.83587e-26
225,14.6431,1.07752e-27,7.3903e-29,3.74685e-26
226,14.8172,1.26447e-27,8.30058e-29,3.95333e-26
227,14.9929,1.12894e-27,-3.3429e-30,3.35101e-26
228,15.17,1.09506e-27,3.67548e-30,4.0477e-26
229,15.3481,1.27286e-27,-7.39479e-30,3.80027e-26
230,15.527,1.14621e-27,-5.54116e-29,3.52531e-26
231,15.7066,1.27791e-27,-9.39677e-29,4.07046e-26
232,15.8865,1.15087e-27,-3.51639e-29,4.18929e-26
233,16.0666,1.15492e-27,-5.42558e-29,3.97944e-26
234,16.2465,1.21842e-27,-1.51364e-29,3.82447e-26
235,16.426,1.12048e-27,-3.89791e-29,4.04661e-26
236,16.6048,1.16378e-27,2.34857e-30,4.0178e-26
237,16.7828,1.17255e-27,-3.44704e-30,3.62732e-26
238,16.9596,1.15131e-27,-2.62372e-29,4.2581e-26
239,17.135,1.06254e-27,3.37931e-30,4.16038e-26
240,17.3088,1.04518e-27,7.56474e-30,3.7957e-26
241,17.4806,1.12984e-27,-2.01796e-29,3.42681e-26
242,17.6503,9.54052e-28,1.50734e-29,3.34777e-26
243,17.8175,1.01854e-27,4.82888e-29,4.23999e-26
244,17.9821,1.05892e-27,7.0747e-29,3.60009e-26
245,18.1438,9.22079e-28,-1.26259e-29,4.15818e-26
246,18.3024,8.39054e-28,1.93014e-29,3.80526e-26
247,18.4576,8.69653e-28,5.48937e-29,3.38369e-26
248,18.6091,9.86042e-28,3.04072e-29,4.16765e-26
249,18.7569,1.1701e-27,2.72392e-29,3.71179e-26
250,18.9005,8.99183e-28,7.45856e-29,3.42593e-26
251,19.0399,8.64805e-28,9.10511e-29,3.47904e-26
252,19.1748,9.51799e-28,4.17346e-29,3.58251e-26
253,19.3051,9.47022e-28,4.53938e-29,2.94354e-26
254,19.4304,1.07594e-27,2.82785e-29,2.5584e-26
255,19.5506,1.07107e-27,4.19925e-30,2.31031e-26
256,19.6656,1.11876e-27,-1.02347e-29,2.13574e-26
257,19.7752,1.06905e-27,-1.0358e-29,1.83797e-26
258,19.8791,1.00589e-27,-7.89115e-31,2.00094e-26
259,19.9773,1.06847e-27,-2.75858e-29,1.99255e-26
260,20.0696,1.03893e-27,9.4656e-30,1.36462e-26
261,20.1558,1.07342e-27,5.52493e-29,1.62484e-26
262,20.2358,9.49722e-28,-2.00931e-29,1.66845e-26
263,20.3096,1.24485e-27,5.379e-29,1.16925e-26
264,20.3769,1.07272e-27,6.24145e-29,1.96413e-26
265,20.4376,1.02124e-27,7.7911e-29,1.37685e-26
266,20.4918,1.2378e-27,-8.40143e-30,1.34145e-26
267,20.5392,1.22973e-27,6.60422e-29,1.37702e-26
268,20.5799,1.29662e-27,1.32931e-28,1.08091e-26
269,20.6138,1.27024e-27,8.34612e-29,1.77265e-26
270,20.6407,1.52178e-27,4.44321e-29,1.63623e-26
271,20.6607,1.40909e-27,6.9515e-29,1.61142e-26
272,20.6738,1.45841e-27,7.45831e-29,2.30522e-26
273,20.6799,1.58481e-27,3.3029e-29,2.30586e-26
274,20.6789,1.72709e-27,4.74638e-29,2.51097e-26
275,20.671,1.64533e-27,2.06364e-29,2.89768e-26
276,20.6561,1.6317e-27,2.88456e-29,2.55507e-26
277,20.6343,1.74366e-27,3.16025e-29,2.78178e-26
278,20.6055,1.57495e-27,2.42136e-29,2.92592e-26
279,20.5698,1.60804e-27,9.73479e-30,3.2308e-26
280,20.5273,1.71313e-27,2.56284e-29,4.15159e-26
281,20.478,1.48214e-27,5.12138e-29,2.94568e-26
282,20.422,1.77058e-27,3.79648e-29,3.10301e-26
283,20.3594,1.46071e-27,4.3985e-29,3.73769e-26
284,20.2902,1.89704e-27,1.77306e-29,2.76544e-26
285,20.2146,1.64918e-27,1.20702e-29,3.87823e-26
286,20.1327,1.60665e-27,-1.66795e-29,3.37145e-26
287,20.0446,1.61832e-27,-3.12974e-29,4.04925e-26
288,19.9504,1.82563e-27,-3.70411e-29,3.48441e-26
289,19.8503,1.65304e-27,-5.66751e-29,4.04517e-26
290,19.7443,1.67277e-27,-8.36332e-29,3.44454e-26
291,19.6327,1.97372e-27,-1.28878e-28,4.47923e-26
292,19.5156,1.87842e-27,-1.20669e-28,3.95132e-26
293,19.3931,2.09813e-27,-1.89677e-28,4.35977e-26
294,19.2655,2.04968e-27,-1.81153e-28,4.54492e-26
