E,T,R0,R1,R,N_R0,N_R1,E/V0
1842.13,9.77783,6.33657,-0.0487235,6.28784,0.394417,-0.00303277,18.4213
1842.25,1.50232,20.724,-0.450985,20.273,0.951719,-0.0207109,18.4225
1842.38,1.49041,3.69814,1.2476,4.94574,0.574589,0.193842,18.4238
1842.5,6.20765,6.03447,-0.127847,5.90663,0.498129,-0.0105534,18.425
1842.62,0.201408,0.368191,0.734205,1.1024,0.282397,0.563125,18.4262
1842.75,7.32667,5.42663,0.0150422,5.44168,0.425007,0.00117809,18.4275
1842.87,5.56485,4.94425,0.214825,5.15908,0.461049,0.0200323,18.4287
1842.99,3.73238,14.6411,1.00324,15.6443,0.755602,0.0517757,18.4299
1843.12,22.5017,0.0338161,0.303496,0.337312,0.00148063,0.0132885,18.4312
1843.24,0.800883,8.8898,-0.0389945,8.85081,0.921062,-0.00404017,18.4324
1843.36,5.79914,3.46343,0.398499,3.86193,0.358493,0.0412479,18.4336
1843.49,7.41457,2.38664,0.168289,2.55493,0.239394,0.0168804,18.4349
1843.61,2.2737,8.25525,1.67152,9.92676,0.676634,0.137004,18.4361
1843.73,5.99074,0.277734,-0.412533,-0.1348,0.0474277,-0.0704469,18.4373
1843.86,11.0378,6.95775,0.465129,7.42288,0.376896,0.0251957,18.4386
1843.98,3.63295,6.45049,1.57008,8.02057,0.553523,0.13473,18.4398
1844.1,8.85454,6.09433,-0.267433,5.8269,0.415105,-0.0182157,18.441
1844.23,4.33132,3.29622,0.874582,4.1708,0.387693,0.102866,18.4423
1844.35,7.97974,0.0159624,1.08447,1.10043,0.00175794,0.119433,18.4435
1844.47,3.33522,11.6663,3.09431,14.7606,0.644695,0.170996,18.4447
1844.6,2.74517,6.88542,-1.62965,5.25577,0.860576,-0.203682,18.446
1844.72,3.45535,8.1004,2.20829,10.3087,0.588519,0.160439,18.4472
1844.84,22.4,4.65067,-0.634562,4.01611,0.176054,-0.0240217,18.4484
1844.97,7.11241,3.33057,0.719676,4.05024,0.298367,0.0644717,18.4497
1845.09,5.06233,2.46552,2.1259,4.59142,0.255395,0.220215,18.4509
1845.21,2.54949,3.09149,-0.304496,2.787,0.579312,-0.0570593,18.4521
1845.34,3.75118,7.59772,-0.0617562,7.53596,0.67313,-0.00547138,18.4534
1845.46,1.04005,5.40926,-0.113848,5.29541,0.853806,-0.01797,18.4546
1845.58,3.29706,15.3349,1.48946,16.8244,0.762118,0.0740236,18.4558
1845.71,1.45783,0.510343,1.9176,2.42795,0.131336,0.493492,18.4571
1845.83,1.72603,0.00575173,-0.0671899,-0.0614381,0.00345534,-0.0403642,18.4583
1845.95,0.499977,11.7373,3.25032,14.9876,0.757851,0.209867,18.4595
1846.08,8.02192,4.01702,-1.45244,2.56458,0.379447,-0.137198,18.4608
1846.2,10.6867,5.82467,0.859328,6.684,0.335316,0.0494699,18.462
1846.32,0.445044,1.34147,0.19508,1.53655,0.676965,0.0984461,18.4632
1846.45,2.27359,1.94438,-0.122379,1.822,0.47475,-0.0298806,18.4645
1846.57,16.8559,3.83901,0.515192,4.35421,0.180999,0.0242899,18.4657
1846.69,2.61273,1.15652,-0.223237,0.933282,0.326147,-0.0629543,18.4669
1846.82,6.72672,2.12309,0.346814,2.4699,0.230855,0.037711,18.4682
1846.94,3.65869,2.59287,1.03706,3.62993,0.355742,0.142285,18.4694
1847.06,4.67634,13.659,3.67495,17.3339,0.620573,0.166965,18.4706
1847.19,0.952932,0.148989,-1.83329,-1.6843,-0.203714,2.50666,18.4719
1847.31,9.51066,2.08709,1.19758,3.28468,0.163114,0.0935953,18.4731
1847.43,11.447,4.60336,1.63662,6.23998,0.260268,0.0925325,18.4743
1847.56,2.90598,5.8082,-0.179339,5.62886,0.680528,-0.0210126,18.4756
1847.68,6.28694,6.85242,0.975813,7.82823,0.485465,0.0691322,18.4768
1847.8,1.52028,1.40681,1.75548,3.16229,0.300435,0.374897,18.478
1847.93,3.44193,1.31943,-0.0343569,1.28508,0.279127,-0.00726821,18.4793
1848.05,3.56192,0.913883,0.738215,1.6521,0.175274,0.141583,18.4805
1848.18,2.29635,7.09774,-0.255167,6.84257,0.776649,-0.0279209,18.4818
1848.3,7.79354,1.21381,0.0662091,1.28002,0.133774,0.00729693,18.483
1848.42,2.75833,6.50006,2.70985,9.20991,0.543109,0.22642,18.4842
1848.55,5.45271,3.39874,2.88106,6.2798,0.289686,0.245562,18.4855
1848.67,0.394192,4.27264,-1.64591,2.62674,1.41435,-0.544835,18.4867
1848.79,1.24411,1.73936,-0.0305096,1.70885,0.589023,-0.0103319,18.4879
1848.92,4.6365,4.0168,1.69083,5.70763,0.388317,0.163458,18.4892
1849.04,1.18522,3.66961,1.50134,5.17094,0.57733,0.236202,18.4904
1849.16,0.960915,1.03912,-0.759335,0.279786,0.837528,-0.612021,18.4916
1849.29,2.00833,0.42172,3.4709,3.89262,0.0714665,0.588194,18.4929
1849.41,3.48413,0.772384,-1.37337,-0.60099,0.267897,-0.476347,18.4941
1849.53,11.5856,1.27999,0.287198,1.56719,0.0973171,0.0218355,18.4953
1849.66,2.52223,2.26426,0.0225985,2.28686,0.47083,0.00469911,18.4966
1849.78,2.99569,5.54273,-0.0386422,5.50409,0.652103,-0.00454627,18.4978
1849.9,2.30852,12.0992,3.76088,15.86,0.665939,0.206999,18.499
1850.03,5.33419,2.38305,-0.980106,1.40294,0.353719,-0.145478,18.5003
1850.15,4.38474,3.48249,2.91249,6.39499,0.32306,0.270182,18.5015
1850.27,2.32094,2.10664,-0.295611,1.81103,0.509839,-0.0715423,18.5027
1850.4,2.89846,0.52471,0.369822,0.894532,0.138337,0.0975016,18.504
1850.52,3.90959,4.37734,-0.12739,4.24995,0.536469,-0.0156125,18.5052
1850.65,5.78861,1.19798,-0.0563283,1.14165,0.172862,-0.00812788,18.5065
1850.77,5.36523,6.15434,0.246971,6.40132,0.523038,0.0209892,18.5077
1850.89,1.9077,1.17467,0.633394,1.80806,0.316131,0.170462,18.5089
1851.02,2.48223,3.0274,-0.0179191,3.00948,0.551268,-0.00326294,18.5102
1851.14,1.83347,0.34894,0.0883108,0.437251,0.153669,0.038891,18.5114
