E,T,R0,R1,R2,R,N_R0,N_R1,N_R2,E/V0
1248.65,11.3933,7.96656,0.199213,0.22204,8.38781,0.402736,0.0100709,0.0112249,12.4865
1248.75,7.35607,3.69982,0.891756,0.430765,5.02234,0.298893,0.0720412,0.0347997,12.4875
1248.85,5.64547,11.1314,5.98462,-0.192133,16.9239,0.493209,0.265166,-0.00851302,12.4885
1248.95,16.1678,22.1536,-0.774825,0.179677,21.5584,0.587219,-0.0205381,0.00476264,12.4895
1249.06,1.9085,27.8475,1.04171,0.182326,29.0716,0.898885,0.0336252,0.00588526,12.4906
1249.16,2.7659,16.6427,1.71286,0.0229789,18.3785,0.787095,0.0810077,0.00108676,12.4916
1249.26,8.21159,9.59194,0.0329104,0.584807,10.2097,0.5207,0.00178654,0.0317463,12.4926
1249.36,23.3314,44.6711,0.509902,0.907062,46.088,0.643495,0.00734522,0.0130664,12.4936
1249.46,4.92146,10.2134,0.132889,1.50864,11.8549,0.608796,0.0079212,0.0899263,12.4946
1249.56,13.5344,8.58049,4.72736,-0.426747,12.8811,0.324828,0.178961,-0.0161552,12.4956
1249.67,10.4783,26.8183,-0.987325,0.0961095,25.9271,0.736657,-0.0271203,0.00263998,12.4967
1249.77,13.4569,24.6426,2.11811,0.894882,27.6556,0.599394,0.0515198,0.0217666,12.4977
1249.87,11.1908,7.02796,0.199838,0.602096,7.82989,0.36949,0.0105064,0.0316548,12.4987
1249.97,2.07087,63.4887,0.70507,0.214034,64.4078,0.955024,0.010606,0.00321959,12.4997
1250.07,2.79381,5.17504,0.937877,1.02586,7.13878,0.521017,0.0944242,0.103283,12.5007
1250.17,3.80052,3.7494,0.178329,0.219746,4.14748,0.471742,0.022437,0.027648,12.5017
1250.27,7.61461,10.3678,0.393543,1.19795,11.9593,0.529674,0.0201055,0.0612013,12.5027
1250.38,13.371,17.1851,1.16025,-0.218285,18.127,0.545592,0.0368354,-0.0069301,12.5038
1250.48,9.09321,2.35672,-0.163881,0.128024,2.32087,0.206475,-0.0143578,0.0112163,12.5048
1250.58,8.47116,30.0673,1.63434,0.0353132,31.7369,0.747792,0.0406471,0.000878261,12.5058
1250.68,1.87234,36.4485,1.54594,0.566126,38.5606,0.901456,0.0382348,0.0140016,12.5068
1250.78,0.755022,32.035,0.078026,-0.189325,31.9237,0.980301,0.00238767,-0.00579351,12.5078
1250.88,7.84474,13.8367,0.571654,0.309609,14.718,0.613256,0.0253362,0.0137221,12.5088
1250.99,5.42216,55.4949,6.07953,0.856798,62.4312,0.817865,0.0895981,0.0126272,12.5099
1251.09,1.6917,16.1728,-1.11162,-0.0370017,15.0242,0.967511,-0.0665009,-0.00221357,12.5109
1251.19,2.47024,8.62796,1.94093,2.00763,12.5765,0.57341,0.128993,0.133426,12.5119
1251.29,46.8791,19.77,0.244214,-0.68486,19.3294,0.298603,0.00368857,-0.010344,12.5129
1251.39,5.79179,20.5199,0.502997,0.255347,21.2783,0.75803,0.0185813,0.00943281,12.5139
1251.49,10.5723,4.75713,0.0457453,0.23672,5.0396,0.304711,0.00293016,0.0151628,12.5149
1251.6,3.03894,27.8367,1.80136,0.266837,29.9049,0.844974,0.0546797,0.00809977,12.516
1251.7,14.0806,10.9712,-0.437157,0.307022,10.841,0.440227,-0.0175413,0.0123195,12.517
1251.8,2.64913,54.6281,2.37508,2.16765,59.1708,0.883664,0.0384194,0.0350639,12.518
1251.9,4.08964,6.22929,-0.365907,1.73844,7.60182,0.532807,-0.0312969,0.148693,12.519
1252,10.7719,32.7146,2.9386,-0.498351,35.1548,0.712321,0.0639845,-0.010851,12.52
1252.1,3.35355,20.2188,1.31868,1.41314,22.9506,0.768654,0.050132,0.0537229,12.521
1252.2,33.4349,15.9057,4.85759,0.699266,21.4625,0.289735,0.0884848,0.0127377,12.522
1252.31,13.3384,16.3691,1.64396,1.40702,19.4201,0.49969,0.0501842,0.0429514,12.5231
1252.41,3.1196,52.9563,0.994184,-0.54549,53.405,0.936872,0.0175885,-0.00965049,12.5241
1252.51,8.7836,12.1105,0.498877,0.0846232,12.694,0.563867,0.0232278,0.00394006,12.5251
1252.61,4.40532,7.32138,1.06654,0.36806,8.75598,0.556281,0.0810361,0.0279653,12.5261
1252.71,10.065,67.0621,0.104972,0.339314,67.5064,0.864521,0.00135323,0.00437421,12.5271
1252.81,7.71116,3.18871,0.157972,0.198181,3.54486,0.283289,0.0140345,0.0176067,12.5281
1252.92,0.858034,25.2938,0.357019,0.10705,25.7579,0.950327,0.0134138,0.00402204,12.5292
1253.02,4.32808,18.0836,4.78396,0.0190601,22.8866,0.664479,0.175786,0.00070036,12.5302
1253.12,2.18057,9.59789,3.41628,0.626579,13.6407,0.606643,0.215929,0.0396035,12.5312
1253.22,11.2491,15.1119,4.45878,0.508762,20.0794,0.482368,0.142324,0.0162396,12.5322
1253.32,3.56075,8.92766,-1.23711,0.42532,8.11587,0.764576,-0.105947,0.036425,12.5332
1253.42,3.021,7.87158,1.426,-0.276251,9.02133,0.653659,0.118416,-0.02294,12.5342
1253.53,21.489,14.0646,0.0619116,0.244262,14.3708,0.392211,0.00172649,0.00681157,12.5353
1253.63,5.89336,36.1572,0.931286,0.200532,37.289,0.837314,0.0215663,0.00464383,12.5363
1253.73,0.980287,12.6727,4.08966,3.69271,20.4551,0.591206,0.19079,0.172272,12.5373
1253.83,3.30867,31.5567,2.52981,-0.761818,33.3247,0.86142,0.0690575,-0.0207957,12.5383
1253.93,10.2823,17.2003,0.0138539,0.426264,17.6404,0.615997,0.000496151,0.0152659,12.5393
1254.03,7.61691,6.82202,0.906711,1.66496,9.39369,0.401045,0.0533027,0.0978779,12.5403
1254.14,28.6411,29.6389,0.57783,-0.286059,29.9307,0.506027,0.00986533,-0.0048839,12.5414
1254.24,19.2258,10.4533,0.792344,0.502528,11.7482,0.337487,0.0255809,0.0162242,12.5424
1254.34,2.88518,32.158,0.389512,-0.105835,32.4417,0.910299,0.0110259,-0.00299589,12.5434
1254.44,10.0057,62.6721,0.830236,0.668644,64.171,0.844903,0.0111927,0.0090142,12.5444
1254.54,5.99226,34.5846,0.440797,0.950088,35.9755,0.824076,0.0105032,0.0226385,12.5454
1254.65,3.39303,0.741435,1.09967,-0.238329,1.60278,0.148411,0.220119,-0.0477057,12.5465
1254.75,4.72673,17.225,0.488678,0.00841381,17.7221,0.767301,0.0217685,0.000374799,12.5475
1254.85,3.59135,0.409299,3.05206,0.0695804,3.53094,0.0574673,0.428522,0.00976939,12.5485
1254.95,1.10015,62.3009,-0.433016,0.54233,62.4103,0.980956,-0.00681803,0.00853924,12.5495
1255.05,23.8394,15.4165,5.31482,0.227823,20.9592,0.34413,0.118638,0.00508549,12.5505
1255.15,2.57744,5.55521,1.37077,-0.0438369,6.88214,0.587257,0.144908,-0.00463412,12.5515
1255.26,15.2401,16.8515,0.874664,1.40361,19.1297,0.490297,0.0254486,0.0408383,12.5526
1255.36,15.4439,7.07177,6.88595,0.975163,14.9329,0.232802,0.226685,0.0321022,12.5536
1255.46,10.479,143.446,1.50417,0.155669,145.106,0.921979,0.00966784,0.00100054,12.5546
1255.56,1.31084,2.1697,1.22373,0.696918,4.09035,0.401707,0.226568,0.12903,12.5556
1255.66,6.62088,11.6227,-0.298518,-0.391399,10.9328,0.662124,-0.017006,-0.0222973,12.5566
1255.76,1.66174,39.564,0.4857,1.00253,41.0522,0.926254,0.011371,0.0234708,12.5576
1255.87,5.11436,19.8533,0.440736,0.240736,20.5348,0.774034,0.0171832,0.00938573,12.5587
1255.97,7.59798,27.8925,1.00068,1.25355,30.1468,0.738978,0.0265118,0.0332113,12.5597
1256.07,12.9957,29.3203,0.832919,1.19281,31.3461,0.661235,0.0187841,0.0269004,12.5607
1256.17,5.5426,9.68773,-0.211077,0.596669,10.0733,0.620375,-0.0135168,0.038209,12.5617
1256.27,1.27477,5.43914,2.504,-0.453298,7.48985,0.620579,0.285694,-0.0517191,12.5627
1256.38,17.3294,15.0575,2.91796,2.2443,20.2197,0.401007,0.0777105,0.0597697,12.5638
1256.48,10.686,8.88927,0.0906891,-0.838591,8.14137,0.472146,0.00481687,-0.044541,12.5648
1256.58,5.0267,15.6455,1.01034,1.22575,17.8816,0.682962,0.0441035,0.053507,12.5658
1256.68,2.18545,4.18565,1.00115,0.232217,5.41902,0.55042,0.131653,0.0305369,12.5668
1256.78,6.02596,14.4393,0.330378,0.612749,15.3824,0.674469,0.0154322,0.0286219,12.5678
1256.88,7.76755,17.8389,-0.13105,0.433992,18.1418,0.68851,-0.00505801,0.0167504,12.5688
1256.99,11.6866,34.1548,0.291635,-0.156947,34.2895,0.742881,0.00634319,-0.00341367,12.5699
1257.09,9.73438,3.23188,0.766869,0.0119824,4.01073,0.23513,0.0557921,0.00087176,12.5709
1257.19,8.69744,50.5726,1.7347,1.19395,53.5012,0.813081,0.0278897,0.0191957,12.5719
1257.29,2.93508,25.7043,1.33134,-0.364705,26.6709,0.868212,0.0449686,-0.0123186,12.5729
1257.39,5.71361,5.81654,0.0247594,0.389142,6.23045,0.486983,0.00207295,0.0325804,12.5739
1257.5,11.8447,31.3377,0.969301,-0.0892851,32.2177,0.711211,0.0219984,-0.00202633,12.575
1257.6,1.64433,22.145,0.884305,1.33486,24.3641,0.851453,0.0340007,0.0513241,12.576
1257.7,2.47523,23.6134,-0.0781419,0.0642747,23.5995,0.905604,-0.00299684,0.00246502,12.577
1257.8,6.64907,4.33413,0.119712,-0.0658902,4.38795,0.39269,0.0108464,-0.00596992,12.578
1257.9,5.03598,17.1932,0.0704498,0.777071,18.0407,0.745046,0.00305285,0.0336734,12.579
1258,6.48167,15.3626,1.41355,0.25261,17.0288,0.653438,0.0601242,0.0107446,12.58
1258.11,1.40538,60.1825,0.282025,-0.0953637,60.3691,0.974228,0.00456539,-0.00154374,12.5811
1258.21,3.61743,30.9241,0.486953,3.13078,34.5419,0.810396,0.0127611,0.0820449,12.5821
1258.31,6.20329,9.09682,3.61928,0.102014,12.8181,0.478241,0.190274,0.00536312,12.5831
1258.41,15.7278,24.6447,-0.490936,0.0638102,24.2176,0.616961,-0.0122902,0.00159744,12.5841
1258.51,9.66537,23.4874,4.23893,0.0907463,27.8171,0.626624,0.113091,0.00242103,12.5851
1258.62,20.8638,35.7107,3.46195,-0.135369,39.0373,0.596161,0.0577945,-0.00225988,12.5862
1258.72,14.8785,54.5057,-0.0613875,1.61856,56.0628,0.76832,-0.000865327,0.0228154,12.5872
1258.82,2.35637,1.97102,0.35015,0.067723,2.3889,0.415367,0.0737893,0.0142717,12.5882
1258.92,3.63463,41.9379,1.65055,0.205305,43.7937,0.884236,0.034801,0.00432874,12.5892
1259.02,15.9741,18.261,1.37749,1.96099,21.5995,0.486008,0.0366611,0.0521907,12.5902
1259.13,23.4674,34.7763,1.19066,-0.547343,35.4196,0.59056,0.0202195,-0.0092948,12.5913
1259.23,6.07227,18.3686,-0.258449,1.33934,19.4495,0.719723,-0.0101266,0.0524784,12.5923
1259.33,14.928,24.2758,1.54377,1.69658,27.5162,0.571948,0.0363719,0.0399721,12.5933
1259.43,5.33867,17.1428,2.01218,-0.919587,18.2354,0.727189,0.0853558,-0.0390085,12.5943
1259.53,6.99328,34.0653,-0.39006,0.987012,34.6622,0.817786,-0.00936395,0.0236946,12.5953
1259.63,2.99051,25.5659,2.63167,0.635784,28.8334,0.803356,0.0826949,0.0199782,12.5963
1259.74,10.0668,7.11249,4.97815,0.797226,12.8879,0.309849,0.216868,0.0347304,12.5974
1259.84,30.743,32.325,3.22893,0.0290378,35.583,0.487366,0.0486828,0.000437805,12.5984
1259.94,2.06954,108.407,-1.13754,3.36066,110.63,0.961911,-0.0100936,0.0298197,12.5994
1260.04,5.44977,31.3411,1.27884,-0.746169,31.8738,0.839714,0.0342637,-0.0199919,12.6004
1260.14,9.01774,12.222,0.31335,0.433677,12.969,0.55588,0.0142517,0.0197244,12.6014
1260.25,16.0767,60.9653,3.66963,1.10287,65.7378,0.745165,0.044853,0.0134801,12.6025
1260.35,6.72725,48.7016,0.286163,-0.572212,48.4156,0.883191,0.00518949,-0.0103769,12.6035
1260.45,11.8718,9.76026,1.59752,0.570901,11.9287,0.410086,0.0671213,0.0239869,12.6045
1260.55,9.74112,4.72519,-0.0255789,0.0141061,4.71372,0.326894,-0.00176957,0.000975877,12.6055
1260.65,4.46003,24.5571,0.937389,0.220043,25.7146,0.813835,0.0310655,0.00729233,12.6065
1260.76,19.4443,62.0293,0.344045,0.458939,62.8323,0.753912,0.00418157,0.005578,12.6076
1260.86,5.59699,37.3442,2.14798,-0.137378,39.3548,0.830761,0.0477842,-0.00305611,12.6086
1260.96,3.78058,23.9528,-0.518769,0.149475,23.5835,0.875337,-0.018958,0.00546246,12.6096
1261.06,11.2887,14.1658,1.55753,0.178341,15.9016,0.520986,0.0572824,0.00655898,12.6106
1261.16,9.08651,4.44695,9.88663,1.94854,16.2821,0.175293,0.389719,0.076809,12.6116
1261.27,19.4649,58.1388,-0.723539,-0.765802,56.6495,0.763835,-0.00950595,-0.0100612,12.6127
1261.37,21.6332,33.0442,2.41926,4.14322,39.6067,0.539586,0.0395046,0.0676556,12.6137
1261.47,1.89594,39.8044,0.482839,0.835557,41.1228,0.925281,0.0112239,0.0194231,12.6147
1261.57,8.52165,12.1251,1.35387,-0.229601,13.2494,0.556937,0.0621869,-0.0105462,12.6157
1261.67,11.9294,27.2324,4.05517,1.04801,32.3355,0.615213,0.0916114,0.0236759,12.6167
